signal_ts,code,entry_ts,exit_ts,entry_price,exit_price,pred_score,future_ret_ref,gross_trade_ret,net_trade_ret,weight_target,executed_weight,fill_ratio,realized_trade_ret,weighting_mode,industry_bucket,board_type
2024-03-18,sh.600000,2024-03-19,2024-03-22,6.598838051734633,6.619538370453411,0.5,0.003136964198164227,0.003136964198164227,0.0025352625301457987,0.7999999999992,0.3999999999996,0.5,0.0025352625301457987,equal_weight,sh_60,main_board
2024-03-18,sh.600009,2024-03-19,2024-03-22,36.49018877966195,35.78385266508821,0.5,-0.01935687751137094,-0.01935687751137094,-0.019945086922040778,0.0,0.0,0.5,-0.019945086922040778,equal_weight,sh_60,main_board
2024-03-18,sh.600010,2024-03-19,2024-03-22,1.6262605867377886,1.6164739058780444,0.5,-0.006017904473950231,-0.006017904473950231,-0.006614114868147447,0.0,0.0,0.5,-0.006614114868147447,equal_weight,sh_60,main_board
2024-03-18,sh.600011,2024-03-19,2024-03-22,8.732507291761731,8.407371439954323,0.5,-0.03723281767140407,-0.03723281767140407,-0.037810304734682054,0.0,0.0,0.5,-0.037810304734682054,equal_weight,sh_60,main_board
2024-03-18,sh.600015,2024-03-19,2024-03-22,5.634824860564187,5.679066467916847,0.5,0.00785146094979483,0.00785146094979483,0.007246931432080217,0.0,0.0,0.5,0.007246931432080217,equal_weight,sh_60,main_board
2024-03-21,sh.600000,2024-03-22,2024-03-27,6.619538370453411,6.702621831191468,0.5,0.012551246943123928,0.012551246943123928,0.011943898399521036,0.7999999999992,0.3999999999996,0.5,0.011943898399521036,equal_weight,sh_60,main_board
2024-03-21,sh.600009,2024-03-22,2024-03-27,35.78385266508821,34.95640230621914,0.5,-0.023123568236612324,-0.023123568236612324,-0.02370951831064816,0.0,0.0,0.5,-0.02370951831064816,equal_weight,sh_60,main_board
2024-03-21,sh.600010,2024-03-22,2024-03-27,1.6164739058780444,1.5849579877821072,0.5,-0.019496706988164414,-0.019496706988164414,-0.02008483252630988,0.0,0.0,0.5,-0.02008483252630988,equal_weight,sh_60,main_board
2024-03-21,sh.600011,2024-03-22,2024-03-27,8.407371439954323,8.731300676691404,0.5,0.03852919298850477,0.03852919298850477,0.03790626235190264,0.0,0.0,0.5,0.03790626235190264,equal_weight,sh_60,main_board
2024-03-21,sh.600015,2024-03-22,2024-03-27,5.679066467916847,5.829983855242646,0.5,0.02657433016101507,0.02657433016101507,0.02595857029087978,0.0,0.0,0.5,0.02595857029087978,equal_weight,sh_60,main_board
2024-03-26,sh.600000,2024-03-27,2024-04-01,6.702621831191468,6.720263721076148,0.5,0.002632087909477221,0.002632087909477221,0.0020306890763814867,0.7999999999992,0.3999999999996,0.5,0.0020306890763814867,equal_weight,sh_60,main_board
2024-03-26,sh.600009,2024-03-27,2024-04-01,34.95640230621914,35.541146551466746,0.5,0.016727815412015623,0.016727815412015623,0.016117961678888237,0.0,0.0,0.5,0.016117961678888237,equal_weight,sh_60,main_board
2024-03-26,sh.600010,2024-03-27,2024-04-01,1.5849579877821072,1.63269661991591,0.5,0.030119809168932754,0.030119809168932754,0.029501922649387557,0.0,0.0,0.5,0.029501922649387557,equal_weight,sh_60,main_board
2024-03-26,sh.600011,2024-03-27,2024-04-01,8.731300676691404,8.673700537520483,0.5,-0.006596971207930125,-0.006596971207930125,-0.007192834266287806,0.0,0.0,0.5,-0.007192834266287806,equal_weight,sh_60,main_board
2024-03-26,sh.600015,2024-03-27,2024-04-01,5.829983855242646,5.824928815539892,0.5,-0.000867076106772946,-0.000867076106772946,-0.0014663760711193241,0.0,0.0,0.5,-0.0014663760711193241,equal_weight,sh_60,main_board
2024-03-29,sh.600000,2024-04-01,2024-04-08,6.720263721076148,6.770067890400542,0.5,0.0074110438801962,0.0074110438801962,0.006806778533472224,0.7999999999992,0.3999999999996,0.5,0.006806778533472224,equal_weight,sh_60,main_board
2024-03-29,sh.600009,2024-04-01,2024-04-08,35.541146551466746,35.652192772714095,0.5,0.003124441162457803,0.003124441162457803,0.0025227470060074086,0.0,0.0,0.5,0.0025227470060074086,equal_weight,sh_60,main_board
2024-03-29,sh.600010,2024-04-01,2024-04-08,1.63269661991591,1.6992614074445693,0.5,0.04076984463350386,0.04076984463350386,0.04014557000911134,0.0,0.0,0.5,0.04014557000911134,equal_weight,sh_60,main_board
2024-03-29,sh.600011,2024-04-01,2024-04-08,8.673700537520483,9.05142266965108,0.5,0.04354797937692356,0.04354797937692356,0.042922038371599136,0.0,0.0,0.5,0.042922038371599136,equal_weight,sh_60,main_board
2024-03-29,sh.600015,2024-04-01,2024-04-08,5.824928815539892,5.874050383938904,0.5,0.008432990334054535,0.008432990334054535,0.007828112003353427,0.0,0.0,0.5,0.007828112003353427,equal_weight,sh_60,main_board
2024-04-03,sh.600000,2024-04-08,2024-04-11,6.770067890400542,6.759616093689726,0.5,-0.0015438245053103206,-0.0015438245053103206,-0.002142718542395894,0.7999999999992,0.3999999999996,0.5,-0.002142718542395894,equal_weight,sh_60,main_board
2024-04-03,sh.600009,2024-04-08,2024-04-11,35.652192772714095,35.04168993418742,0.5,-0.017123851046685235,-0.017123851046685235,-0.01771339987140963,0.0,0.0,0.5,-0.01771339987140963,equal_weight,sh_60,main_board
2024-04-03,sh.600010,2024-04-08,2024-04-11,1.6992614074445693,1.6351902934350973,0.5,-0.037705272261074674,-0.037705272261074674,-0.038282475936615046,0.0,0.0,0.5,-0.038282475936615046,equal_weight,sh_60,main_board
2024-04-03,sh.600011,2024-04-08,2024-04-11,9.05142266965108,9.24115430729324,0.5,0.0209615266644545,0.0209615266644545,0.020349133466415203,0.0,0.0,0.5,0.020349133466415203,equal_weight,sh_60,main_board
2024-04-03,sh.600015,2024-04-08,2024-04-11,5.874050383938904,5.884013329492772,0.5,0.0016960946709116964,0.0016960946709116964,0.0010952572653311066,0.0,0.0,0.5,0.0010952572653311066,equal_weight,sh_60,main_board
2024-04-10,sh.600000,2024-04-11,2024-04-16,6.759616093689726,6.796070828825713,0.5,0.005393018572314112,0.005393018572314112,0.004789963677639175,0.7999999999992,0.3999999999996,0.5,0.004789963677639175,equal_weight,sh_60,main_board
2024-04-10,sh.600009,2024-04-11,2024-04-16,35.04168993418742,36.06429524206021,0.5,0.02918253399856985,0.02918253399856985,0.028565209675467607,0.0,0.0,0.5,0.028565209675467607,equal_weight,sh_60,main_board
2024-04-10,sh.600010,2024-04-11,2024-04-16,1.6351902934350973,1.6289721133155484,0.5,-0.0038027256800078346,-0.0038027256800078346,-0.004400264782868701,0.0,0.0,0.5,-0.004400264782868701,equal_weight,sh_60,main_board
2024-04-10,sh.600011,2024-04-11,2024-04-16,9.24115430729324,9.52369503780716,0.5,0.03057418165714476,0.03057418165714476,0.029956022595868825,0.0,0.0,0.5,0.029956022595868825,equal_weight,sh_60,main_board
2024-04-10,sh.600015,2024-04-11,2024-04-16,5.884013329492772,5.9544476673001,0.5,0.011970458573449028,0.011970458573449028,0.011363458398357507,0.0,0.0,0.5,0.011363458398357507,equal_weight,sh_60,main_board
2024-04-15,sh.600000,2024-04-16,2024-04-19,6.796070828825713,6.824848567080428,0.5,0.00423446708819597,0.00423446708819597,0.0036321071159348683,0.7999999999992,0.3999999999996,0.5,0.0036321071159348683,equal_weight,sh_60,main_board
2024-04-15,sh.600009,2024-04-16,2024-04-19,36.06429524206021,35.65853590907948,0.5,-0.011250998536316836,-0.011250998536316836,-0.011844070015751162,0.0,0.0,0.5,-0.011844070015751162,equal_weight,sh_60,main_board
2024-04-15,sh.600010,2024-04-16,2024-04-19,1.6289721133155484,1.651402126517023,0.5,0.01376942736902187,0.01376942736902187,0.013161348136370599,0.0,0.0,0.5,0.013161348136370599,equal_weight,sh_60,main_board
2024-04-15,sh.600011,2024-04-16,2024-04-19,9.52369503780716,9.089330877335588,0.5,-0.045608785114200745,-0.045608785114200745,-0.046181248104235295,0.0,0.0,0.5,-0.046181248104235295,equal_weight,sh_60,main_board
2024-04-15,sh.600015,2024-04-16,2024-04-19,5.9544476673001,6.125833382138134,0.5,0.028782806468885536,0.028782806468885536,0.0281657219103717,0.0,0.0,0.5,0.0281657219103717,equal_weight,sh_60,main_board
2024-04-18,sh.600000,2024-04-19,2024-04-24,6.824848567080428,6.8635647673967295,0.5,0.005672829211484931,0.005672829211484931,0.005069606480777367,0.7999999999992,0.3999999999996,0.5,0.005069606480777367,equal_weight,sh_60,main_board
2024-04-18,sh.600009,2024-04-19,2024-04-24,35.65853590907948,35.48341386739377,0.5,-0.004911083341537781,-0.004911083341537781,-0.005507957629246496,0.0,0.0,0.5,-0.005507957629246496,equal_weight,sh_60,main_board
2024-04-18,sh.600010,2024-04-19,2024-04-24,1.651402126517023,1.5895411455681596,0.5,-0.0374596713644163,-0.0374596713644163,-0.0380370223562998,0.0,0.0,0.5,-0.0380370223562998,equal_weight,sh_60,main_board
2024-04-18,sh.600011,2024-04-19,2024-04-24,9.089330877335588,9.2939869004117,0.5,0.02251607140690659,0.02251607140690659,0.021902745761756215,0.0,0.0,0.5,0.021902745761756215,equal_weight,sh_60,main_board
