代码,名称,总市值,成交量
601608,中信重工,32743807075.0,1596946
600416,湘电股份,23892916797.0,705821
600550,保变电气,23497903405.0,3109461
000400,许继电气,28786264757.0,1003193
002920,德赛西威,80215650010.0,175155
601628,中国人寿,1404473191450.0,216044
600406,国电南瑞,190754208705.0,1556286
603305,旭升集团,23634239970.0,2244678
002244,滨江集团,30647722317.0,253190
002600,领益智造,120038581852.0,6002572
605499,东鹏饮料,137787844610.0,18239
600885,宏发股份,48238514736.0,240292
301345,涛涛车业,24508778707.0,15392
600875,东方电气,86631926166.0,1171971
600967,内蒙一机,33695534407.0,1665600
002497,雅化集团,27258103598.0,1020882
002544,普天科技,24288254534.0,679691
603833,欧派家居,32827248003.0,60834
000987,越秀资本,51576121709.0,3268687
603358,华达科技,25319151796.0,70567
002050,三花智控,233123971999.0,2929986
002027,分众传媒,112215891871.0,3832766
001280,中国铀业,138588863624.0,296338
601319,中国人保,424550309597.0,1053144
002901,大博医疗,20907985053.0,51342
603737,三棵树,31888471183.0,52345
601933,永辉超市,46282688664.0,10647454
002759,天际股份,21353885147.0,1162153
600869,远东股份,22748365647.0,1887716
603986,兆易创新,177020154263.0,461518
603786,科博达,31957180671.0,34891
301638,南网数字,70111287572.0,799076
600316,洪都航空,27551539551.0,413541
002466,天齐锂业,98520934829.0,1045082
000785,居然智家,21607859385.0,4006151
002407,多氟多,37700999460.0,1362172
002558,巨人网络,90933278717.0,478404
600271,航天信息,21845509882.0,1369075
600475,华光环能,22512992918.0,508288
002046,国机精工,26625648358.0,773249
600577,精达股份,30132710147.0,1759759
600435,北方导航,28507943569.0,1135644
600637,东方明珠,49554403303.0,5935262
002149,西部材料,21696242337.0,684805
001203,大中矿业,44673963876.0,518068
002756,永兴材料,28998271837.0,216999
002294,信立泰,58260312119.0,83929
601100,恒立液压,153859208832.0,159488
002270,华明装备,24153275365.0,218198
002240,盛新锂能,32593614782.0,926205
002025,航天电器,27325559280.0,403925
603667,五洲新春,28512547672.0,723379
002703,浙江世宝,21511836842.0,1645053
002738,中矿资源,60663037018.0,368655
002324,普利特,21812913823.0,630525
601698,中国卫通,185957445836.0,1948845
000901,航天科技,22764704099.0,730141
002151,北斗星通,29545211885.0,509529
000688,国城矿业,30385135982.0,370571
600151,航天机电,26533667310.0,1872393
000547,航天发展,51822341281.0,2899162
002413,雷科防务,21480100833.0,4391544
600783,鲁信创投,26424754937.0,1502022
002792,通宇通讯,32985954809.0,1712684
603698,航天工程,21010808000.0,214100
