obs,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_tstat,rank_ic_mean,rank_ic_std,rank_ic_ir,rank_ic_positive_ratio,rank_ic_tstat,factor
20.0,0.08024853161719704,0.1251490972217127,4.552234664700997,0.7,2.867638293430081,0.0462440992115649,0.22559236681830125,1.4552821141517318,0.55,0.9167415622585222,g_reversal_rel_overnight_gap_to_ret_1d
20.0,0.07799384486557823,0.13057651253680547,4.240436199599641,0.8,2.671223722518214,0.11768631813125693,0.19780778921452427,4.223746598908775,0.8,2.660710262301785,g_trend_rel_breakout_20_to_ret_1d
20.0,0.08280128420516085,0.16115481068471219,3.6476156169551395,0.7,2.2977818573377946,0.07023359288097887,0.22173368303589672,2.2486842770045428,0.55,1.4165379462035954,g_reversal_rel_vwap30_vs_day_to_ret_1d
20.0,0.11753650217747161,0.25933641610446734,3.2175442296307986,0.7,2.0268623485604746,0.08344827586206896,0.25004080263446554,2.3693092610192554,0.75,1.492524543728374,g_reversal_tanh_vwap30_vs_day
20.0,0.11753626261639764,0.2593377396262722,3.2175212510821827,0.7,2.0268478734354445,0.08344827586206896,0.25004080263446554,2.3693092610192554,0.75,1.492524543728374,g_reversal_lvl_vwap30_vs_day
20.0,0.06476453228832846,0.14668285142079074,3.1345352487079445,0.65,1.9745716056779088,0.05015295459512875,0.18258271043368446,1.950078712523361,0.55,1.2284341215090075,g_reversal_rel_overnight_gap_to_ret_3d
20.0,0.10903562307690047,0.25090154993407876,3.0851787666950794,0.7,1.9434799444886055,0.10122358175750837,0.2945796368649461,2.4394630612559642,0.7,1.5367172839551444,g_volatility_neg_atr_norm_14
20.0,0.10903562307690047,0.25090154993407876,3.0851787666950794,0.7,1.9434799444886055,0.10122358175750837,0.2945796368649461,2.4394630612559642,0.7,1.5367172839551444,atr_norm_14
20.0,0.08755705550365203,0.20235916238924895,3.071733564125923,0.7,1.935010262982683,-0.013380316084437271,0.2719488786136832,-0.34929660846031835,0.6,-0.22003618090102434,g_trend_rel_ret_5d_to_ret_3d
20.0,0.08755705550365203,0.20235916238924895,3.071733564125923,0.7,1.935010262982683,-0.013380316084437271,0.2719488786136832,-0.34929660846031835,0.6,-0.22003618090102434,g_reversal_rel_ret_5d_to_ret_3d
20.0,0.09760047906923648,0.231494216877216,2.993140280555373,0.65,1.8855011479713368,0.001112347052280313,0.2553361686822423,0.030927387726141647,0.5,0.01948242300577195,g_trend_rel_ma_gap_10_to_ret_3d
20.0,0.06461542810683543,0.16632380280592782,2.758017948965883,0.65,1.7373880010514662,0.039310344827586205,0.21686179060403377,1.2868830547975647,0.45,0.8106601260517767,g_trend_ratio_ret_10d__ret_20d
20.0,0.09395897746920157,0.2423125582867782,2.7528188104310236,0.6,1.734112851624083,0.08004449388209121,0.24075288632454106,2.360343599947992,0.7,1.486876708125075,g_trend_neg_close_to_vwap_day
20.0,0.1265748154541202,0.3297302179484806,2.7252341435373837,0.7,1.7167361448147664,0.13410456062291437,0.32118828119371057,2.964142814827764,0.6,1.867234461550772,g_volatility_rel_realized_vol_20_to_atr_norm_14
20.0,0.1265748154541202,0.3297302179484806,2.7252341435373837,0.7,1.7167361448147664,0.13410456062291437,0.32118828119371057,2.964142814827764,0.6,1.867234461550772,g_volatility_rel_barra_volatility_proxy_to_atr_norm_14
20.0,0.07519797476656176,0.19722003022912465,2.7068886526159357,0.55,1.7051795718010654,0.046807563959955494,0.18704278704713764,1.776602801175204,0.6,1.1191545691548381,g_volatility_diff_realized_vol_20__jump_ratio_5m
20.0,0.08430748255893178,0.2223169922881672,2.6922087493037754,0.65,1.6959321019357205,0.0654060066740823,0.23037328932815676,2.0155834293443324,0.6,1.2696982144637692,g_reversal_diff_ret_3d__close_pos
20.0,0.07479770548674494,0.19746158435577743,2.6891865252437825,0.6,1.6940282797288022,0.04847608453837596,0.18511636029304385,1.8590796615533323,0.6,1.171110107601963,g_volatility_neg_jump_ratio_5m
20.0,0.05370342336930476,0.14184252860039223,2.687885562222033,0.6,1.6932087500572686,0.0008162631052438821,0.21559811631964695,0.02687821806827196,0.5,0.016931685879335835,g_reversal_rel_last30_momentum_to_ret_3d
20.0,0.07438106793814256,0.19665293717047305,2.6852037214744993,0.6,1.6915193491825413,0.04642936596218019,0.1865392562667132,1.7670050077925779,0.6,1.1131085276249786,g_volatility_diff_intraday_range__jump_ratio_5m
20.0,0.07440956539356298,0.19685233681845682,2.6835115047685583,0.55,1.6904533528567443,0.04812013348164627,0.18603412877175854,1.8363246619125049,0.6,1.1567758051893455,g_volatility_diff_atr_norm_14__jump_ratio_5m
20.0,0.0760377881539897,0.20560990444140104,2.625431624832857,0.6,1.6538664675028498,0.04293659621802002,0.22593218651838917,1.349164097891106,0.55,0.8498934954373022,g_trend_rel_ma_cross_5_20_to_ret_3d
20.0,0.07001813577162662,0.19526771230563753,2.5456305454563473,0.65,1.6035965126493332,0.04840934371523915,0.18066131656530476,1.9023012459669908,0.65,1.1983371465611834,g_volatility_diff_downside_vol_ratio_20__jump_ratio_5m
20.0,0.08127155398990517,0.23707608011307998,2.4336946887502027,0.65,1.533083550831376,0.053904338153503886,0.2444117844358398,1.5657298975534018,0.55,0.986317126005938,g_reversal_diff_overnight_gap__close_pos
20.0,0.07667100092341804,0.22381125761382153,2.4320050564875633,0.65,1.5320191825518295,0.05523915461624027,0.23767771251376288,1.6499615840508197,0.65,1.039378101002063,g_reversal_diff_ret_5d__close_pos
20.0,0.08111082353212232,0.23787408592099027,2.4207333124046175,0.6,1.5249186511981536,0.060228286139680245,0.23956785211691026,1.784790452574501,0.55,1.1243123047320358,g_reversal_neg_close_pos
20.0,0.07977728142500481,0.2351376383624879,2.4086425214233023,0.65,1.5173021687956245,0.05906562847608452,0.2422566078325586,1.7309099155468648,0.65,1.0903707567601946,g_reversal_diff_ret_1d__close_pos
20.0,0.05853396503607992,0.17713464952385646,2.3459550671003444,0.75,1.4778127843998465,0.0593103448275862,0.18516988779891,2.273920902371785,0.7,1.4324355258826968,g_volatility_neg_minute_ret_kurt_5m
20.0,0.0635138321013298,0.19428898184611135,2.3207876914367467,0.55,1.461958827933652,0.029015473594285402,0.25289352585815084,0.8145302548764953,0.55,0.5131058308907768,g_reversal_rel_morning_momentum_30m_to_ret_3d
20.0,0.06080041824656689,0.1900867885975522,2.270753025055718,0.15,1.430439950748822,0.035538403708188844,0.11827311675701326,2.133178231536015,0.15,1.3437759768621085,amihud_reversal_20
20.0,0.06575126373717635,0.20872824823092806,2.236341609182088,0.5,1.4087627963051916,0.04905450500556173,0.2738001993477979,1.271921785409891,0.55,0.8012354122190082,g_trend_rel_breakout_20_to_ret_3d
20.0,0.0668719978894076,0.2128475831507922,2.230441533303539,0.75,1.4050460978549415,0.028987764182424925,0.16106793565010352,1.2776764657326858,0.7,0.8048605200782443,g_volatility_ratio_downside_vol_ratio_20__jump_ratio_5m
20.0,0.06742776506420692,0.21976448011284636,2.178193878343456,0.7,1.3721331689000154,0.028987764182424925,0.16106793565010352,1.2776764657326858,0.7,0.8048605200782443,g_volatility_sym_downside_vol_ratio_20__jump_ratio_5m
20.0,0.05363044073175281,0.17769113601099285,2.1426975365988974,0.55,1.3497725753979528,0.01768631813125696,0.17234914776609564,0.7285234919232778,0.55,0.4589266628327061,g_liquidity_ratio_vol_ratio_5__amihud_20
20.0,0.053590684267785814,0.17770058460769028,2.1409953003299345,0.55,1.3487002673407265,0.01735261401557286,0.17253891224313342,0.7139916274663813,0.55,0.4497724486805523,g_liquidity_ratio_turn_ratio_5__amihud_20
20.0,0.06057315615332577,0.22528111223173736,1.9088451098302521,0.55,1.2024593933220529,0.020489432703003324,0.24496417722012423,0.5938033223812607,0.45,0.37406093302493576,g_trend_rel_ma_gap_20_to_ret_3d
20.0,0.06416274833520304,0.23934162959511818,1.9031805151296375,0.55,1.1988910340706718,0.06476084538375973,0.20324975512580545,2.2620268026841455,0.55,1.4249429473487671,g_volatility_diff_realized_vol_20__intraday_range
20.0,0.07681332435249684,0.2968453887438565,1.8370523073879546,0.55,1.1572341787537885,0.05325917686318132,0.25275627700183356,1.495917932843305,0.55,0.9423397219202873,g_trend_neg_open_to_close_intraday
20.0,0.05392330968813067,0.2089587469803835,1.8320243984639768,0.7,1.1540668938424727,0.032146829810900994,0.23671915584997089,0.9640954113010647,0.7,0.6073230234383684,g_volatility_rel_minute_realized_vol_5m_to_atr_norm_14
20.0,0.048378557335308194,0.1914188715296791,1.7942519629318743,0.7,1.1302724960255288,0.04342602892102336,0.22545773075962444,1.3674147303498398,0.55,0.8613903132362197,vol_asymmetry_alpha
20.0,0.04837855733530819,0.1914188715296791,1.7942519629318738,0.7,1.1302724960255286,0.04342602892102336,0.22545773075962444,1.3674147303498398,0.55,0.8613903132362197,downside_vol_ratio_20
20.0,0.04837855733530819,0.1914188715296791,1.7942519629318738,0.7,1.1302724960255286,0.04342602892102336,0.22545773075962444,1.3674147303498398,0.55,0.8613903132362197,g_volatility_neg_downside_vol_ratio_20
20.0,0.049148790144068526,0.1972164223735857,1.7692329689522268,0.65,1.114512011234298,0.046740823136818696,0.24009757856131608,1.3820502836993815,0.55,0.8706098452511496,g_volatility_diff_realized_vol_20__downside_vol_ratio_20
20.0,0.03694802411881208,0.14863700418004067,1.7647351792694455,0.55,1.1116786700557002,0.04140155728587318,0.19990756285781325,1.4702890428733282,0.5,0.9261950387680976,g_trend_rel_ma_gap_5_to_ret_1d
20.0,0.03377137061179043,0.13585939728614935,1.76471375773736,0.6,1.1116651757588905,0.0610901001112347,0.22514388424905346,1.9263089863856784,0.5,1.2134606014870026,g_reversal_rel_vwap30_vs_day_to_ret_3d
20.0,0.045219305691491296,0.18308225225164892,1.7534480830366144,0.55,1.1045684677566228,0.005695216907675194,0.21362020091047104,0.18927062589170768,0.45,0.11922928728547648,g_trend_rel_ret_10d_to_ret_3d
20.0,0.04401193153551671,0.17824864001783755,1.7529094079800789,0.7,1.104229134366845,0.021410554692823953,0.23411425910718767,0.64925502741892,0.65,0.40899222381163913,g_reversal_rel_ret_5d_to_ret_1d
20.0,0.04401193153551671,0.17824864001783755,1.7529094079800789,0.7,1.104229134366845,0.021410554692823953,0.23411425910718767,0.64925502741892,0.65,0.40899222381163913,g_trend_rel_ret_5d_to_ret_1d
20.0,0.048214063174817655,0.2104499949745554,1.6264476192215447,0.55,1.0245656954603057,0.07176863181312568,0.165376397473827,3.0808915290167658,0.65,1.9407792386056903,g_liquidity_tanh_vol_ratio_5
20.0,0.047331303615234785,0.20946383633131876,1.6041858489572942,0.55,1.010542098350006,0.07112347052280311,0.16536062505117105,3.053487195759899,0.65,1.923516131309689,g_liquidity_tanh_turn_ratio_5
20.0,0.03062489689702997,0.13983035567676888,1.5548497965135042,0.55,0.9794633065795515,0.034385451611860005,0.21811984522385489,1.1191668043129186,0.5,0.7050088190025887,g_reversal_rel_ret_3d_to_ret_1d
20.0,0.03062489689702997,0.13983035567676888,1.5548497965135042,0.55,0.9794633065795515,0.034385451611860005,0.21811984522385489,1.1191668043129186,0.5,0.7050088190025887,g_trend_rel_ret_3d_to_ret_1d
20.0,0.06031988097502945,0.27742192082731115,1.5436007102444473,0.55,0.9723770483070189,0.005406006674082314,0.2652681295325432,0.1446794238638443,0.55,0.09113947032662754,g_volatility_ratio_realized_vol_20__minute_realized_vol_5m
20.0,0.045120480184299774,0.2091288349297684,1.5317047639751515,0.4,0.9648833065359848,0.01517241379310345,0.2126788653241124,0.5064605382320955,0.45,0.3190401507214392,g_liquidity_ratio_vol_ratio_20__amihud_20
20.0,0.05347493450822247,0.2491615453809763,1.5236475362019914,0.6,0.9598077301206552,0.039599555061179084,0.2567864725014753,1.0947965825536345,0.6,0.6896570222953123,g_reversal_diff_ret_3d__body_ratio
20.0,0.04494679464385245,0.21088574256406462,1.5130970157084693,0.45,0.9531615269234767,0.011301446051167962,0.21755024665459757,0.3687989742025482,0.5,0.23232151655134953,g_liquidity_ratio_amount_ratio_20__amihud_20
20.0,0.04434228405874151,0.2085902360039732,1.5091741317252307,0.55,0.950690342294475,-0.0023046485736411882,0.30149608018757396,-0.05426731183444397,0.35,-0.03418519319855503,g_trend_ratio_ret_5d__ret_20d
20.0,0.040891780947618354,0.1942803363720368,1.4942471878114145,0.6,0.9412872514777683,0.035884315906562846,0.23125184642819838,1.101627403080262,0.55,0.6939600347629246,g_volatility_diff_atr_norm_14__downside_vol_ratio_20
20.0,0.050792033867275876,0.24475725917006289,1.4732460678320383,0.6,0.9280577894017542,0.031479421579532825,0.2521060579149631,0.8864591567402734,0.6,0.5584167800359023,g_reversal_diff_ret_5d__body_ratio
20.0,0.045519068073396764,0.22116069262707458,1.4611698046830444,0.5,0.9204504586733705,0.04981090100111235,0.22667914326935443,1.5600125894625974,0.6,0.9827155604399842,g_trend_sym_ret_10d__ma_gap_5
20.0,0.046419750033479985,0.2312117542788306,1.425306142758259,0.55,0.8978584752073997,0.033681868743047835,0.257215782515842,0.9296379286468741,0.6,0.5856168496506756,g_reversal_neg_signed_vol_imbalance_5m
20.0,0.046419750033479985,0.2312117542788306,1.425306142758259,0.55,0.8978584752073997,0.033681868743047835,0.257215782515842,0.9296379286468741,0.6,0.5856168496506756,g_liquidity_neg_signed_vol_imbalance_5m
20.0,0.06105161852461747,0.3050804870281924,1.420685732859561,0.65,0.8949478905533196,0.04972191323692993,0.2510607255884737,1.4059967602907588,0.6,0.8856947075932957,g_trend_diff_ret_3d__ma_gap_5
20.0,0.038171308451244015,0.19342529303764963,1.4010029568092208,0.6,0.8825489070912771,0.006247142291883071,0.259225432594132,0.17108780652562866,0.55,0.10777518771960644,g_trend_ratio_ret_1d__ret_20d
20.0,0.051648105424757916,0.26270122069752777,1.3957497945117852,0.6,0.8792397258923068,0.03704115684093437,0.2599742349496589,1.0115084173862425,0.55,0.6371904098696478,g_reversal_diff_overnight_gap__body_ratio
20.0,0.050596481435362294,0.2607114416694008,1.3777660957218545,0.6,0.867911060499152,0.04006755140034268,0.26342680826744214,1.0798118795436313,0.6,0.6802175466680196,g_reversal_diff_ret_1d__body_ratio
