signal_ts,ic,rank_ic,n
2024-04-01,0.009392654671984009,-0.06071428571428571,15
2024-04-10,-0.05187371799776789,-0.07142857142857141,15
2024-04-17,0.6631609529119356,0.7571428571428571,15
2024-04-24,0.5558005605385433,0.575,15
2024-05-06,-0.5080565810540173,-0.6607142857142856,15
2024-05-13,-0.20555158661972367,-0.14285714285714282,15
2024-05-20,-0.018653287974126555,-0.075,15
2024-05-27,-0.10396994079686796,-0.021428571428571425,15
2024-06-03,-0.08014682791340848,-0.24285714285714283,15
2024-06-11,-0.2512471338955296,-0.4964285714285714,15
2024-06-18,-0.6829211351945723,-0.682142857142857,15
