signal_ts,ic,rank_ic,n,factor
2024-07-01,0.18905692522406523,0.38496240601503756,20,amihud_20
2024-07-08,-0.0372810928058424,-0.045112781954887216,20,amihud_20
2024-07-15,0.16858382917373313,0.012030075187969924,20,amihud_20
2024-07-22,-0.33082489579699215,-0.5187969924812029,20,amihud_20
2024-07-29,-0.5601421420449368,-0.6421052631578947,20,amihud_20
2024-08-05,-0.28347972544195277,-0.15037593984962402,20,amihud_20
2024-08-12,0.2590544701000789,0.2827067669172932,20,amihud_20
2024-08-19,-0.3828352008406454,-0.17593984962406017,20,amihud_20
2024-08-26,-0.27742074994549853,-0.4270676691729323,20,amihud_20
2024-09-02,-0.30170122602400995,-0.13383458646616542,20,amihud_20
2024-09-09,-0.5136173440639603,-0.0015037593984962405,20,amihud_20
2024-09-18,0.18121012134084957,0.2781954887218045,20,amihud_20
2024-07-01,0.16719821894918174,0.2120300751879699,20,amihud_reversal_20
2024-07-08,0.17167253210981628,0.3082706766917293,20,amihud_reversal_20
2024-07-15,0.0,0.0,20,amihud_reversal_20
2024-07-22,0.0,0.0,20,amihud_reversal_20
2024-07-29,-0.20819653846126704,0.009022556390977442,20,amihud_reversal_20
2024-08-05,0.2988610445784454,0.38496240601503756,20,amihud_reversal_20
2024-08-12,0.0302773838532787,-0.1639097744360902,20,amihud_reversal_20
2024-08-19,0.0,0.0,20,amihud_reversal_20
2024-08-26,0.0,0.0,20,amihud_reversal_20
2024-09-02,0.17322162070244246,0.18825322553769172,20,amihud_reversal_20
2024-09-09,-0.6773676002398742,-0.4060150375939849,20,amihud_reversal_20
2024-09-18,-0.00017782564742725983,-0.039864613575090926,20,amihud_reversal_20
2024-07-01,0.16953102417035318,0.0781954887218045,20,amount_ratio_20
2024-07-08,-0.2912311903276944,-0.4496240601503759,20,amount_ratio_20
2024-07-15,0.003636751576013236,-0.09473684210526315,20,amount_ratio_20
2024-07-22,-0.327022049963467,-0.2421052631578947,20,amount_ratio_20
2024-07-29,0.08757974923237845,0.13684210526315788,20,amount_ratio_20
2024-08-05,-0.32319070426843083,-0.33383458646616543,20,amount_ratio_20
2024-08-12,-0.09594833157059034,0.022556390977443608,20,amount_ratio_20
2024-08-19,0.2661568089971188,0.3383458646616541,20,amount_ratio_20
2024-08-26,-0.2821006312911934,-0.08721804511278194,20,amount_ratio_20
