trade_date,entry_date,exit_date,hold_n_days,active_stocks,pool_size,avg_pred_prob,strategy_ret,benchmark_pool_ret,benchmark_hs300_ret,benchmark_zz500_ret,benchmark_zz1000_ret,weighting_mode,portfolio_turnover,portfolio_concentration,portfolio_weight_entropy,state_market_vol,state_crowding,state_style_dispersion,state_vol_z,state_crowding_z,state_style_z,dynamic_expected_scale,dynamic_risk_scale,dynamic_style_scale,dynamic_industry_scale,dynamic_tc_scale,opt_iterations,opt_converged,opt_expected_ret_score,opt_style_exposure_dev,opt_industry_dev,opt_crowding_exposure,opt_liquidity_utilization,opt_effective_max_weight,opt_fallback,strategy_net,strategy_cum_return,strategy_cum_ret,benchmark_pool_net,benchmark_pool_cum_return,benchmark_pool_cum_ret,benchmark_hs300_net,benchmark_hs300_cum_return,benchmark_hs300_cum_ret,benchmark_zz500_net,benchmark_zz500_cum_return,benchmark_zz500_cum_ret,benchmark_zz1000_net,benchmark_zz1000_cum_return,benchmark_zz1000_cum_ret,excess_vs_pool_ret,excess_vs_pool_net,excess_vs_pool_cum_return,excess_vs_pool_cum_ret,excess_vs_hs300_ret,excess_vs_hs300_net,excess_vs_hs300_cum_return,excess_vs_hs300_cum_ret,excess_vs_zz500_ret,excess_vs_zz500_net,excess_vs_zz500_cum_return,excess_vs_zz500_cum_ret,excess_vs_zz1000_ret,excess_vs_zz1000_net,excess_vs_zz1000_cum_return,excess_vs_zz1000_cum_ret,benchmark_ret,benchmark_net,benchmark_cum_return,benchmark_cum_ret,excess_ret,excess_net,excess_cum_return,excess_cum_ret
2025-01-02,2025-01-03,2025-01-10,5,8,297,0.7041341170848748,0.010591114636168068,-0.00880272783192418,-0.011306525675036871,-0.010782076876762914,-0.014273780760857169,dynamic_opt,0.999999999999,0.15336255098729584,1.9728163181143186,-0.016916811581548046,1.0149398432412118,0.9999999999521831,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,0.1499810376496011,1.2950264795329618,9.999778782798785e-13,-0.13372417439173198,0.999999999995,0.25,0.0,1.0105911146361681,0.01059111463616813,0.01059111463616813,0.9911972721680758,-0.008802727831924151,-0.008802727831924151,0.9886934743249631,-0.011306525675036871,-0.011306525675036871,0.9892179231232371,-0.010782076876762914,-0.010782076876762914,0.9857262192391428,-0.014273780760857169,-0.014273780760857169,0.019393842468092247,1.0193938424680922,0.01939384246809217,0.01939384246809217,0.02189764031120494,1.021897640311205,0.021897640311205002,0.021897640311205002,0.021373191512930982,1.021373191512931,0.021373191512930934,0.021373191512930934,0.024864895397025237,1.0248648953970252,0.02486489539702519,0.02486489539702519,-0.00880272783192418,0.9911972721680758,-0.008802727831924151,-0.008802727831924151,0.019393842468092247,1.0193938424680922,0.01939384246809217,0.01939384246809217
2025-01-09,2025-01-10,2025-01-17,5,8,298,0.6364721659607195,-0.030362458272150936,0.007651885935636765,0.0213964920384051,0.0406037605407501,0.053500539954076665,dynamic_opt,0.8496313742460306,0.16406003673880037,1.9246828767117432,-0.016780242023118744,0.6685917293409095,0.9999999999557104,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,0.08947023115793797,0.9722566393809354,1.000088900582341e-12,-0.21609448307898269,0.999999999995,0.25,0.0,0.979907084087821,-0.020092915912178988,-0.020092915912178988,0.9987818006344202,-0.001218199365579764,-0.001218199365579764,1.0098480463767803,0.009848046376780273,0.009848046376780273,1.029383890796351,0.029383890796351064,0.029383890796351064,1.0384631042153276,0.038463104215327615,0.038463104215327615,-0.0380143442077877,0.9806422540572108,-0.019357745942789162,-0.019357745942789162,-0.05175895031055604,0.9690052911238629,-0.03099470887613709,-0.03099470887613709,-0.07096621881290104,0.9488901981143932,-0.051109801885606765,-0.051109801885606765,-0.0838629982262276,0.9389166524922216,-0.06108334750777844,-0.06108334750777844,0.007651885935636765,0.9987818006344202,-0.001218199365579764,-0.001218199365579764,-0.0380143442077877,0.9806422540572108,-0.019357745942789162,-0.019357745942789162
2025-01-16,2025-01-17,2025-01-24,5,10,297,0.6330480302962187,0.05345673356569021,0.005523125204134633,0.005382779041654739,0.01121401522812282,0.016529454742661542,dynamic_opt,1.9999999999980003,0.10330964627236927,2.2861020111402834,-0.017469781514023966,0.7666428386341827,0.9999999999600978,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.034573606655524364,2.612629653530381,9.99866855977416e-13,-0.06910635051272557,0.9999999999886892,0.25,0.0,1.032289716001036,0.03228971600103603,0.03228971600103603,1.004298197570935,0.004298197570935081,0.004298197570935081,1.0152838352760731,0.015283835276073132,0.015283835276073132,1.0409274174233256,0.04092741742332562,0.04092741742332562,1.0556283330983787,0.05562833309837867,0.05562833309837867,0.04793360836155558,1.0276479758059822,0.027647975805982217,0.027647975805982217,0.04807395452403547,1.0155892074229012,0.015589207422901152,0.015589207422901152,0.04224271833756739,0.988973899486618,-0.011026100513382042,-0.011026100513382042,0.03692727882302867,0.9735882895103865,-0.02641171048961355,-0.02641171048961355,0.005523125204134633,1.004298197570935,0.004298197570935081,0.004298197570935081,0.04793360836155558,1.0276479758059822,0.027647975805982217,0.027647975805982217
2025-01-23,2025-01-24,2025-02-10,5,10,298,0.6442997227619085,0.059547661450141995,0.028883526105342422,0.01779296108601791,0.04223063920919645,0.045875890221332094,dynamic_opt,1.839464306952879,0.11153882240131131,2.236916077212549,-0.017901956897987903,0.8989600520181303,0.9999999999603242,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.018116935553386768,1.223415815501918,9.999778782798785e-13,0.11675298492972783,0.9999999999877448,0.25,0.0,1.093760154527929,0.09376015452792896,0.09376015452792896,1.0333058707780236,0.033305870778023605,0.033305870778023605,1.0333487410484032,0.03334874104840324,0.03334874104840324,1.0848864476314908,0.08488644763149078,0.08488644763149078,1.1040562226221278,0.10405622262212777,0.10405622262212777,0.030664135344799573,1.0591599124229063,0.0591599124229063,0.0591599124229063,0.041754700364124084,1.0579948304718827,0.0579948304718827,0.0579948304718827,0.017317022240945543,1.0060999824997423,0.006099982499742307,0.006099982499742307,0.0136717712288099,0.9868989658756208,-0.01310103412437924,-0.01310103412437924,0.028883526105342422,1.0333058707780236,0.033305870778023605,0.033305870778023605,0.030664135344799573,1.0591599124229063,0.0591599124229063,0.0591599124229063
2025-02-07,2025-02-10,2025-02-17,5,10,297,0.6256663148875856,0.03964810153360419,0.013306059477419701,0.011877791227106638,0.010217963638253114,0.011435224626751728,dynamic_opt,1.3116529210553185,0.17756042794528148,1.8766174162381333,-0.01708529336792965,1.1664137773064291,0.9999999999672621,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.06327963405711752,1.7107961672674106,9.999778782798785e-13,-0.7138663355269571,0.9999999999892546,0.25,0.0,1.1371256681880628,0.13712566818806282,0.13712566818806282,1.0470551001529629,0.04705510015296288,0.04705510015296288,1.0456226416593697,0.04562264165936969,0.04562264165936969,1.0959717779050229,0.09597177790502287,0.09597177790502287,1.1166813535283748,0.11668135352837483,0.11668135352837483,0.026342042056184484,1.087060347380175,0.08706034738017498,0.08706034738017498,0.02777031030649755,1.0873756752167572,0.08737567521675715,0.08737567521675715,0.029430137895351073,1.0357096437212199,0.035709643721219875,0.035709643721219875,0.02821287690685246,1.0147422249193696,0.014742224919369606,0.014742224919369606,0.013306059477419701,1.0470551001529629,0.04705510015296288,0.04705510015296288,0.026342042056184484,1.087060347380175,0.08706034738017498,0.08706034738017498
2025-02-14,2025-02-17,2025-02-24,5,8,299,0.6031534587037757,0.04154261510501992,0.007714757070756825,0.005654104298578266,0.01618045562742898,0.02904657851242831,dynamic_opt,1.0589429024864332,0.16975337944187907,1.9156170337486749,-0.016861454452671076,0.8222242713110224,0.9999999999699574,0.4949241568265774,-0.3911628251852375,1.3137793664325357,1.112749246751212,1.1979696627306309,1.1970669049648803,1.2627558732865072,1.0,19.0,1.0,-0.12902625024537723,1.396363445237368,1.000088900582341e-12,-0.1567510749139461,0.999999999995,0.25,0.0,1.1843648421476383,0.18436484214763826,0.18436484214763826,1.0551328758903398,0.05513287589033977,0.05513287589033977,1.0515347011322667,0.05153470113226666,0.05153470113226666,1.1137051006263294,0.11370510062632944,0.11370510062632944,1.1491171261370015,0.14911712613700145,0.14911712613700145,0.033827858034263095,1.123833270486028,0.1238332704860281,0.1238332704860281,0.035888510806441655,1.1263999688874355,0.12639996888743554,0.12639996888743554,0.02536215947759094,1.0619774768777563,0.06197747687775634,0.06197747687775634,0.01249603659259161,1.02742248089401,0.027422480894010004,0.027422480894010004,0.007714757070756825,1.0551328758903398,0.05513287589033977,0.05513287589033977,0.033827858034263095,1.123833270486028,0.1238332704860281,0.1238332704860281
2025-02-21,2025-02-24,2025-03-03,5,10,299,0.5931467600201376,-0.05792601959708604,-0.019236923736822377,-0.020465690627316957,-0.026336428632518394,-0.02944821987047097,dynamic_opt,1.8876941769109352,0.12387135560064158,2.1788925533983496,-0.01600939296726466,1.0666586410391203,0.999999999970993,3.7117061371547773,1.1195458148617106,1.1274468954852135,0.4,2.764568908577339,1.3930261972951241,1.2254893790970427,1.335863744458513,5.0,1.0,-0.05515862932170964,2.6837922187523717,9.999778782798785e-13,-0.04600773364911568,0.9999999999846378,0.25,0.0,1.1157593010912943,0.11575930109129429,0.11575930109129429,1.0348353652246232,0.03483536522462316,0.03483536522462316,1.0300143172550056,0.030014317255005585,0.030014317255005585,1.0843740857260125,0.08437408572601246,0.08437408572601246,1.1152776723495954,0.1152776723495954,0.1152776723495954,-0.038689095860263666,1.0803531773532404,0.08035317735324043,0.08035317735324043,-0.037460328969769086,1.0842046555013747,0.08420465550137468,0.08420465550137468,-0.03158959096456765,1.0284300427696045,0.02843004276960448,0.02843004276960448,-0.028477799726615072,0.9981637492484885,-0.0018362507515115034,-0.0018362507515115034,-0.019236923736822377,1.0348353652246232,0.03483536522462316,0.03483536522462316,-0.038689095860263666,1.0803531773532404,0.08035317735324043,0.08035317735324043
2025-02-28,2025-03-03,2025-03-10,5,10,298,0.7183881944352744,0.031455454443154424,0.008450014137087045,0.010371163597853394,0.02172171185758165,0.03941919163743046,dynamic_opt,1.5239374860407873,0.12863613912220812,2.1747622791985064,-0.016938565001008606,0.9316211788935855,0.9999999999712367,-0.08708644815288301,0.16649102341319022,0.9668947816745485,1.1440726764870444,1.0416227558532976,1.1783324219338203,1.1933789563349098,1.049947307023957,13.0,1.0,-0.030498376592587983,3.109998846561091,9.99866855977416e-13,-0.10067991824279873,0.926978190105424,0.25,0.0,1.1508560169562974,0.15085601695629736,0.15085601695629736,1.043579738690329,0.04357973869032894,0.04357973869032894,1.0406967642473886,0.04069676424738855,0.04069676424738855,1.1079285471619815,0.10792854716198153,0.10792854716198153,1.1592410166448914,0.15924101664489143,0.15924101664489143,0.02300544030606738,1.1052071778843107,0.10520717788431067,0.10520717788431067,0.02108429084530103,1.107064341793795,0.10706434179379509,0.10706434179379509,0.009733742585572774,1.0384405160731935,0.03844051607319354,0.03844051607319354,-0.007963737194276038,0.9902146354726203,-0.009785364527379659,-0.009785364527379659,0.008450014137087045,1.043579738690329,0.04357973869032894,0.04357973869032894,0.02300544030606738,1.1052071778843107,0.10520717788431067,0.10520717788431067
2025-03-07,2025-03-10,2025-03-17,5,10,298,0.6665973811221295,0.015605233411494529,0.01776290099956716,0.017304511655206634,0.015697535876483037,0.01051882901524026,dynamic_opt,1.1998512094173557,0.13695927640254488,2.111827849798976,-0.016024052769670123,0.8124334163522005,0.9999999999670098,3.9960079962413184,-0.5588164903598716,0.29492371619232516,0.4,2.5984031984965275,1.0442385574288489,1.0589847432384651,1.0,12.0,1.0,-0.26960172008020533,1.453426972997045,9.99866855977416e-13,-0.14060244158340104,0.9999999999915,0.25,0.0,1.1688153937239232,0.16881539372392318,0.16881539372392318,1.0621167422738396,0.062116742273839565,0.062116742273839565,1.0587055135338432,0.058705513533843234,0.058705513533843234,1.1253202952796364,0.1253202952796364,0.1253202952796364,1.1714348746864323,0.17143487468643226,0.17143487468643226,-0.002157667588072631,1.1028225081784844,0.10282250817848437,0.10282250817848437,-0.0016992782437121046,1.1051831314433955,0.10518313144339553,0.10518313144339553,-9.230246498850847e-05,1.038344665453816,0.038344665453815985,0.038344665453815985,0.005086404396254268,0.9952512675477235,-0.004748732452276472,-0.004748732452276472,0.01776290099956716,1.0621167422738396,0.062116742273839565,0.062116742273839565,-0.002157667588072631,1.1028225081784844,0.10282250817848437,0.10282250817848437
2025-03-14,2025-03-17,2025-03-24,5,8,299,0.6110347684459658,-0.01830972812451525,-0.02220122164947419,-0.015497194246980484,-0.022746986010846904,-0.03478605419537495,dynamic_opt,0.988694146803641,0.17256767683509497,1.8989070684110478,-0.01685029953075786,0.9975593563035505,0.9999999999618203,0.26627070163306105,0.5734129966058691,-0.714148794845785,0.701671202130437,1.2498615298046918,1.2218049185480415,1.142829758969157,1.1720238989817606,220.0,0.0,0.15812707219355981,1.1940005265295035,9.999778782798785e-13,0.06540356650549438,0.999999999995,0.25,0.0,1.14741470163709,0.14741470163708992,0.14741470163708992,1.0385364530610006,0.03853645306100062,0.03853645306100062,1.04229854854026,0.04229854854026005,0.04229854854026005,1.0997226502651885,0.09972265026518845,0.09972265026518845,1.1306852776492378,0.13068527764923776,0.13068527764923776,0.0038914935249589402,1.10711413482824,0.10711413482824006,0.10711413482824006,-0.002812533877534766,1.102074766445331,0.10207476644533098,0.10207476644533098,0.004437257886331654,1.0429520685093314,0.04295206850933142,0.04295206850933142,0.0164763260708597,1.0116493519542764,0.01164935195427641,0.01164935195427641,-0.02220122164947419,1.0385364530610006,0.03853645306100062,0.03853645306100062,0.0038914935249589402,1.10711413482824,0.10711413482824006,0.10711413482824006
