date,code
2023-07-21,sh.600000
2023-07-21,sh.600009
2023-07-21,sh.600010
2023-07-21,sh.600011
2023-07-21,sh.600015
2023-07-28,sh.600000
2023-07-28,sh.600009
2023-07-28,sh.600010
2023-07-28,sh.600011
2023-07-28,sh.600015
2023-08-04,sh.600000
2023-08-04,sh.600009
2023-08-04,sh.600010
2023-08-04,sh.600011
2023-08-04,sh.600015
2023-08-11,sh.600000
2023-08-11,sh.600009
2023-08-11,sh.600010
2023-08-11,sh.600011
2023-08-11,sh.600015
2023-08-18,sh.600000
2023-08-18,sh.600009
2023-08-18,sh.600010
2023-08-18,sh.600011
2023-08-18,sh.600015
2023-08-25,sh.600000
2023-08-25,sh.600009
2023-08-25,sh.600010
2023-08-25,sh.600011
2023-08-25,sh.600015
2023-09-01,sh.600000
2023-09-01,sh.600009
2023-09-01,sh.600010
2023-09-01,sh.600011
2023-09-01,sh.600015
2023-09-08,sh.600000
2023-09-08,sh.600009
2023-09-08,sh.600010
2023-09-08,sh.600011
2023-09-08,sh.600015
2023-09-15,sh.600000
2023-09-15,sh.600009
2023-09-15,sh.600010
2023-09-15,sh.600011
2023-09-15,sh.600015
2023-09-22,sh.600000
2023-09-22,sh.600009
2023-09-22,sh.600010
2023-09-22,sh.600011
2023-09-22,sh.600015
2023-09-29,sh.600000
2023-09-29,sh.600009
2023-09-29,sh.600010
2023-09-29,sh.600011
2023-09-29,sh.600015
2023-10-13,sh.600000
2023-10-13,sh.600009
2023-10-13,sh.600010
2023-10-13,sh.600011
2023-10-13,sh.600015
2023-10-20,sh.600000
2023-10-20,sh.600009
2023-10-20,sh.600010
2023-10-20,sh.600011
2023-10-20,sh.600015
2023-10-27,sh.600000
2023-10-27,sh.600009
2023-10-27,sh.600010
2023-10-27,sh.600011
2023-10-27,sh.600015
2023-11-03,sh.600000
2023-11-03,sh.600009
2023-11-03,sh.600010
2023-11-03,sh.600011
2023-11-03,sh.600015
2023-11-10,sh.600000
2023-11-10,sh.600009
2023-11-10,sh.600010
2023-11-10,sh.600011
2023-11-10,sh.600015
2023-11-17,sh.600000
2023-11-17,sh.600009
2023-11-17,sh.600010
2023-11-17,sh.600011
2023-11-17,sh.600015
2023-11-24,sh.600000
2023-11-24,sh.600009
2023-11-24,sh.600010
2023-11-24,sh.600011
2023-11-24,sh.600015
2023-12-01,sh.600000
2023-12-01,sh.600009
2023-12-01,sh.600010
2023-12-01,sh.600011
2023-12-01,sh.600015
2023-12-08,sh.600000
2023-12-08,sh.600009
2023-12-08,sh.600010
2023-12-08,sh.600011
2023-12-08,sh.600015
2023-12-15,sh.600000
2023-12-15,sh.600009
2023-12-15,sh.600010
2023-12-15,sh.600011
2023-12-15,sh.600015
2023-12-22,sh.600000
2023-12-22,sh.600009
2023-12-22,sh.600010
2023-12-22,sh.600011
2023-12-22,sh.600015
2023-12-29,sh.600000
2023-12-29,sh.600009
2023-12-29,sh.600010
2023-12-29,sh.600011
2023-12-29,sh.600015
2024-01-05,sh.600000
2024-01-05,sh.600009
2024-01-05,sh.600010
2024-01-05,sh.600011
2024-01-05,sh.600015
2024-01-12,sh.600000
2024-01-12,sh.600009
2024-01-12,sh.600010
2024-01-12,sh.600011
2024-01-12,sh.600015
2024-01-19,sh.600000
2024-01-19,sh.600009
2024-01-19,sh.600010
2024-01-19,sh.600011
2024-01-19,sh.600015
2024-01-26,sh.600000
2024-01-26,sh.600009
2024-01-26,sh.600010
2024-01-26,sh.600011
2024-01-26,sh.600015
2024-02-02,sh.600000
2024-02-02,sh.600009
2024-02-02,sh.600010
2024-02-02,sh.600011
2024-02-02,sh.600015
2024-02-09,sh.600000
2024-02-09,sh.600009
2024-02-09,sh.600010
2024-02-09,sh.600011
2024-02-09,sh.600015
2024-02-23,sh.600000
2024-02-23,sh.600009
2024-02-23,sh.600010
2024-02-23,sh.600011
2024-02-23,sh.600015
2024-03-01,sh.600000
2024-03-01,sh.600009
2024-03-01,sh.600010
2024-03-01,sh.600011
2024-03-01,sh.600015
2024-03-08,sh.600000
2024-03-08,sh.600009
2024-03-08,sh.600010
2024-03-08,sh.600011
2024-03-08,sh.600015
2024-03-15,sh.600000
2024-03-15,sh.600009
2024-03-15,sh.600010
2024-03-15,sh.600011
2024-03-15,sh.600015
2024-03-22,sh.600000
2024-03-22,sh.600009
2024-03-22,sh.600010
2024-03-22,sh.600011
2024-03-22,sh.600015
2024-03-29,sh.600000
2024-03-29,sh.600009
2024-03-29,sh.600010
2024-03-29,sh.600011
2024-03-29,sh.600015
2024-04-05,sh.600000
2024-04-05,sh.600009
2024-04-05,sh.600010
2024-04-05,sh.600011
2024-04-05,sh.600015
