factor,freq,category,description
hf_5min_to_15min_mean_ret_vol_corr_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_vol_corr_20
hf_5min_to_15min_mean_rv_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_rv_12
hf_5min_to_15min_mean_vol_chg_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_vol_chg_1
hf_5min_to_15min_mean_volume,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_volume
hf_5min_to_15min_std_amihud_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_amihud_20
hf_5min_to_15min_std_amount,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_amount
hf_5min_to_15min_std_amount_ratio_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_amount_ratio_12
hf_5min_to_15min_std_close,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_close
hf_5min_to_15min_std_close_to_vwap_day,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_close_to_vwap_day
hf_5min_to_15min_std_crowding_proxy_raw,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_crowding_proxy_raw
hf_5min_to_15min_std_high,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_high
hf_5min_to_15min_std_last30_momentum,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_last30_momentum
hf_5min_to_15min_std_low,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_low
hf_5min_to_15min_std_ma_gap_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ma_gap_12
hf_5min_to_15min_std_ma_gap_6,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ma_gap_6
hf_5min_to_15min_std_morning_momentum_30m,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_morning_momentum_30m
hf_5min_to_15min_std_open,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_open
hf_5min_to_15min_std_range_norm,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_range_norm
hf_5min_to_15min_std_realized_vol_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_realized_vol_20
hf_5min_to_15min_std_ret_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_1
hf_5min_to_15min_std_ret_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_12
hf_5min_to_15min_std_ret_1d,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_1d
hf_5min_to_15min_std_ret_20d,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_20d
hf_5min_to_15min_std_ret_3,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_3
hf_5min_to_15min_std_ret_5d,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_5d
hf_5min_to_15min_std_ret_6,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_6
hf_5min_to_15min_std_ret_vol_corr_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_ret_vol_corr_20
hf_5min_to_15min_std_rv_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_rv_12
hf_5min_to_15min_std_vol_chg_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_vol_chg_1
hf_5min_to_15min_std_volume,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_volume
high,15min,auto_panel,auto passthrough: high
jump_ratio_5m,15min,auto_panel,auto passthrough: jump_ratio_5m
last30_momentum,15min,auto_panel,auto passthrough: last30_momentum
low,15min,auto_panel,auto passthrough: low
ma_12,15min,auto_panel,auto passthrough: ma_12
ma_6,15min,auto_panel,auto passthrough: ma_6
ma_cross_5_20,15min,auto_panel,auto passthrough: ma_cross_5_20
ma_gap_10,15min,auto_panel,auto passthrough: ma_gap_10
ma_gap_12,15min,trend,close/ma12 - 1
ma_gap_20,15min,auto_panel,auto passthrough: ma_gap_20
ma_gap_5,15min,auto_panel,auto passthrough: ma_gap_5
ma_gap_6,15min,trend,close/ma6 - 1
