signal_date,code,entry_date,exit_date,entry_price,exit_price,pred_prob_up,future_ret_ref,gross_trade_ret,net_trade_ret,weight,weighting_mode,industry_bucket,board_type
2025-01-02,sh.688008,2025-01-03,2025-01-10,65.69351866542986,66.27064081281219,0.833068771030029,0.008785069807579315,0.008785069807579315,0.008179980292549516,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sh.688047,2025-01-03,2025-01-10,126.28492294833953,125.18713168296357,0.7667754980357426,-0.008692971732073063,-0.008692971732073063,-0.009287577567283267,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sz.301269,2025-01-03,2025-01-10,110.02402079035873,111.2344838411432,0.7667754980357426,0.011001807078927728,0.011001807078927728,0.010395387920428156,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sz.001391,2025-01-03,2025-01-10,8.377414623911966,8.45046021440477,0.7457042403423415,0.008719347647339504,0.008719347647339504,0.008114297553779348,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sz.300502,2025-01-03,2025-01-10,81.73333900308741,78.81268535577328,0.6977651260523005,-0.035733932847216265,-0.035733932847216265,-0.03631231897167042,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sz.300442,2025-01-03,2025-01-10,48.56815199321042,48.96814479386854,0.6447253730152879,0.008235701467764756,0.008235701467764756,0.00763094147488208,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sh.600219,2025-01-03,2025-01-10,3.607295547130221,3.6154671678483132,0.6223619979740369,0.0022653039126752095,0.0022653039126752095,0.0016641250839763977,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sh.688506,2025-01-03,2025-01-10,190.27544385409567,188.7887229931805,0.618036093063409,-0.00781351934228669,-0.00781351934228669,-0.008408652690676699,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sh.601456,2025-01-03,2025-01-10,11.780315602039831,11.350978258106103,0.5534295463188958,-0.03644531763311587,-0.03644531763311587,-0.037023277054709425,0.0999999999999,equal_weight,unknown,other_board
2025-01-02,sh.600584,2025-01-03,2025-01-10,37.20377404670113,40.753552167654284,0.5534295463188958,0.09541446296539968,0.09541446296539968,0.09475741140308913,0.0999999999999,equal_weight,unknown,other_board
2025-01-09,sz.301269,2025-01-10,2025-01-17,111.2344838411432,109.39985254060913,0.7667754980357426,-0.016493368218035043,-0.016493368218035043,-0.01708329521900387,0.0999999999999,equal_weight,unknown,other_board
2025-01-09,sh.605117,2025-01-10,2025-01-17,60.93061868874904,58.952191417302366,0.7457042403423415,-0.032470165477130886,-0.032470165477130886,-0.03305050927470532,0.0999999999999,equal_weight,unknown,other_board
