signal_ts,code,entry_ts,exit_ts,entry_price,exit_price,pred_score,future_ret_ref,gross_trade_ret,net_trade_ret,weight_target,executed_weight,fill_ratio,realized_trade_ret,weighting_mode,industry_bucket,board_type
2024-07-01,sh.600036,2024-07-02,2024-07-09,31.549343793719306,30.684587316193845,0.8778260869565218,-0.02740965020320274,-0.02740965020320274,-0.02799302939932191,0.999999999999,0.17459999999982542,0.1746,-0.027997529399321913,dynamic_opt,sh_60,main_board
2024-07-08,sh.600026,2024-07-09,2024-07-16,14.019299062580057,13.180392998699904,0.9586956521739131,-0.05983937286281871,-0.05983937286281871,-0.06040330006094152,0.24999999999974995,0.012549382831488392,0.050197531326003776,-0.06049284049337618,dynamic_opt,sh_60,main_board
2024-07-08,sh.600030,2024-07-09,2024-07-16,16.780986142528977,17.899545969323107,0.9586956521739131,0.06665638224670456,0.06665638224670456,0.06601658035792335,0.24999999999974995,0.05146859320696496,0.20587437282806575,0.06599877494733448,dynamic_opt,sh_60,main_board
2024-07-08,sh.600048,2024-07-09,2024-07-16,7.933989833475716,8.401640366782726,0.9586956521739131,0.05894266858432329,0.05894266858432329,0.058307493535687316,0.24999999999974995,0.0386455368126622,0.15458214725080344,0.05826440863961919,dynamic_opt,sh_60,main_board
2024-07-08,sh.600009,2024-07-09,2024-07-16,32.59294916755025,33.71845785695639,0.707391304347826,0.0345322751745849,0.0345322751745849,0.03391174196944169,0.0734828405136488,0.012536351282994376,0.17060243174276662,0.03390724196944169,dynamic_opt,sh_60,main_board
2024-07-08,sh.600015,2024-07-09,2024-07-16,6.0344391702732745,6.250833753713295,0.707391304347826,0.035859932850923926,0.035859932850923926,0.03523860329008177,0.09919104212772696,0.011491034842298424,0.11584750594213512,0.035229503731251215,dynamic_opt,sh_60,main_board
2024-07-08,sh.600018,2024-07-09,2024-07-16,5.781608507290606,5.858815998734701,0.707391304347826,0.013353981222651523,0.013353981222651523,0.012746151182930099,0.01699241446379792,0.008377388120785471,0.4930075204223254,0.012738380653994753,dynamic_opt,sh_60,main_board
2024-07-08,sh.600029,2024-07-09,2024-07-16,5.808510376785386,5.79296968002237,0.707391304347826,-0.0026755046915512004,-0.0026755046915512004,-0.003273719924166474,0.06033370289457637,0.010943797068648672,0.18138779063123694,-0.003278219924166474,dynamic_opt,sh_60,main_board
2024-07-08,sh.600039,2024-07-09,2024-07-16,6.806734952879472,6.628789490141167,0.707391304347826,-0.026142557918169218,-0.026142557918169218,-0.026726697141651323,0.0,0.0,0.873,-0.026731197141651324,dynamic_opt,sh_60,main_board
2024-07-22,sh.600026,2024-07-23,2024-07-30,14.362727362436749,14.07342220315948,0.9586956521739131,-0.020142773164021577,-0.020142773164021577,-0.020730511178718714,0.10326473548790917,0.005609314019921401,0.054319744232319965,-0.02075001216750954,dynamic_opt,sh_60,main_board
