date,nav,cash,holdings_value,num_positions
2024-04-15,80000.0,80000.0,0.0,0
2024-04-16,79592.74722736274,42654.88420336272,36937.863024000006,3
2024-04-17,80700.48880253921,19494.238782539207,61206.25002,5
2024-04-18,80547.30955653921,2261.793982539206,78285.515574,6
2024-04-19,80271.3219235392,2261.793982539206,78009.527941,6
2024-04-22,81120.28831853921,2261.793982539206,78858.494336,6
2024-04-23,81659.23872530671,6580.306753306706,75078.931972,6
2024-04-24,81546.52580430672,6580.306753306706,74966.21905100001,6
2024-04-25,81887.07040730669,6580.306753306706,75306.76365399998,6
2024-04-26,85116.04800549857,19518.23500749858,65597.812998,5
2024-04-29,87836.40048163952,2908.2790706395135,84928.121411,6
2024-04-30,86231.3300315727,2176.752489572704,84054.577542,6
2024-05-06,88274.83167463462,196.36584263464465,88078.46583199999,6
2024-05-07,87876.83997763463,196.36584263464465,87680.474135,6
2024-05-08,86399.82284663463,196.36584263464465,86203.457004,6
2024-05-09,88573.01240987687,15943.10781287688,72629.90459699999,5
2024-05-10,88563.48412224917,27316.07113524917,61247.412986999996,4
2024-05-13,88807.87691454038,14325.891074540372,74481.98584000001,5
2024-05-14,88453.60487454037,14325.891074540372,74127.7138,5
2024-05-15,87847.70644278153,41.82791878153512,87805.878524,6
2024-05-16,87158.12372683529,16272.18628883528,70885.93743800001,5
2024-05-17,87879.01386796872,30119.898424968727,57759.115442999995,4
2024-05-20,88004.84723722788,17662.527825227866,70342.31941200001,5
2024-05-21,86810.28620104093,30842.444612040934,55967.841589,4
2024-05-22,86623.91474504094,30842.444612040934,55781.470132999995,4
2024-05-23,85854.01924422209,32393.480398222076,53460.538846,4
2024-05-24,85879.68944317143,31837.621594171425,54042.067849,4
2024-05-27,86641.09139553385,14762.725187533837,71878.366208,5
2024-05-28,86366.64308953384,14762.725187533837,71603.917902,5
2024-05-29,86836.2149132601,16690.036085260108,70146.178828,5
2024-05-30,86831.18080126011,16690.036085260108,70141.144716,5
2024-05-31,86334.32871126011,16690.036085260108,69644.292626,5
2024-06-03,85730.14518170076,316.2887137007674,85413.856468,6
2024-06-04,86776.97794570077,316.2887137007674,86460.689232,6
2024-06-05,86484.45278170076,316.2887137007674,86168.164068,6
2024-06-06,85770.04235370077,316.2887137007674,85453.75364000001,6
2024-06-07,85428.77453990743,548.5749219074132,84880.19961800001,6
2024-06-11,85740.96101950693,2888.1594115069147,82852.80160800001,6
2024-06-12,85680.73875350693,2888.1594115069147,82792.57934200001,6
2024-06-13,85351.94062104946,582.9593530494567,84768.981268,6
2024-06-14,85782.96946104946,582.9593530494567,85200.010108,6
2024-06-17,86090.41019904947,582.9593530494567,85507.450846,6
2024-06-18,86570.50076117643,196.711447176418,86373.78931400001,6
2024-06-19,86055.72474317641,196.711447176418,85859.01329599999,6
2024-06-20,85665.34542988305,472.50161988303444,85192.84381,6
2024-06-21,86020.27813588304,472.50161988303444,85547.77651600001,6
2024-06-24,85231.94469679089,18656.54477879087,66575.39991800001,5
2024-06-25,85895.01579837306,2812.464816373058,83082.550982,6
2024-06-26,86200.76679237305,2812.464816373058,83388.30197599999,6
2024-06-27,85703.51263521703,145.77139221703692,85557.741243,6
2024-06-28,85177.06932021704,145.77139221703692,85031.297928,6
2024-07-01,86425.61659178148,703.9656227814685,85721.65096900001,6
2024-07-02,85716.31456578147,703.9656227814685,85012.348943,6
2024-07-03,85526.86992578147,703.9656227814685,84822.904303,6
2024-07-04,83391.08461479377,1930.7986687937682,81460.285946,6
2024-07-05,83046.99690979377,1930.7986687937682,81116.198241,6
2024-07-08,82739.64036588088,4289.0438688808845,78450.596497,6
2024-07-09,83435.66620805096,1230.9808520509541,82204.685356,6
2024-07-10,82763.84715705094,1230.9808520509541,81532.86630499999,6
2024-07-11,84706.86195660982,797.9392526098163,83908.922704,6
2024-07-12,84325.46609560982,797.9392526098163,83527.526843,6
2024-07-15,84369.41338646902,2255.3854354690247,82114.027951,6
2024-07-16,84336.50683646902,2255.3854354690247,82081.121401,6
2024-07-17,84650.27246346902,2255.3854354690247,82394.887028,6
2024-07-18,85183.79233253136,1556.664991531361,83627.127341,6
2024-07-19,85485.05456453135,1556.664991531361,83928.389573,6
2024-07-22,84806.7445728785,4145.702504878478,80661.04206800001,6
2024-07-23,83086.57838683564,1299.115157835633,81787.463229,6
2024-07-24,82888.61403283564,1299.115157835633,81589.498875,6
2024-07-25,82853.7262988512,257.82084385119015,82595.905455,6
2024-07-26,83358.99275185118,257.82084385119015,83101.17190799999,6
2024-07-29,82413.85689369135,1837.3261936913495,80576.5307,6
2024-07-30,82116.14058376565,321.18301576564045,81794.95756800001,6
2024-07-31,85106.39140776564,321.18301576564045,84785.208392,6
2024-08-01,83706.04538205148,887.3821940514717,82818.663188,6
2024-08-02,83743.81741405146,887.3821940514717,82856.43521999998,6
2024-08-05,82916.31768482768,1713.0346468276712,81203.28303800001,6
