code,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,entry_cost,exit_cost,pnl,ret,hold_days,exit_reason,exit_time,stop_price,take_profit_price,fac_L1,fac_L2,fac_S1,fac_S2,fac_S3,fac_S4,fac_F1,fac_F2,fac_R1,fac_alpha_score
sh.600848,2024-04-15,2024-04-16,2024-04-29,9.33129099222144,10.241842473010445,1400,13063.807389110016,14338.579462214624,5.0,12.169289731107312,1257.6027833734997,0.09626617615487354,9,take_profit,2024-04-29 11:10:00,8.864726442610367,10.264420091443585,-0.27248052104150117,-0.3934804738240333,-0.4188563998219911,-0.5895052728086642,3.9287903956640027,0.9937789361187012,1.0865865702710793,0.9997484265983662,0.38728251064358227,2.454241023407585
sh.601066,2024-04-15,2024-04-16,2024-04-30,20.858785115278486,21.863661672944,600,12515.271069167093,13118.197003766401,5.0,11.5590985018832,586.3668360974258,0.046852108344817685,10,max_hold,2024-04-30 14:45:00,19.81584585951456,22.94466362680634,-0.5460633875048327,-0.585909231932405,-0.4373724068889738,1.2419473623557697,-0.29354030889075894,0.6407269151170643,1.3090668986912422,0.6471364649363015,1.0051106203035374,1.2865301345260325
sh.688065,2024-04-15,2024-04-16,2024-04-26,39.17012446120056,43.164676518899036,300,11751.037338360167,12949.402955669711,5.0,11.474701477834856,1181.8909158317083,0.10057758151898938,8,take_profit,2024-04-26 14:45:00,37.21161823814053,43.08713690732062,-0.6677706514739921,-1.7207117346729242,-1.7209917427725647,-0.8226423571485086,5.103464106325167,2.7157499889335512,1.4800850299609858,2.722287649758884,1.1760371413754707,3.233232378687921
sh.600663,2024-04-16,2024-04-17,2024-05-06,8.0134730951442,9.00064862997604,1700,13622.90426174514,15301.102670959266,5.0,12.650551335479634,1660.547857878648,0.12189382131544133,10,max_hold,2024-05-06 09:35:00,7.612799440386989,8.81482040465862,-0.9644565194030781,-0.1811836104994729,-0.11672101001315287,1.21175348896095,-0.3194870837955833,0.2434278919440531,1.0461801441860874,0.24834154321626592,0.20962078071630177,2.2754496533385598
sh.603260,2024-04-16,2024-04-17,2024-04-23,47.63870579539188,45.338214589824204,200,9527.741159078376,9067.64291796484,5.0,9.53382145898242,-474.6320625725172,-0.049815801526075336,4,stop_loss,2024-04-23 10:50:00,45.256770505622285,52.40257637493107,-0.9644565194030781,-0.00465169228771881,0.7133685239130654,0.8238837216301463,0.20115850499400847,-0.5071255748487256,-0.09461199078592218,-0.5026269107146455,-1.5886531770049541,2.4275692180712345
sh.688520,2024-04-17,2024-04-18,2024-04-23,43.068612,47.271266109149295,400,17227.4448,18908.506443659717,5.0,14.454253221829859,1661.6073904378873,0.09645118064391016,3,take_profit,2024-04-23 11:20:00,40.9151814,47.37547320000001,-1.4789950237090854,-1.2021037502451788,-0.8437530509140613,-1.9965877556727634,1.974130820649969,0.7350075517880386,0.9551994849215573,0.7396777137596617,-1.6925746680750295,3.1630999933986743
sh.600517,2024-04-22,2024-04-23,2024-05-10,4.3906665836751895,4.827787309388,3400,14928.266384495644,16414.4768519192,5.0,13.2072384259596,1468.0032289975975,0.09833715390570423,10,take_profit,2024-05-10 13:40:00,4.17113325449143,4.829733242042709,-1.4029179403016838,0.23645517441985214,0.417867493992297,-1.4785610308620265,0.10173439498691617,2.57554398129072,-1.4067694950665968,2.5973336823238875,1.4087153333929905,2.8179982724122152
sz.002304,2024-04-22,2024-04-23,2024-05-10,86.953821316806,85.82190998907907,100,8695.3821316806,8582.190998907907,5.0,9.291095499453952,-127.48222827214647,-0.014660911543802694,10,max_hold,2024-05-10 09:45:00,82.60613025096569,95.6492034484866,0.10108632998563692,-0.2798170572688759,-0.3093884667224604,0.10602839597815902,1.8319167750222087,0.019577916022695034,1.8766674631398494,0.026009818039549947,-1.034794960716821,1.8388732559344565
sh.688396,2024-04-26,2024-04-29,2024-05-09,35.76848369124499,39.399054452832004,400,14307.393476497995,15759.621781132802,5.0,12.8798108905664,1434.3484937442402,0.10025225741503992,5,take_profit,2024-05-09 14:45:00,33.980059506682736,39.34533206036949,-2.0368346611130206,-1.0842554475877946,-1.1907516399617355,1.7609476995540394,3.4607559788640936,2.1634048073787877,0.1926029592551764,2.165017620157203,0.9530219851031886,5.043857529562032
sz.000301,2024-04-26,2024-04-29,2024-05-16,9.775866254614463,9.554988300064,1700,16618.972632844587,16243.4801101088,5.0,13.1217400550544,-393.614262790842,-0.023684632707855018,10,max_hold,2024-05-16 14:25:00,9.28707294188374,10.75345288007591,-2.0368346611130206,-0.43639543831951005,-0.5776647161604529,0.34709056947129385,0.4373290351930294,0.7004347063507257,-1.27442248355128,0.705801987869481,0.9484383395525184,2.0209097664301714
sh.688819,2024-04-29,2024-04-30,2024-05-17,27.666328972662658,27.719283914224,500,13833.164486331329,13859.641957112,5.0,11.929820978556,9.547649802115197,0.0006901999764080463,10,max_hold,2024-05-17 14:50:00,26.283012524029523,30.432961869928928,-0.9530896840817025,-0.12153551042585954,-0.002252146549809254,0.47313562996563713,2.136561350499182,1.8098155686464712,-0.3777319888508404,1.8095552966790642,0.5112321155419148,3.476342668833066
sh.601816,2024-04-30,2024-05-06,2024-05-20,5.077599637224071,5.0037913970289,3400,17263.838766561843,17012.89074989826,5.0,13.506445374949129,-269.4544620385304,-0.015608027025855826,10,max_hold,2024-05-20 09:35:00,4.823719655362868,5.585359600946479,-1.038706995349789,-0.14064552599601246,0.09507969019006408,-2.2023078970371426,2.45137647548488,2.6821183364512065,-0.7306987957583209,2.6753567091977395,0.24438011765079723,3.551526264548842
sh.600025,2024-05-09,2024-05-10,2024-05-24,9.064137463019602,9.322327401552,1500,13596.206194529403,13983.491102328,5.0,11.991745551164001,370.2931622474334,0.027235035784938157,10,max_hold,2024-05-24 09:55:00,8.610930589868621,9.970551209321563,-2.620059789465857,-1.277247439307175,-1.110741088413946,-0.7882213871848013,-0.4844083000372156,0.24188702990624342,-1.8266823491951987,0.25185614011848756,0.3404687581567237,0.8014379420876836
sz.002493,2024-05-10,2024-05-13,2024-05-23,10.820983383923998,10.29843398434062,1200,12985.180060708799,12358.120781208745,5.0,11.179060390604374,-643.2383398906576,-0.04953634349953687,8,stop_loss,2024-05-23 09:35:00,10.279934214727797,11.903081722316399,-1.562523025533435,-0.3163658011536989,-0.07385799683852592,-0.9058861368016918,0.9037657816123418,3.265426594726222,-1.6221905074669811,3.4087478238512783,0.9263936804947238,3.640283211089734
sh.601857,2024-05-14,2024-05-15,2024-05-29,8.924414472349273,9.424409879952204,1600,14279.063155758837,15079.055807923527,5.0,12.539527903961764,782.453124260728,0.05479723114363458,10,max_hold,2024-05-29 09:50:00,8.478193748731808,9.816855919584201,-2.24158171251297,-1.532335988199434,-1.7336233655802213,0.18525280984729292,-0.07301410205021203,0.07771358792318567,-0.615451919713135,0.09220669346508245,-1.829652833660931,1.9451722359566403
