代码
601606
603129
603256
603596
301200
003021
002837
603179
301061
002747
603119
603728
603444
601059
600416
002064
600764
600835
002402
600733
002600
601100
002049
002624
603337
002920
301536
301165
301269
002625
601688
600320
601666
000898
002484
002653
000887
600372
600100
601872
001696
002709
000657
600985
000768
600521
601689
002850
600839
003022
601698
301297
301236
603298
603171
600329
600547
000425
601727
600316
002044
601633
002142
000983
601555
600171
601899
000959
600893
600549
000738
603260
600862
002405
603486
600312
601233
000975
600118
601799
603993
600460
600845
600096
002155
601777
002555
600141
600497
000786
002755
601808
002179
002493
601288
600699
603300
000960
603000
000807
002409
002078
603737
002714
601919
601958
002673
002008
002128
603087
603786
600703
002335
000301
603290
600012
002948
301358
002461
301275
000825
002670
002371
601156
603379
832982
601399
002318
603799
601658
000709
600298
600690
601866
600801
002311
000158
600219
600536
603893
600989
000062
601127
600160
600398
002236
600038
600578
002273
000800
002456
603529
002153
600126
002444
600732
601600
601628
600956
600369
000029
002085
002558
002601
301498
002281
002180
601198
600584
601118
000876
603659
002841
603156
600299
601108
002583
600602
000021
601336
601168
002271
601857
601211
600583
601598
601766
002195
600498
000400
000725
600741
002926
600871
601901
600582
601319
600909
603338
600323
601360
000333
600809
601058
000100
000568
000951
600999
601375
600111
000088
000967
000723
002439
000598
600426
002648
000050
000539
000776
600906
000429
002608
600295
600988
600011
689009
000063
000651
600517
600089
600256
000629
600487
000997
601990
600688
600958
601995
601298
600663
002074
601618
600489
000932
603920
600745
002532
601966
002056
603259
002340
601567
600098
000027
601179
600350
001872
000791
600737
600000
601212
600499
601128
601699
601788
600019
600863
301308
601099
600968
601117
601000
600779
002466
600486
000750
603986
000729
601236
002939
605589
600483
600331
603565
603236
603939
601577
002945
603296
600885
600995
601216
002460
601928
601988
600406
000528
000977
000858
601816
601009
301611
600309
002500
605117
002230
002152
600918
002465
603833
601012
002001
600612
301377
002831
000728
600061
600642
601985
600803
601229
603198
001965
601878
002312
601456
002185
600879
002459
002430
600887
601098
603049
600346
002294
600131
001289
301551
002304
601136
002422
603160
002851
002353
601066
002463
002984
600132
001979
000166
002797
000783
000683
000703
600795
600600
600927
601377
601238
601077
601228
601021
601018
600925
600875
600028
600027
600157
600025
600018
600015
600008
600236
600221
600166
601390
600352
601611
601717
601818
601933
000831
601398
600436
601888
603816
600585
603568
002007
002025
600030
600938
003031
002423
000625
600176
000001
603979
600153
600095
002202
001286
601800
002129
603589
603605
600109
601877
000895
000338
600637
600177
603288
000708
601111
001391
601318
000921
000002
600707
000988
600029
002241
002415
835185
601668
600674
600023
600886
000877
601162
002429
600848
600377
603501
000883
600970
002299
601186
600905
000039
002131
001389
002739
600115
600259
003816
600519
600036
002738
002223
603606
600884
600548
601881
