factor,freq,category,description
fd_cashflow_raw_02,M,auto_panel,auto passthrough: fd_cashflow_raw_02
fd_cashflow_raw_03,M,auto_panel,auto passthrough: fd_cashflow_raw_03
fd_cashflow_raw_04,M,auto_panel,auto passthrough: fd_cashflow_raw_04
fd_cashflow_raw_05,M,auto_panel,auto passthrough: fd_cashflow_raw_05
fd_cashflow_score,M,auto_panel,auto passthrough: fd_cashflow_score
fd_cashflow_trend,M,auto_panel,auto passthrough: fd_cashflow_trend
fd_efficiency_disp,M,auto_panel,auto passthrough: fd_efficiency_disp
fd_efficiency_raw_01,M,auto_panel,auto passthrough: fd_efficiency_raw_01
fd_efficiency_raw_02,M,auto_panel,auto passthrough: fd_efficiency_raw_02
fd_efficiency_raw_03,M,auto_panel,auto passthrough: fd_efficiency_raw_03
fd_efficiency_raw_04,M,auto_panel,auto passthrough: fd_efficiency_raw_04
fd_efficiency_raw_05,M,auto_panel,auto passthrough: fd_efficiency_raw_05
fd_efficiency_score,M,auto_panel,auto passthrough: fd_efficiency_score
fd_efficiency_trend,M,auto_panel,auto passthrough: fd_efficiency_trend
fd_expectation_disp,M,auto_panel,auto passthrough: fd_expectation_disp
fd_expectation_raw_01,M,auto_panel,auto passthrough: fd_expectation_raw_01
fd_expectation_raw_02,M,auto_panel,auto passthrough: fd_expectation_raw_02
fd_expectation_raw_03,M,auto_panel,auto passthrough: fd_expectation_raw_03
fd_expectation_raw_04,M,auto_panel,auto passthrough: fd_expectation_raw_04
fd_expectation_raw_05,M,auto_panel,auto passthrough: fd_expectation_raw_05
fd_expectation_score,M,auto_panel,auto passthrough: fd_expectation_score
fd_expectation_trend,M,auto_panel,auto passthrough: fd_expectation_trend
fd_growth_disp,M,auto_panel,auto passthrough: fd_growth_disp
fd_growth_raw_01,M,auto_panel,auto passthrough: fd_growth_raw_01
fd_growth_raw_02,M,auto_panel,auto passthrough: fd_growth_raw_02
fd_growth_raw_03,M,auto_panel,auto passthrough: fd_growth_raw_03
fd_growth_raw_04,M,auto_panel,auto passthrough: fd_growth_raw_04
fd_growth_raw_05,M,auto_panel,auto passthrough: fd_growth_raw_05
fd_growth_score,M,auto_panel,auto passthrough: fd_growth_score
fd_growth_trend,M,auto_panel,auto passthrough: fd_growth_trend
fd_hf_cashflow_flow,M,auto_panel,auto passthrough: fd_hf_cashflow_flow
fd_hf_cashflow_intraday,M,auto_panel,auto passthrough: fd_hf_cashflow_intraday
fd_hf_cashflow_jump,M,auto_panel,auto passthrough: fd_hf_cashflow_jump
fd_hf_cashflow_sentiment,M,auto_panel,auto passthrough: fd_hf_cashflow_sentiment
fd_hf_cashflow_vwap,M,auto_panel,auto passthrough: fd_hf_cashflow_vwap
fd_hf_efficiency_flow,M,auto_panel,auto passthrough: fd_hf_efficiency_flow
fd_hf_efficiency_intraday,M,auto_panel,auto passthrough: fd_hf_efficiency_intraday
fd_hf_efficiency_jump,M,auto_panel,auto passthrough: fd_hf_efficiency_jump
fd_hf_efficiency_sentiment,M,auto_panel,auto passthrough: fd_hf_efficiency_sentiment
fd_hf_efficiency_vwap,M,auto_panel,auto passthrough: fd_hf_efficiency_vwap
fd_hf_expectation_flow,M,auto_panel,auto passthrough: fd_hf_expectation_flow
fd_hf_expectation_intraday,M,auto_panel,auto passthrough: fd_hf_expectation_intraday
fd_hf_expectation_jump,M,auto_panel,auto passthrough: fd_hf_expectation_jump
fd_hf_expectation_sentiment,M,auto_panel,auto passthrough: fd_hf_expectation_sentiment
fd_hf_expectation_vwap,M,auto_panel,auto passthrough: fd_hf_expectation_vwap
fd_hf_fusion_disp,M,auto_panel,auto passthrough: fd_hf_fusion_disp
fd_hf_fusion_score,M,auto_panel,auto passthrough: fd_hf_fusion_score
