signal_ts,code,entry_ts,exit_ts,entry_price,exit_price,pred_score,future_ret_ref,gross_trade_ret,net_trade_ret,weight_target,executed_weight,fill_ratio,realized_trade_ret,weighting_mode,industry_bucket,board_type
2024-03-01 09:45:00,sh.600015,2024-03-01 10:00:00,2024-03-01 11:15:00,5.68252298,5.70044892,0.660224724378015,0.0031545741323155685,0.0031545741323155685,0.0025528619015056098,0.33333333333299997,0.33333333333299997,1.0,0.0025528619015056098,equal_weight,sh_60,main_board
2024-03-01 09:45:00,sh.600000,2024-03-01 10:00:00,2024-03-01 11:15:00,6.65646021,6.68454654,0.5709621491512885,0.004219409282549602,0.004219409282549602,0.003617058342262336,0.33333333333299997,0.33333333333299997,1.0,0.003617058342262336,equal_weight,sh_60,main_board
2024-03-01 09:45:00,sh.600009,2024-03-01 10:00:00,2024-03-01 11:15:00,34.07580725,34.19314145,0.5436231620383406,0.003443328550903013,0.003443328550903013,0.002841443119402154,0.33333333333299997,0.33333333333299997,1.0,0.002841443119402154,equal_weight,sh_60,main_board
2024-03-01 11:00:00,sh.600000,2024-03-01 11:15:00,2024-03-01 14:00:00,6.68454654,6.66582232,0.5527050378838253,-0.0028011204483284757,-0.0028011204483284757,-0.0033992603340936567,0.33333333333299997,0.33333333333299997,1.0,-0.0033992603340936567,equal_weight,sh_60,main_board
2024-03-01 11:00:00,sh.600015,2024-03-01 11:15:00,2024-03-01 14:00:00,5.70044892,5.66459704,0.5527050378838253,-0.0062893081762749325,-0.0062893081762749325,-0.006885355777088931,0.33333333333299997,0.33333333333299997,1.0,-0.006885355777088931,equal_weight,sh_60,main_board
2024-03-01 11:00:00,sh.600011,2024-03-01 11:15:00,2024-03-01 14:00:00,8.23322808,8.14834944,0.5175486079616105,-0.010309278350635664,-0.010309278350635664,-0.01090291469272242,0.33333333333299997,0.33333333333299997,1.0,-0.01090291469272242,equal_weight,sh_60,main_board
2024-03-01 13:45:00,sh.600009,2024-03-01 14:00:00,2024-03-04 09:45:00,34.13447435,34.3006978,0.660224724378015,0.004869664852448441,0.004869664852448441,0.004266923875830164,0.33333333333299997,0.33333333333299997,1.0,0.004266923875830164,equal_weight,sh_60,main_board
2024-03-01 13:45:00,sh.600015,2024-03-01 14:00:00,2024-03-04 09:45:00,5.66459704,5.6466711,0.660224724378015,-0.0031645569622014147,-0.0031645569622014147,-0.003762478851457196,0.33333333333299997,0.33333333333299997,1.0,-0.003762478851457196,equal_weight,sh_60,main_board
2024-03-01 13:45:00,sh.600000,2024-03-01 14:00:00,2024-03-04 09:45:00,6.66582232,6.61901177,0.5527050378838253,-0.007022471910261285,-0.007022471910261285,-0.007618079744764805,0.33333333333299997,0.33333333333299997,1.0,-0.007618079744764805,equal_weight,sh_60,main_board
2024-03-01 15:00:00,sh.600011,2024-03-04 09:45:00,2024-03-04 11:00:00,8.13891848,8.19550424,0.6195390663003021,0.006952491309262232,0.006952491309262232,0.006348501011566032,0.33333333333299997,0.33333333333299997,1.0,0.006348501011566032,equal_weight,sh_60,main_board
