date,ic,rank_ic,n
2025-01-02,-0.06810282092790441,-0.09720705115897987,297
2025-01-03,-0.07936952539628776,-0.09869801521433857,297
2025-01-06,0.028370821241267722,0.047663084741096685,297
2025-01-07,0.009473326565227754,0.04289713421748321,298
2025-01-08,0.06254890480668301,0.08071633337589378,298
2025-01-09,0.08135693294260442,0.033325635208781436,298
2025-01-10,0.1429701805022453,0.18739332771570114,297
2025-01-13,0.020244152236817834,0.007460391295563337,297
2025-01-14,-0.20205703025473803,-0.15161945737445098,297
2025-01-15,-0.046769541957271975,-0.06386945451963542,297
2025-01-16,-0.1052451105024973,-0.05857911530456238,297
2025-01-17,0.032196549538032616,0.008784150267760372,298
2025-01-20,-0.05722447837784059,0.021298994406792695,298
2025-01-21,0.1771586374147813,0.13030822483553559,298
2025-01-22,0.21907830653729646,0.08095511002977332,298
2025-01-23,0.09084574029835207,0.07961661697586524,298
2025-01-24,-0.024140992635861853,-0.07269420088035426,298
2025-01-27,-0.010488516344784612,0.04594266808299158,298
2025-02-05,-0.03454720584785277,-0.10754139148320856,298
2025-02-06,-0.19610009024491412,0.009472320033565363,297
2025-02-07,-0.29193395819556367,-0.0882181083313466,297
2025-02-10,-0.21600496147830664,0.03062225930285373,298
2025-02-11,-0.07161891644022714,0.08926329850110042,298
2025-02-12,0.056805441604483614,0.06895177678216786,298
2025-02-13,-0.05486841071803122,-0.03569549541187612,298
2025-02-14,0.05835667460187785,0.11107970132665987,299
2025-02-17,-0.04854444574087048,-0.04526252886631564,299
2025-02-18,0.074882552290014,-0.05402429498019542,299
2025-02-19,-0.032349726310206835,-0.04624951704786047,299
2025-02-20,0.03438928893847322,0.09393327679378302,299
2025-02-21,0.016287638456225367,-0.012816876719715133,299
2025-02-24,0.06551039169976443,0.07755265403723527,298
2025-02-25,0.07269651092575033,0.07786376232053908,298
2025-02-26,0.0990602882764322,0.12853924236908887,298
2025-02-27,0.06460143913054378,0.07431477503432209,298
2025-02-28,0.026624507640584726,-0.023232025075367986,298
2025-03-03,-0.12098466302723793,-0.10640956142508029,298
2025-03-04,-0.11237976527513403,-0.15504330964953225,298
2025-03-05,-0.03798043757390729,0.06137467383806028,298
2025-03-06,-0.10906416248280218,-0.13709447593139631,298
2025-03-07,0.026556205318346786,0.02448762690665595,298
2025-03-10,-0.15093076101689304,-0.16882733686940926,299
2025-03-11,0.05996015110988952,0.04483619680890692,299
2025-03-12,0.02707702459654144,-0.012278734355220521,299
2025-03-13,0.09751875255190827,0.06967933464246448,299
2025-03-14,0.22495161103343186,0.2606775145117802,299
2025-03-17,0.1857825809193382,0.2530343277557819,298
2025-03-18,0.18677879743813874,0.18667252981295773,298
2025-03-19,0.15672708105771704,0.1819829472415287,297
2025-03-20,0.1284418696006088,0.18905028170566412,297
2025-03-21,0.024541811432891438,0.012634058170237945,297
2025-03-24,0.036267212436636435,0.06827771443729871,297
2025-03-25,0.12395053047844723,0.155300679209468,297
2025-03-26,0.06262003168116798,0.05574057096141347,297
2025-03-27,0.08381384175371774,0.11443457496746674,298
2025-03-28,0.046610227126256974,0.057453789216874745,298
2025-03-31,0.0804426305019406,0.095147937026367,299
2025-04-01,-0.02043390308967088,0.017506855056970312,299
2025-04-02,-0.05784623935703785,0.00411546769204408,299
