signal_ts,ic,rank_ic,n
2025-01-02,-0.32387440945308327,-0.2995151954883499,297
2025-01-03,-0.3428483044290699,-0.3333301269542881,297
2025-01-06,-0.3264785336311684,-0.34768371177767154,297
2025-01-07,-0.2676957227720589,-0.33269259677196644,298
2025-01-08,-0.13300425158330104,-0.2304223351786818,298
2025-01-09,-0.10867122864094436,-0.14888872110932222,298
2025-01-10,-0.11103876826672249,-0.14507491017558133,297
2025-01-13,-0.1158052124987278,-0.14709584508242227,297
2025-01-14,-0.13107979547275328,-0.1567300980052658,297
2025-01-15,-0.16204066114861868,-0.20880856451326255,297
2025-01-16,-0.1807187199342647,-0.20176277558827896,297
2025-01-17,-0.17027274827845174,-0.17393412928866675,298
2025-01-20,-0.16668272228843553,-0.14277020842530033,298
2025-01-21,-0.1417244962211174,-0.1402340162188426,298
2025-01-22,-0.05975374548881746,-0.03427351107537859,298
2025-01-23,-0.0382057505798578,-0.028430701030642668,298
2025-01-24,-0.075830424253399,-0.05570032211409509,298
2025-01-27,-0.14943422062968925,-0.11267146108114884,298
2025-02-05,-0.14542405073338252,-0.12934421542533592,298
2025-02-06,-0.10634181054109874,-0.05261713818760799,297
2025-02-07,-0.1048631110982832,-0.008823955132679966,297
2025-02-10,-0.08878537332544671,-0.0017074971845908525,298
2025-02-11,-0.07346871860425756,-0.004526193904659034,298
2025-02-12,0.02894875729911937,0.12488037203531806,298
2025-02-13,0.035964579892803314,0.13059666721761848,298
2025-02-14,0.09562927052135096,0.13412313977239568,299
2025-02-17,-0.020277012227434697,0.03897914749388341,299
2025-02-18,-0.028241176154901286,-0.0005216493456936994,299
2025-02-19,0.1796246167663777,0.2205490336917241,299
2025-02-20,0.31233021108446796,0.3114569818859285,299
2025-02-21,0.3762497446936868,0.4326421404682274,299
2025-02-24,0.33684263758244254,0.40801519266649117,298
2025-02-25,0.4025984030136031,0.45420309353778854,298
2025-02-26,0.4642851221237779,0.5229451027525145,298
2025-02-27,0.2904432419784759,0.4061977318469877,298
2025-02-28,0.2518304221093096,0.362941438809545,298
2025-03-03,0.19438033276446506,0.2771289923317936,298
2025-03-04,0.31170959613501126,0.375193881759391,298
2025-03-05,0.38439031833597687,0.436202159867173,298
2025-03-06,0.46408230409301904,0.46450203818164126,298
2025-03-07,0.4800508778547417,0.4764366068713895,298
2025-03-10,0.46066903170937645,0.4592341361585598,299
2025-03-11,0.4220501500535467,0.4166972682992526,299
2025-03-12,0.38109154084262004,0.3926439361630491,299
2025-03-13,0.3340068126326866,0.3573154362416108,299
2025-03-14,0.3869672319313512,0.4046203227761442,299
2025-03-17,0.3920105597254623,0.4144615556929534,298
2025-03-18,0.3572257550549753,0.39001289862101063,298
2025-03-19,0.3161554449106781,0.3428173444951969,297
2025-03-20,0.2836209370785655,0.3111575578018531,297
2025-03-21,0.23152328583810108,0.2848551724390651,297
2025-03-24,0.23550226532608276,0.28464675780112025,297
2025-03-25,0.22083669539462533,0.26430640524600263,297
2025-03-26,0.20687996683183388,0.23329842960715447,297
2025-03-27,0.24116881766618706,0.2460716341661775,298
2025-03-28,0.2512261718155812,0.269627431868459,298
2025-03-31,0.24191980941320296,0.27217660658571075,299
2025-04-01,0.15470168545826474,0.18380013916634869,299
2025-04-02,0.07901287527825876,0.09148795762160221,299
2025-04-03,-0.12012755052877329,-0.10767749321002895,299
2025-04-07,-0.182242909559347,-0.19056856187290971,299
2025-04-08,-0.2119389318681571,-0.1694004623914166,299
2025-04-09,-0.06355439820643706,-0.04456824762631591,299
2025-04-10,-0.05427597790916859,0.006636888060874054,299
2025-04-11,0.10597848994466957,0.14360575520190344,299
2025-04-14,0.06312184438104591,0.09779488675899531,299
2025-04-15,0.06992910933961459,0.11473232924064555,299
2025-04-16,0.05644409148593559,0.08734035150726134,299
2025-04-17,0.02935796119639715,0.0488267378958946,299
2025-04-18,-0.015913212159802643,0.002589391932841014,299
2025-04-21,0.04280192473148841,0.06452335525577428,299
2025-04-22,0.03911019375336529,0.049148616192678046,299
2025-04-23,0.021633495148402057,0.048615294830643536,299
2025-04-24,0.010287899334060005,0.03983704069493389,299
2025-04-25,-0.07276295219899755,-0.013869048955130076,299
