signal_ts,ic,rank_ic,n
2025-01-02,0.22469821215932695,0.18062953130067225,297
2025-01-03,0.14505157942935012,0.09525007008228487,297
2025-01-06,0.19476434418120317,0.18032629945381623,297
2025-01-07,0.23922774885271483,0.2002986476286739,298
2025-01-08,0.04689602892826012,0.019186046907085717,298
2025-01-09,-0.04865362616723343,-0.007908992735371491,298
2025-01-10,0.24095381379380482,0.29463188020235004,297
2025-01-13,0.3539986822044411,0.35084794984123846,297
2025-01-14,0.3419355847228728,0.2893839538134841,297
2025-01-15,0.3281372536276989,0.2334880640249768,297
2025-01-16,0.25601962472628587,0.1920025577743699,297
2025-01-17,-0.029218562945182623,-0.10984278827873807,298
2025-01-20,-0.08491132590639468,-0.17601958395655504,298
2025-01-21,-0.10236681841397705,-0.1336928804101258,298
2025-01-22,0.05216194692700291,0.03728266027653247,298
2025-01-23,0.10870695712757003,0.11091703096371902,298
2025-01-24,0.20518437201304462,0.23952278956655962,298
2025-01-27,0.24299012155906166,0.32294959198956863,298
2025-02-05,0.1950685893419615,0.2914229044955628,298
2025-02-06,0.05007300950169705,0.029546782902487606,297
2025-02-07,0.13622203943406053,0.1485863532843399,297
2025-02-10,0.11446756056820304,0.0905445104452983,298
2025-02-11,0.0030361337497443026,-0.046476073613511595,298
2025-02-12,0.10949604851321762,0.07787942045310005,298
2025-02-13,0.2596798555413433,0.28023744889808505,298
2025-02-14,0.2589474564992902,0.26548001167201635,299
2025-02-17,0.26905220635411425,0.2961859441987834,299
2025-02-18,0.3560315162369057,0.38765953626181227,299
2025-02-19,0.2133159169267731,0.21699400686853265,299
2025-02-20,-0.182508910829733,-0.18799802473569616,299
2025-02-21,-0.42152236598336673,-0.4330744539965433,299
2025-02-24,-0.39664734001589896,-0.38114733562647185,298
2025-02-25,-0.31481125025757195,-0.2970775293506545,298
2025-02-26,-0.2875583961100814,-0.3459113593341781,298
2025-02-27,0.07579846023295021,-0.01574747270691245,298
2025-02-28,0.26008776273974443,0.26279608275523064,298
2025-03-03,0.24312662649781341,0.24867267090786202,298
2025-03-04,0.14417880010020215,0.14313705618053443,298
2025-03-05,-0.09378457424860336,-0.17952118885880192,298
2025-03-06,-0.20646977763202132,-0.28669877604806115,298
2025-03-07,-0.09900394989172916,-0.1807545954029759,298
2025-03-10,0.0018643209889664088,-0.025949136944176335,299
2025-03-11,-0.13875967571690287,-0.20329105968440664,299
2025-03-12,-0.22321831551842108,-0.28131983569392377,299
2025-03-13,-0.26626447680465626,-0.3539848712711275,299
2025-03-14,-0.4829439231615336,-0.520369913133263,299
2025-03-17,-0.5410231182328769,-0.5783377534179985,298
2025-03-18,-0.5687712590350568,-0.5982368634834349,298
2025-03-19,-0.5115455748723235,-0.5371449851315624,297
2025-03-20,-0.26532391516512716,-0.3593068358169029,297
2025-03-21,-0.2331339108244912,-0.27827385042150143,297
2025-03-24,-0.15348885723010935,-0.1987964169172223,297
2025-03-25,-0.1138476536974738,-0.1661563943443138,297
2025-03-26,-0.06852004032163714,-0.10582974676934409,297
2025-03-27,-0.328878168789973,-0.3386755254277869,298
2025-03-28,-0.3260564563170483,-0.34537401126254347,298
2025-03-31,-0.3348719495635499,-0.3533379722116226,299
2025-04-01,-0.2237182015932461,-0.24020605598078604,299
2025-04-02,-0.22742502795251093,-0.245487194451303,299
2025-04-03,0.16464033307694367,0.15373886108055934,299
2025-04-07,0.19342110801465953,0.15093892392987812,299
2025-04-08,0.2438898094154386,0.20179030773720005,299
2025-04-09,-0.06059407862635081,-0.19745998967475478,299
2025-04-10,-0.08344683809975478,-0.1436434647931584,299
2025-04-11,-0.2760318418424131,-0.32526183475118403,299
2025-04-14,-0.06625283783362876,-0.12827321496711633,299
2025-04-15,0.10211091351278584,0.06848106664272408,299
2025-04-16,0.03102510851365305,0.007841350362505892,299
2025-04-17,0.0008077396726733987,-0.03534780364077125,299
2025-04-18,-0.01565095791559141,-0.013926062265717942,299
2025-04-21,-0.2023667548275965,-0.19631209176000536,299
2025-04-22,-0.09959701812853401,-0.06717424973625732,299
2025-04-23,0.10529252025074556,0.10524746919261073,299
2025-04-24,0.2406768574782009,0.20538483984646805,299
2025-04-25,0.17462402815477662,0.1536450360261274,299
2025-04-28,0.19874542549495003,0.1984000359138964,299
2025-04-29,0.037936817608528774,-0.04650445556777625,299
2025-04-30,-0.048498621170838925,-0.1961145653296222,299
2025-05-06,-0.1374368547037929,-0.31143094431101437,299
2025-05-07,-0.26876214300097423,-0.31339274090368346,299
2025-05-08,-0.20286306689719508,-0.23341608493636506,299
2025-05-09,-0.32731288930195224,-0.3692217907566609,299
2025-05-12,-0.29535528095610875,-0.34064240982245064,299
2025-05-13,-0.20969140907484649,-0.2457376938789253,299
2025-05-14,0.12406684908560478,0.07139951965163521,299
2025-05-15,-0.01082590626581271,-0.08553298466925546,299
2025-05-16,0.09944549623983578,0.03137662454265898,299
2025-05-19,-0.0005277095724166891,-0.07658234383066598,299
2025-05-20,-0.0961103055998454,-0.15959147942807117,299
2025-05-21,-0.03686835975854222,-0.10997239119211691,299
2025-05-22,-0.04851045842773516,-0.10366097281766964,299
2025-05-23,-0.027108981999453184,-0.06777401180669344,299
2025-05-26,0.07522455765812801,0.0054911531421598546,297
2025-05-27,0.15453738214129328,0.11463354751945357,297
