trade_date,entry_ts,exit_ts,hold_n,active_stocks,pool_size,avg_pred_score,strategy_ret,benchmark_pool_ret,benchmark_hs300_ret,benchmark_zz500_ret,benchmark_zz1000_ret,weighting_mode,portfolio_turnover,portfolio_concentration,portfolio_weight_entropy,timing_exposure,timing_enabled,timing_market_vol,timing_crowding,timing_momentum,timing_vol_z,timing_crowding_z,timing_momentum_z,timing_vol_threshold,timing_momentum_threshold,opt_iterations,opt_converged,state_market_vol,state_crowding,state_style_dispersion,state_vol_z,state_crowding_z,state_style_z,dynamic_expected_scale,dynamic_risk_scale,dynamic_style_scale,dynamic_industry_scale,dynamic_tc_scale,opt_turnover,opt_expected_ret_score,opt_style_exposure_dev,opt_industry_dev,opt_crowding_exposure,opt_liquidity_utilization,opt_effective_max_weight,execution_model,avg_fill_ratio,cash_drag_weight,extra_cost_bps,latency_bars,latency_penalty,strategy_net,strategy_cum_return,strategy_cum_ret,benchmark_pool_net,benchmark_pool_cum_return,benchmark_pool_cum_ret,excess_vs_pool_ret,excess_vs_pool_net,excess_vs_pool_cum_return,excess_vs_pool_cum_ret,benchmark_hs300_net,benchmark_hs300_cum_return,benchmark_hs300_cum_ret,excess_vs_hs300_ret,excess_vs_hs300_net,excess_vs_hs300_cum_return,excess_vs_hs300_cum_ret,benchmark_zz500_net,benchmark_zz500_cum_return,benchmark_zz500_cum_ret,excess_vs_zz500_ret,excess_vs_zz500_net,excess_vs_zz500_cum_return,excess_vs_zz500_cum_ret,benchmark_zz1000_net,benchmark_zz1000_cum_return,benchmark_zz1000_cum_ret,excess_vs_zz1000_ret,excess_vs_zz1000_net,excess_vs_zz1000_cum_return,excess_vs_zz1000_cum_ret,benchmark_ret,benchmark_net,benchmark_cum_return,benchmark_cum_ret,excess_ret,excess_net,excess_cum_return,excess_cum_ret
2024-10-08,2024-10-09,2024-10-16,5,8,50,0.8379562043692607,-0.007863980416849412,-0.0543184855264054,-0.03144476822959874,-0.04786788433934419,-0.035465605564848346,dynamic_opt,0.9999999999989999,0.0008684891794091384,0.37114994386978706,0.8873141023679669,1.0,0.0263289827105084,2.1235012631978796,0.2042206528387921,-2.8386462718560495,4.0,3.5914262795995873,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.0263289827105084,2.1235012631978796,0.9999999999390495,-4.0,4.0,-1.8591301913697555,0.4,2.0,2.0788695287054635,1.371826038273951,2.2,0.9999999999989999,-0.28225372097306,1.1572289574966994,1.000088900582341e-12,0.6437094387939803,0.9999999999932773,0.25,1.0,0.33010253892825625,0.9186560843640952,0.22452716575095968,1.0,0.03,0.9921360195831506,-0.007863980416849436,-0.007863980416849436,0.9456815144735946,-0.05431848552640539,-0.05431848552640539,0.04645450510955598,1.046454505109556,0.046454505109555955,0.046454505109555955,0.9685552317704013,-0.03144476822959874,-0.03144476822959874,0.02358078781274933,1.0235807878127494,0.023580787812749415,0.023580787812749415,0.9521321156606558,-0.04786788433934419,-0.04786788433934419,0.04000390392249478,1.0400039039224949,0.040003903922494866,0.040003903922494866,0.9645343944351517,-0.035465605564848346,-0.035465605564848346,0.027601625147998934,1.027601625147999,0.02760162514799891,0.02760162514799891,-0.0543184855264054,0.9456815144735946,-0.05431848552640539,-0.05431848552640539,0.04645450510955598,1.046454505109556,0.046454505109555955,0.046454505109555955
2024-10-15,2024-10-16,2024-10-23,5,8,50,0.9815583923758514,0.00038224479545410147,0.017189342015272942,0.03696116676397154,0.057734832326451935,0.06866500550752996,dynamic_opt,1.0484985552150288,0.0009302412573045099,0.35206415958776893,1.0,1.0,0.03642278128121516,0.7508839833875807,0.12255527877180683,-1.8301811635283256,0.0,2.9110765795623483,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.03642278128121516,0.7508839833875807,0.9999999999442345,-2.7342897103911543,0.8816446375296771,-0.7413532464920503,0.707860380876089,1.2204111593824192,1.287531914479743,1.14827064929841,1.2644933912589031,1.0484985552150288,0.17487629478528555,0.8680488804571058,9.999778782798785e-13,-0.23885279083354055,0.9999999999934202,0.25,1.0,0.35166506373538303,0.922102940080625,0.19298265494519742,1.0,0.03,0.9925152584130187,-0.007484741586981314,-0.007484741586981314,0.9619371574634025,-0.03806284253659753,-0.03806284253659753,-0.01680709721981884,1.0288666425060622,0.02886664250606219,0.02886664250606219,1.0043541632119841,0.004354163211984119,0.004354163211984119,-0.03657892196851744,0.9861393060468733,-0.013860693953126724,-0.013860693953126724,1.0071033037109538,0.007103303710953801,0.007103303710953801,-0.05735258753099783,0.9803569889902005,-0.019643011009799483,-0.019643011009799483,1.0307641539412433,0.030764153941243322,0.030764153941243322,-0.06828276071207587,0.9574341492706778,-0.042565850729322174,-0.042565850729322174,0.017189342015272942,0.9619371574634025,-0.03806284253659753,-0.03806284253659753,-0.01680709721981884,1.0288666425060622,0.02886664250606219,0.02886664250606219
2024-10-22,2024-10-23,2024-10-30,5,8,50,0.8579816370473277,-0.0034800560934248616,0.0012458061003637578,-0.021081196584423534,0.010655630002373462,0.019609972121990893,dynamic_opt,1.077897059918375,0.002509766993797388,0.4923213822120174,1.0,1.0,0.03656693017163368,0.7403833631854789,0.16519454593393346,-1.6595113742804608,-0.10696144095591022,2.64687289369477,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.03656693017163368,0.7403833631854789,0.9999999999539612,-1.8290938861233599,0.5937630855312682,0.2662689308445939,0.9410510521563987,1.148440771382817,1.1586929567329427,1.0532537861689188,1.1781289256593805,1.077897059918375,-0.06552442115583441,1.1512720240951622,9.99866855977416e-13,-0.5670864525168041,0.999999999995,0.25,1.0,0.3542636601220726,0.8776911635327314,0.2395061690012934,1.0,0.03,0.9890612496401613,-0.010938750359838711,-0.010938750359838711,0.963135544642337,-0.03686445535766303,-0.03686445535766303,-0.00472586219378862,1.0240043605377926,0.024004360537792646,0.024004360537792646,0.9831811756569281,-0.016818824343071914,-0.016818824343071914,0.017601140490998674,1.0034964825163002,0.0034964825163001922,0.0034964825163001922,1.0178346238894658,0.017834623889465773,0.017834623889465773,-0.014135686095798324,0.966498970332013,-0.03350102966798696,-0.03350102966798696,1.0509774102643787,0.05097741026437874,0.05097741026437874,-0.023090028215415753,0.9353269677496153,-0.06467303225038468,-0.06467303225038468,0.0012458061003637578,0.963135544642337,-0.03686445535766303,-0.03686445535766303,-0.00472586219378862,1.0240043605377926,0.024004360537792646,0.024004360537792646
2024-10-29,2024-10-30,2024-11-06,5,11,49,0.9289820443568078,0.0017881581387859588,0.03268691618737945,0.034666607018114526,0.04930734057630648,0.04549430361798379,dynamic_opt,1.0371411726470785,0.0009148385934116347,0.36301747351370767,1.0,1.0,0.03631120183889221,0.7934733851055601,0.09306569343065685,-1.5262717977017042,0.4417838894562784,1.7187872303961256,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.03631120183889221,0.7934733851055601,0.9999999999578776,-1.661305796444568,0.9065346530687701,0.48769449848153573,0.9246087721742977,1.2266336632671926,1.2544611053859844,1.0975388996963071,1.271960395920631,1.0371411726470785,0.07797919045884588,0.7037670636178411,9.997558336749535e-13,0.10731839605248465,0.9999999999940213,0.25,1.0,0.2029940296958026,0.9215209845031287,0.23472711242114155,1.0,0.03,0.9908298475634632,-0.00917015243653685,-0.00917015243653685,0.9946174754671472,-0.005382524532852817,-0.005382524532852817,-0.03089875804859349,0.9923638975608307,-0.0076361024391693455,-0.0076361024391693455,1.0172647311010345,0.017264731101034547,0.017264731101034547,-0.032878448879328566,0.970503074715302,-0.02949692528469805,-0.02949692528469805,1.0680213423399405,0.0680213423399405,0.0680213423399405,-0.04751918243752052,0.9205717294351304,-0.07942827056486956,-0.07942827056486956,1.0987908956625887,0.0987908956625887,0.0987908956625887,-0.04370614547919783,0.8944474312265337,-0.1055525687734663,-0.1055525687734663,0.03268691618737945,0.9946174754671472,-0.005382524532852817,-0.005382524532852817,-0.03089875804859349,0.9923638975608307,-0.0076361024391693455,-0.0076361024391693455
2024-11-05,2024-11-06,2024-11-13,5,1,49,0.7784671532802129,0.001597173987799357,0.004037738663025399,0.02152110077745517,0.021883555533354082,0.028793173830835794,dynamic_opt,0.25307901549669676,0.03048515999993904,0.3047219831705504,0.8168227424027424,1.0,0.028058463593464384,0.9274848082548677,-0.05004225047347388,-0.828311759234996,2.2137878567528233,0.47751910097531014,0.7565824509723184,-0.4286304829340774,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.17460000000003917,0.8254000000001745,0.045000000000000005,1.0,0.03,0.9924123752223267,-0.007587624777673274,-0.007587624777673274,0.9986334809027617,-0.0013665190972382835,-0.0013665190972382835,-0.0024405646752260423,0.9899419692874741,-0.010058030712525867,-0.010058030712525867,1.0391573878964107,0.039157387896410656,0.039157387896410656,-0.019923926789655814,0.9511668425055384,-0.0488331574944616,-0.0488331574944616,1.091393446695844,0.09139344669584393,0.09139344669584393,-0.020286381545554726,0.9018966600917582,-0.09810333990824183,-0.09810333990824183,1.1304285729251413,0.13042857292514132,0.13042857292514132,-0.027195999843036438,0.8701220390272926,-0.12987796097270743,-0.12987796097270743,0.004037738663025399,0.9986334809027617,-0.0013665190972382835,-0.0013665190972382835,-0.0024405646752260423,0.9899419692874741,-0.010058030712525867,-0.010058030712525867
2024-11-12,2024-11-13,2024-11-20,5,11,50,0.9026379596881224,-0.007528599308045245,-0.022930800091503563,-0.03043550180131338,-0.04272488710176514,-0.03453466069565758,dynamic_opt,1.1745999999988255,0.006307567649795187,0.525743718226613,0.8971883366774959,1.0,0.0189993991068648,0.9136877067946494,0.02611470145917172,-0.625189495639186,1.6887784106714914,0.8258272218080638,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.0189993991068648,0.9136877067946494,0.9999999999602781,-1.6272685602692927,1.6360250651764012,0.7875751208273002,0.8472790100171617,1.4090062662941003,1.445341281159375,1.15751502416546,1.4908075195529205,1.1745999999988255,0.1693875024527439,1.1649420260715215,9.997558336749535e-13,0.07219175103234139,0.999999999990789,0.25,1.0,0.24202036315734032,0.855310428269946,0.23071364520154483,1.0,0.03,0.9849409001009324,-0.015059099899067618,-0.015059099899067618,0.9757340161874981,-0.02426598381250189,-0.02426598381250189,0.015402200783458317,1.005189254262412,0.005189254262411902,0.005189254262411902,1.0075301113452413,0.007530111345241286,0.007530111345241286,0.022906902493268134,0.9729551286216426,-0.027044871378357427,-0.027044871378357427,1.0447637849021576,0.0447637849021576,0.0447637849021576,0.035196287793719895,0.9336400745005425,-0.06635992549945746,-0.06635992549945746,1.091389605718495,0.09138960571849508,0.09138960571849508,0.027006061387612336,0.8936206082279781,-0.10637939177202194,-0.10637939177202194,-0.022930800091503563,0.9757340161874981,-0.02426598381250189,-0.02426598381250189,0.015402200783458317,1.005189254262412,0.005189254262411902,0.005189254262411902
2024-11-19,2024-11-20,2024-11-27,5,9,50,0.7346094686453124,-0.005117433875498264,-0.035371310491900655,-0.019752253828805855,-0.03128184247019994,-0.021139523993957465,dynamic_opt,1.111713348507493,0.003268982073830782,0.5176408018953643,1.0,1.0,0.01751728373149461,0.6858608836419783,0.0015069870966261112,-0.45785627822081876,-0.6652955631266243,0.6613340303945564,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.01751728373149461,0.6858608836419783,0.9999999999586966,-0.6163644914460208,-0.10449971591298621,0.5151057539697003,1.092719035714546,1.0,1.077265863095455,1.10302115079394,1.0,1.111713348507493,0.39398885374977566,0.6942246913523429,9.99866855977416e-13,0.2694787065313577,0.9999999999950002,0.25,1.0,0.3239774886306275,0.8684014401264171,0.23288481439247444,1.0,0.03,0.9799005301733922,-0.02009946982660782,-0.02009946982660782,0.9412210253434209,-0.05877897465657911,-0.05877897465657911,0.03025387661640239,1.0356001259370005,0.03560012593700046,0.03560012593700046,0.987629120845785,-0.012370879154214975,-0.012370879154214975,0.01463481995330759,0.9871941517516675,-0.01280584824833253,-0.01280584824833253,1.0120816487642785,0.01208164876427853,0.01208164876427853,0.026164408594701673,0.9580682148901625,-0.04193178510983753,-0.04193178510983753,1.0683181489616531,0.06831814896165311,0.06831814896165311,0.0160220901184592,0.907938278144719,-0.09206172185528105,-0.09206172185528105,-0.035371310491900655,0.9412210253434209,-0.05877897465657911,-0.05877897465657911,0.03025387661640239,1.0356001259370005,0.03560012593700046,0.03560012593700046
2024-11-26,2024-11-27,2024-12-04,5,10,50,0.6689881657508754,0.0048029182330757885,0.031381040683863284,0.006017847247727914,0.012805134663821383,0.01410128093322327,dynamic_opt,1.0633940344154729,0.0019419992280750452,0.49224054599912964,1.0,1.0,0.017706873451995883,0.5899992058912953,-0.03573447910724664,-0.15401201541235235,-1.6688730033653305,0.4329138696725744,0.7565824509723184,-0.4286304829340774,36.0,1.0,0.017706873451995883,0.5899992058912953,0.9999999999586556,-0.15401201541235235,-0.7161285172063858,0.5852899295065128,1.1053521873111722,1.0,1.0877934894259769,1.1170579859013026,1.0,1.0633940344154729,0.412627814025677,0.15454794498040772,1.000310945187266e-12,-0.03316729638911777,0.9999999999935925,0.25,1.0,0.2952743525039721,0.8847513389736068,0.23648682620762898,1.0,0.03,0.9846069122963625,-0.015393087703637454,-0.015393087703637454,0.9707575206322303,-0.02924247936776969,-0.02924247936776969,-0.026578122450787497,1.0080758189797958,0.008075818979795812,0.008075818979795812,0.9935725220324427,-0.006427477967557271,-0.006427477967557271,-0.0012149290146521259,0.9859947809336095,-0.014005219066390517,-0.014005219066390517,1.0250414905674874,0.02504149056748739,0.02504149056748739,-0.008002216430745595,0.9504015456791933,-0.04959845432080667,-0.04959845432080667,1.0833828033062225,0.0833828033062225,0.0833828033062225,-0.009298362700147483,0.899495938725182,-0.10050406127481804,-0.10050406127481804,0.031381040683863284,0.9707575206322303,-0.02924247936776969,-0.02924247936776969,-0.026578122450787497,1.0080758189797958,0.008075818979795812,0.008075818979795812
2024-12-03,2024-12-04,2024-12-11,5,5,50,0.8184622245586112,0.0017423639519064445,0.011969229613182275,0.014825888544549581,0.028546911436283517,0.039070289905873246,dynamic_opt,1.1041405969982916,0.005998925124284131,0.5031148506366078,1.0,1.0,0.016727182432065453,0.749367685121705,-0.03718169695002904,-0.22831711405136126,-0.01544532078253271,0.28652443364335956,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.016727182432065453,0.749367685121705,0.9999999999549988,-0.22831711405136126,0.527996808421537,0.07154411102897078,0.9178385144693382,1.1319992021053842,1.116330978338653,1.014308822205794,1.1583990425264612,1.1041405969982916,0.1911105430146766,1.2301488786693047,9.999778782798785e-13,0.2236099435648715,0.999999999995,0.25,1.0,0.23645187164665282,0.8503727158484412,0.23771259967420577,1.0,0.03,0.9863224558871457,-0.013677544112854267,-0.013677544112854267,0.9823767402954011,-0.01762325970459888,-0.01762325970459888,-0.010226865661275831,0.9977663630027088,-0.0022336369972911774,-0.0022336369972911774,1.0083031175050228,0.008303117505022772,0.008303117505022772,-0.013083524592643137,0.9730944939690468,-0.026905506030953208,-0.026905506030953208,1.0543032592172334,0.054303259217233446,0.054303259217233446,-0.02680454748437707,0.92492646231881,-0.07507353768118996,-0.07507353768118996,1.1257108835104344,0.12571088351043436,0.12571088351043436,-0.0373279259539668,0.8659196209285545,-0.13408037907144554,-0.13408037907144554,0.011969229613182275,0.9823767402954011,-0.01762325970459888,-0.01762325970459888,-0.010226865661275831,0.9977663630027088,-0.0022336369972911774,-0.0022336369972911774
2024-12-10,2024-12-11,2024-12-18,5,9,50,0.8925834595588167,-0.00031132518563330505,-0.007523263928461155,-0.01176810950376217,-0.026209070290659775,-0.0390090601227725,dynamic_opt,1.0919866603166715,0.00033700908052207304,0.27606970100523437,0.6919182259358165,1.0,0.014786807811498714,1.0733533091769458,-0.018843181965048916,-0.4267327745583669,3.3450047953462625,0.3302338183805347,0.7565824509723184,-0.4286304829340774,220.0,0.0,0.014786807811498714,1.0733533091769458,0.9999999999509667,-0.4267327745583669,2.894737319836707,-0.6220096948281258,0.4,1.7236843299591769,1.6722489181915603,1.1244019389656252,1.868421195951012,1.0919866603166715,0.15185489262653779,0.8358022586448882,9.99866855977416e-13,0.06721686927082927,0.9999999999916578,0.25,1.0,0.2206836025026332,0.9458309952231634,0.23825022015070796,1.0,0.03,0.9860153888654725,-0.013984611134527536,-0.013984611134527536,0.9749860608009775,-0.025013939199022506,-0.025013939199022506,0.00721193874282785,1.0049621928923385,0.004962192892338457,0.004962192892338457,0.9964372960052389,-0.0035627039947611072,-0.0035627039947611072,0.011456784318128865,0.9842430277076089,-0.015756972292391147,-0.015756972292391147,1.0266709509887373,0.026670950988737285,0.026670950988737285,0.02589774510502647,0.9488799720808364,-0.05112002791916359,-0.05112002791916359,1.0817979599747165,0.0817979599747165,0.0817979599747165,0.0386977349371392,0.8994287488961157,-0.10057125110388432,-0.10057125110388432,-0.007523263928461155,0.9749860608009775,-0.025013939199022506,-0.025013939199022506,0.00721193874282785,1.0049621928923385,0.004962192892338457,0.004962192892338457
