trade_date,entry_ts,exit_ts,hold_n,active_stocks,pool_size,avg_pred_score,strategy_ret,benchmark_pool_ret,benchmark_hs300_ret,benchmark_zz500_ret,benchmark_zz1000_ret,weighting_mode,portfolio_turnover,portfolio_concentration,portfolio_weight_entropy,timing_exposure,timing_enabled,portfolio_mode,execution_model,avg_fill_ratio,cash_drag_weight,extra_cost_bps,strategy_net,strategy_cum_return,strategy_cum_ret,benchmark_pool_net,benchmark_pool_cum_return,benchmark_pool_cum_ret,excess_vs_pool_ret,excess_vs_pool_net,excess_vs_pool_cum_return,excess_vs_pool_cum_ret,benchmark_hs300_net,benchmark_hs300_cum_return,benchmark_hs300_cum_ret,excess_vs_hs300_ret,excess_vs_hs300_net,excess_vs_hs300_cum_return,excess_vs_hs300_cum_ret,benchmark_zz500_net,benchmark_zz500_cum_return,benchmark_zz500_cum_ret,excess_vs_zz500_ret,excess_vs_zz500_net,excess_vs_zz500_cum_return,excess_vs_zz500_cum_ret,benchmark_zz1000_net,benchmark_zz1000_cum_return,benchmark_zz1000_cum_ret,excess_vs_zz1000_ret,excess_vs_zz1000_net,excess_vs_zz1000_cum_return,excess_vs_zz1000_cum_ret,benchmark_ret,benchmark_net,benchmark_cum_return,benchmark_cum_ret,excess_ret,excess_net,excess_cum_return,excess_cum_ret
2024-07-01,2024-07-02,2024-07-09,5,2,5,0.5089719775498392,0.0026153430427908117,-0.0040451468244574905,-0.009209957065326235,-0.014663771545963433,-0.022135089131919417,equal_weight,0.9999999999989999,0.4999999999989999,0.6931471805582522,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,1.0026153430427909,0.002615343042790874,0.002615343042790874,0.9959548531755426,-0.004045146824457446,-0.004045146824457446,0.006660489867248302,1.0066604898672482,0.006660489867248209,0.006660489867248209,0.9907900429346738,-0.009209957065326235,-0.009209957065326235,0.011825300108117047,1.011825300108117,0.011825300108116998,0.011825300108116998,0.9853362284540366,-0.014663771545963433,-0.014663771545963433,0.017279114588754245,1.0172791145887543,0.017279114588754307,0.017279114588754307,0.9778649108680806,-0.022135089131919417,-0.022135089131919417,0.024750432174710228,1.0247504321747103,0.02475043217471029,0.02475043217471029,-0.0040451468244574905,0.9959548531755426,-0.004045146824457446,-0.004045146824457446,0.006660489867248302,1.0066604898672482,0.006660489867248209,0.006660489867248209
2024-07-08,2024-07-09,2024-07-16,5,3,5,0.6529235092574751,0.0251523264450202,0.011152093450434265,0.016998608353772537,0.0044011573747988475,0.008266516408060198,equal_weight,0.6666666666659999,0.33333333333266657,1.0986122886650111,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,1.027833451449789,0.027833451449789104,0.027833451449789104,1.0070618347705698,0.007061834770569764,0.007061834770569764,0.014000232994585936,1.0207539712718336,0.02075397127183365,0.02075397127183365,1.0076320948353377,0.007632094835337666,0.007632094835337666,0.008153718091247663,1.0200754383627906,0.020075438362790576,0.020075438362790576,0.9896728482625535,-0.010327151737446472,-0.010327151737446472,0.020751169070221353,1.0383888454871906,0.03838884548719057,0.03838884548719057,0.985948447198638,-0.014051552801362055,-0.014051552801362055,0.016885810036960002,1.0420541733077051,0.04205417330770511,0.04205417330770511,0.011152093450434265,1.0070618347705698,0.007061834770569764,0.007061834770569764,0.014000232994585936,1.0207539712718336,0.02075397127183365,0.02075397127183365
2024-07-15,2024-07-16,2024-07-23,5,3,5,0.6008425867484698,0.010417956150414687,-0.0030976798221157287,-0.016695333110557598,-0.03584136169573415,-0.02931016445449175,equal_weight,0.0,0.33333333333266657,1.0986122886650111,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,1.0385413752769224,0.03854137527692236,0.03854137527692236,1.003942279645378,0.003942279645378077,0.003942279645378077,0.013515635972530415,1.0345501103650585,0.034550110365058506,0.034550110365058506,0.9908093413591728,-0.009190658640827243,-0.009190658640827243,0.027113289260972284,1.0477330387911339,0.047733038791133886,0.047733038791133886,0.9542016257475279,-0.04579837425247213,-0.04579837425247213,0.04625931784614884,1.086424005138478,0.08642400513847792,0.08642400513847792,0.957050136067595,-0.042949863932404964,-0.042949863932404964,0.039728120604906436,1.0834530271817198,0.08345302718171976,0.08345302718171976,-0.0030976798221157287,1.003942279645378,0.003942279645378077,0.003942279645378077,0.013515635972530415,1.0345501103650585,0.034550110365058506,0.034550110365058506
2024-07-22,2024-07-23,2024-07-30,5,3,5,0.5487616642394643,-0.025053883937456847,-0.020821507641894298,-0.020493750069043415,-0.004979462390840794,0.0016055538788137813,equal_weight,0.0,0.33333333333266657,1.0986122886650111,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,1.0125218801964875,0.012521880196487478,0.012521880196487478,0.9830386877977211,-0.016961312202278922,-0.016961312202278922,-0.00423237629556255,1.0301715050013778,0.030171505001377774,0.030171505001377774,0.9705039423512843,-0.029496057648715657,-0.029496057648715657,-0.004560133868413432,1.0429552358758867,0.04295523587588668,0.04295523587588668,0.9494502146388389,-0.05054978536116106,-0.05054978536116106,-0.020074421546616053,1.064614671680965,0.06461467168096502,0.06461467168096502,0.9585867316257776,-0.041413268374222434,-0.041413268374222434,-0.02665943781627063,1.0545687785767184,0.05456877857671838,0.05456877857671838,-0.020821507641894298,0.9830386877977211,-0.016961312202278922,-0.016961312202278922,-0.00423237629556255,1.0301715050013778,0.030171505001377774,0.030171505001377774
2024-07-29,2024-07-30,2024-08-06,5,2,5,0.6495199028094305,-0.005588136440993559,-0.01760853031988374,-0.007836155116873411,0.010957844198326239,0.010091672690069942,equal_weight,0.6666666666659999,0.4999999999989999,0.6931471805582522,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,1.006863769780458,0.006863769780458107,0.006863769780458107,0.9657288212580162,-0.03427117874198382,-0.03427117874198382,0.012020393878890184,1.0425545722543033,0.04255457225430326,0.04255457225430326,0.9628989229174825,-0.03710107708251753,-0.03710107708251753,0.002248018675879852,1.0452998187242422,0.04529981872424216,0.04529981872424216,0.9598541421649187,-0.04014585783508129,-0.04014585783508129,-0.016545980639319797,1.046999577934996,0.046999577934996095,0.046999577934996095,0.9682604751663888,-0.0317395248336112,-0.0317395248336112,-0.0156798091310635,1.0380333414130567,0.0380333414130567,0.0380333414130567,-0.01760853031988374,0.9657288212580162,-0.03427117874198382,-0.03427117874198382,0.012020393878890184,1.0425545722543033,0.04255457225430326,0.04255457225430326
2024-08-05,2024-08-06,2024-08-13,5,3,5,0.5976913891345746,-0.014505000888293169,-0.012015383195737406,-0.0025692653169525626,-0.003986927609300195,-0.01102349142000969,equal_weight,0.6666666666659999,0.33333333333266657,1.0986122886650111,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,0.9922592099054023,-0.007740790094597716,-0.007740790094597716,0.9541252194074333,-0.045874780592566666,-0.045874780592566666,-0.0024896176925557623,1.039959009945764,0.03995900994576407,0.03995900994576407,0.9604249801110996,-0.03957501988890044,-0.03957501988890044,-0.011935735571340606,1.0328233964951794,0.0328233964951794,0.0328233964951794,0.9560272731846202,-0.04397272681537978,-0.04397272681537978,-0.010518073278992974,1.0359871596512011,0.03598715965120114,0.03598715965120114,0.9575868641260576,-0.042413135873942354,-0.042413135873942354,-0.0034815094682834787,1.0344194185065332,0.034419418506533184,0.034419418506533184,-0.012015383195737406,0.9541252194074333,-0.045874780592566666,-0.045874780592566666,-0.0024896176925557623,1.039959009945764,0.03995900994576407,0.03995900994576407
2024-08-12,2024-08-13,2024-08-20,5,3,5,0.5976913891345746,0.02117396885652925,0.021740542439783673,-0.0005059396171416264,-0.02743650190676572,-0.02517931550375041,equal_weight,0.0,0.33333333333266657,1.0986122886650111,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,1.0132692755135437,0.013269275513543732,0.013269275513543732,0.9748684192328285,-0.02513158076717148,-0.02513158076717148,-0.0005665735832544212,1.0393697966430613,0.03936979664306128,0.03936979664306128,0.9599390630643689,-0.040060936935631064,-0.040060936935631064,0.021679908473670878,1.055214913200661,0.055214913200660964,0.055214913200660964,0.9297972290809704,-0.0702027709190296,-0.0702027709190296,0.04861047076329497,1.0863469831865749,0.08634698318657485,0.08634698318657485,0.9334754823519806,-0.06652451764801937,-0.06652451764801937,0.04635328436027966,1.0823681559603615,0.08236815596036151,0.08236815596036151,0.021740542439783673,0.9748684192328285,-0.02513158076717148,-0.02513158076717148,-0.0005665735832544212,1.0393697966430613,0.03936979664306128,0.03936979664306128
2024-08-19,2024-08-20,2024-08-27,5,3,5,0.6008425867484698,-0.014680479464851896,-0.019599237501110412,-0.00821225293703065,-0.023190736221781583,-0.02612274703754125,equal_weight,1.3333333333319999,0.33333333333266657,1.0986122886650111,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,0.9983939967220018,-0.0016060032779982025,-0.0016060032779982025,0.9557617415519523,-0.04423825844804774,-0.04423825844804774,0.004918758036258516,1.0444822051829437,0.04448220518294366,0.04448220518294366,0.9520558006743481,-0.04794419932565186,-0.04794419932565186,-0.006468226527821246,1.0483895441065438,0.048389544106543836,0.048389544106543836,0.9082345468016102,-0.0917654531983898,-0.0917654531983898,0.008510256756929686,1.0955920749406087,0.09559207494060873,0.09559207494060873,0.909090538460753,-0.09090946153924695,-0.09090946153924695,0.011442267572689353,1.0947529020130182,0.09475290201301823,0.09475290201301823,-0.019599237501110412,0.9557617415519523,-0.04423825844804774,-0.04423825844804774,0.004918758036258516,1.0444822051829437,0.04448220518294366,0.04448220518294366
2024-08-26,2024-08-27,2024-09-03,5,2,5,0.6495199028094305,-0.011998208431900628,-0.023833729508051828,-0.009652882280580699,0.022511582132927366,0.025274683385354768,equal_weight,0.6666666666659999,0.4999999999989999,0.6931471805582522,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,0.986415057452173,-0.01358494254782705,-0.01358494254782705,0.9329823747296585,-0.0670176252703415,-0.0670176252703415,0.0118355210761512,1.0568441963360513,0.05684419633605131,0.05684419633605131,0.9428657181058947,-0.0571342818941053,-0.0571342818941053,-0.002345326151319929,1.0459307286919803,0.04593072869198034,0.04593072869198034,0.9286803433978967,-0.07131965660210327,-0.07131965660210327,-0.034509790564827995,1.0577834218899231,0.05778342188992314,0.05778342188992314,0.9320675139889703,-0.06793248601102975,-0.06793248601102975,-0.0372728918172554,1.0539482955296606,0.05394829552966063,0.05394829552966063,-0.023833729508051828,0.9329823747296585,-0.0670176252703415,-0.0670176252703415,0.0118355210761512,1.0568441963360513,0.05684419633605131,0.05684419633605131
2024-09-02,2024-09-03,2024-09-10,5,2,5,0.5713985190459224,0.0021928316368130807,-0.013546514766955453,-0.02372833616624548,-0.019313683812968385,-0.01855066390779292,equal_weight,0.9999999999989999,0.4999999999989999,0.6931471805582522,1.0,0.0,0.0,0.0,1.0,1.000088900582341e-12,0.0,0.9885780995971829,-0.011421900402817098,-0.011421900402817098,0.920343715213074,-0.07965628478692599,-0.07965628478692599,0.015739346403768534,1.0734782332369968,0.07347823323699676,0.07347823323699676,0.9204930833870496,-0.0795069166129504,-0.0795069166129504,0.02592116780305856,1.0730424746207805,0.0730424746207805,0.0730424746207805,0.9107441048821908,-0.08925589511780918,-0.08925589511780918,0.021506515449781466,1.0805326573953216,0.08053265739532156,0.08053265739532156,0.9147770427975888,-0.08522295720241124,-0.08522295720241124,0.020743495544606,1.0758108673022253,0.0758108673022253,0.0758108673022253,-0.013546514766955453,0.920343715213074,-0.07965628478692599,-0.07965628478692599,0.015739346403768534,1.0734782332369968,0.07347823323699676,0.07347823323699676
