signal_date,code,entry_date,exit_date,entry_price,exit_price,pred_prob_up,future_ret_ref,gross_trade_ret,net_trade_ret
2025-01-02,sh.688008,2025-01-03,2025-01-10,65.69351866542986,66.27064081281219,0.8330687710300291,0.008785069807579315,0.008785069807579315,0.008179980292549516
2025-01-02,sz.001391,2025-01-03,2025-01-10,8.377414623911966,8.45046021440477,0.7448380077681862,0.008719347647339504,0.008719347647339504,0.008114297553779348
2025-01-02,sz.300502,2025-01-03,2025-01-10,81.73333900308741,78.81268535577328,0.6977651260523005,-0.035733932847216265,-0.035733932847216265,-0.03631231897167042
2025-01-02,sz.301269,2025-01-03,2025-01-10,110.02402079035873,111.2344838411432,0.6860392918156116,0.011001807078927728,0.011001807078927728,0.010395387920428156
2025-01-02,sz.301236,2025-01-03,2025-01-10,53.868276913216526,54.41154557692565,0.6860392918156116,0.010085131636627942,0.010085131636627942,0.009479262318441428
2025-01-02,sz.300803,2025-01-03,2025-01-10,61.070408169749825,60.05522031331695,0.6860392918156116,-0.01662323679927058,-0.01662323679927058,-0.017213085902459957
2025-01-02,sh.688047,2025-01-03,2025-01-10,126.28492294833953,125.18713168296357,0.6808148436914542,-0.008692971732073063,-0.008692971732073063,-0.009287577567283267
2025-01-02,sz.300442,2025-01-03,2025-01-10,48.56815199321042,48.96814479386854,0.6447253730152879,0.008235701467764756,0.008235701467764756,0.00763094147488208
2025-01-02,sh.688506,2025-01-03,2025-01-10,190.27544385409567,188.7887229931805,0.618036093063409,-0.00781351934228669,-0.00781351934228669,-0.008408652690676699
2025-01-02,sh.601872,2025-01-03,2025-01-10,6.064512348410246,6.271499441291995,0.5607361051685562,0.03413087169902029,0.03413087169902029,0.0335105792637318
2025-01-02,sz.000408,2025-01-03,2025-01-17,27.246657804106988,31.84380155,0.5607361051685562,0.1687232165847108,0.1687232165847108,0.16802219296184684
2025-01-02,sh.600900,2025-01-03,2025-01-10,28.37866375112025,27.769667354026673,0.5607361051685562,-0.02145965724233634,-0.02145965724233634,-0.022046605363554517
2025-01-02,sh.601018,2025-01-03,2025-01-10,3.597572975334552,3.4817743881917456,0.5607361051685562,-0.032187974486606596,-0.032187974486606596,-0.032768487547996106
2025-01-02,sh.601825,2025-01-03,2025-01-10,7.842629965949463,7.787124854987461,0.5607361051685562,-0.00707735940672749,-0.00707735940672749,-0.007672934318609825
2025-01-02,sh.601816,2025-01-03,2025-01-10,5.838739354382548,5.627702982370837,0.5607361051685562,-0.036144167294310026,-0.036144167294310026,-0.03672230735191606
2025-01-02,sz.002028,2025-01-03,2025-01-10,71.91668678012175,71.77300294822393,0.5607361051685562,-0.001997920626378491,-0.001997920626378491,-0.0025965422875044997
2025-01-02,sh.601808,2025-01-03,2025-01-10,15.06648222401932,14.381424322412895,0.5607361051685562,-0.045469001417945076,-0.045469001417945076,-0.04604154825304363
2025-01-02,sh.601766,2025-01-03,2025-01-10,7.683806832003683,7.220360039635192,0.5607361051685562,-0.06031473753857752,-0.06031473753857752,-0.060878379603434785
2025-01-02,sh.601088,2025-01-03,2025-01-10,39.47242584062078,36.27231736928433,0.5607361051685562,-0.08107199907749685,-0.08107199907749685,-0.08162319052061728
2025-01-02,sh.601668,2025-01-03,2025-01-10,5.568139320297397,5.328358546091446,0.5607361051685562,-0.04306299832205007,-0.04306299832205007,-0.04363698832605545
2025-01-09,sh.605117,2025-01-10,2025-01-17,60.93061868874904,58.952191417302366,0.7448380077681862,-0.032470165477130886,-0.032470165477130886,-0.03305050927470532
2025-01-09,sz.300803,2025-01-10,2025-01-17,60.05522031331695,62.62348148741482,0.6860392918156116,0.042764994628240904,0.042764994628240904,0.04213952327287074
2025-01-09,sh.601456,2025-01-10,2025-01-17,11.350978258106103,11.110822125718613,0.6860392918156116,-0.021157307055624575,-0.021157307055624575,-0.021744436532548095
2025-01-09,sh.688472,2025-01-10,2025-01-17,11.353927597194001,11.168287712526988,0.618036093063409,-0.01635027906236397,-0.01635027906236397,-0.01694029189107793
2025-01-09,sz.300394,2025-01-10,2025-01-17,64.40557755687651,76.45524774583788,0.618036093063409,0.187090476415946,0.187090476415946,0.18637843574229862
2025-01-09,sh.600219,2025-01-10,2025-01-17,3.6154671678483132,3.734843833273925,0.5607361051685562,0.03301832374144431,0.03301832374144431,0.03239869863473155
2025-01-09,sh.601328,2025-01-10,2025-01-17,7.008344597067342,6.990399733309753,0.5607361051685562,-0.002560499631552915,-0.002560499631552915,-0.003158783846509361
2025-01-09,sh.601899,2025-01-10,2025-01-17,15.795036905709189,15.856075491687946,0.5607361051685562,0.0038644155339511155,0.0038644155339511155,0.0032622775260331416
2025-01-09,sh.603993,2025-01-10,2025-01-17,6.7877915703892855,6.86114159896376,0.5607361051685562,0.01080616984372984,0.01080616984372984,0.010199868032367165
2025-01-09,sh.600690,2025-01-10,2025-01-17,27.522654512095375,25.88241330826464,0.5607361051685562,-0.05959603944128422,-0.05959603944128422,-0.06016011259567311
2025-01-09,sh.601166,2025-01-10,2025-01-17,18.674363200600432,19.00172834754944,0.5607361051685562,0.017530190637904397,0.017530190637904397,0.016919855624026203
2025-01-09,sh.601825,2025-01-10,2025-01-17,7.787124854987461,7.825306715872823,0.5607361051685562,0.004903203890445296,0.004903203890445296,0.004300442796439263
