trade_date,entry_date,exit_date,hold_n_days,active_stocks,pool_size,avg_pred_prob,strategy_ret,benchmark_pool_ret,benchmark_hs300_ret,benchmark_zz500_ret,benchmark_zz1000_ret,strategy_net,strategy_cum_return,strategy_cum_ret,benchmark_pool_net,benchmark_pool_cum_return,benchmark_pool_cum_ret,benchmark_hs300_net,benchmark_hs300_cum_return,benchmark_hs300_cum_ret,benchmark_zz500_net,benchmark_zz500_cum_return,benchmark_zz500_cum_ret,benchmark_zz1000_net,benchmark_zz1000_cum_return,benchmark_zz1000_cum_ret,excess_vs_pool_ret,excess_vs_pool_net,excess_vs_pool_cum_return,excess_vs_pool_cum_ret,excess_vs_hs300_ret,excess_vs_hs300_net,excess_vs_hs300_cum_return,excess_vs_hs300_cum_ret,excess_vs_zz500_ret,excess_vs_zz500_net,excess_vs_zz500_cum_return,excess_vs_zz500_cum_ret,excess_vs_zz1000_ret,excess_vs_zz1000_net,excess_vs_zz1000_cum_return,excess_vs_zz1000_cum_ret,benchmark_ret,benchmark_net,benchmark_cum_return,benchmark_cum_ret,excess_ret,excess_net,excess_cum_return,excess_cum_ret
2025-01-02,2025-01-03,2025-01-10,5,10,297,0.6802071690186681,0.003971031744436482,-0.00880272783192418,-0.011306525675036871,-0.010782076876762914,-0.014273780760857169,1.0039710317444366,0.003971031744436582,0.003971031744436582,0.9911972721680758,-0.008802727831924151,-0.008802727831924151,0.9886934743249631,-0.011306525675036871,-0.011306525675036871,0.9892179231232371,-0.010782076876762914,-0.010782076876762914,0.9857262192391428,-0.014273780760857169,-0.014273780760857169,0.012773759576360663,1.0127737595763606,0.012773759576360622,0.012773759576360622,0.015277557419473353,1.0152775574194735,0.015277557419473453,0.015277557419473453,0.014753108621199395,1.0147531086211994,0.014753108621199384,0.014753108621199384,0.01824481250529365,1.0182448125052936,0.01824481250529364,0.01824481250529364,-0.00880272783192418,0.9911972721680758,-0.008802727831924151,-0.008802727831924151,0.012773759576360663,1.0127737595763606,0.012773759576360622,0.012773759576360622
2025-01-09,2025-01-10,2025-01-17,5,10,298,0.6227326249249009,-0.005976813423520777,0.007651885935636765,0.0213964920384051,0.0406037605407501,0.053500539954076665,0.9979704842050805,-0.002029515794919501,-0.002029515794919501,0.9987818006344202,-0.001218199365579764,-0.001218199365579764,1.0098480463767803,0.009848046376780273,0.009848046376780273,1.029383890796351,0.029383890796351064,0.029383890796351064,1.0384631042153276,0.038463104215327615,0.038463104215327615,-0.013628699359157542,0.9989709704882507,-0.0010290295117493242,-0.0010290295117493242,-0.02737330546192588,0.9874860547115922,-0.012513945288407768,-0.012513945288407768,-0.04658057396427088,0.9674853263895958,-0.032514673610404166,-0.032514673610404166,-0.05947735337759744,0.9576823059670109,-0.04231769403298913,-0.04231769403298913,0.007651885935636765,0.9987818006344202,-0.001218199365579764,-0.001218199365579764,-0.013628699359157542,0.9989709704882507,-0.0010290295117493242,-0.0010290295117493242
2025-01-16,2025-01-17,2025-01-24,5,10,297,0.6263096605330605,0.054298425912347806,0.005523125204134633,0.005382779041654739,0.01121401522812282,0.016529454742661542,1.0521587106044,0.052158710604399916,0.052158710604399916,1.004298197570935,0.004298197570935081,0.004298197570935081,1.0152838352760731,0.015283835276073132,0.015283835276073132,1.0409274174233256,0.04092741742332562,0.04092741742332562,1.0556283330983787,0.05562833309837867,0.05562833309837867,0.048775300708213176,1.0476960799725907,0.04769607997259073,0.04769607997259073,0.048915646870693066,1.0357895738535983,0.03578957385359827,0.03578957385359827,0.043084410684224986,1.0091688615227266,0.009168861522726557,0.009168861522726557,0.03776897116968626,0.9938529813707976,-0.0061470186292024165,-0.0061470186292024165,0.005523125204134633,1.004298197570935,0.004298197570935081,0.004298197570935081,0.048775300708213176,1.0476960799725907,0.04769607997259073,0.04769607997259073
2025-01-23,2025-01-24,2025-02-10,5,10,298,0.6469304755561124,0.08592277967882028,0.028883526105342422,0.01779296108601791,0.04223063920919645,0.045875890221332094,1.1425631116828134,0.14256311168281344,0.14256311168281344,1.0333058707780236,0.033305870778023605,0.033305870778023605,1.0333487410484032,0.03334874104840324,0.03334874104840324,1.0848864476314908,0.08488644763149078,0.08488644763149078,1.1040562226221278,0.10405622262212777,0.10405622262212777,0.05703925357347786,1.107455882346086,0.10745588234608605,0.10745588234608605,0.06812981859280237,1.10635772962056,0.10635772962056,0.10635772962056,0.04369214046962383,1.0532616091779479,0.053261609177947866,0.053261609177947866,0.04004688945748819,1.033653701852749,0.03365370185274896,0.03365370185274896,0.028883526105342422,1.0333058707780236,0.033305870778023605,0.033305870778023605,0.05703925357347786,1.107455882346086,0.10745588234608605,0.10745588234608605
2025-02-07,2025-02-10,2025-02-17,5,10,297,0.6223190740607404,0.03231336832729097,0.013306059477419701,0.011877791227106638,0.010217963638253114,0.011435224626751728,1.1794831743477958,0.17948317434779582,0.17948317434779582,1.0470551001529629,0.04705510015296288,0.04705510015296288,1.0456226416593697,0.04562264165936969,0.04562264165936969,1.0959717779050229,0.09597177790502287,0.09597177790502287,1.1166813535283748,0.11668135352837483,0.11668135352837483,0.019007308849871264,1.1285056383394447,0.12850563833944473,0.12850563833944473,0.02043557710018433,1.1289667883046057,0.12896678830460573,0.12896678830460573,0.022095404689037854,1.0765338506761617,0.0765338506761617,0.0765338506761617,0.02087814370053924,1.055234472376625,0.05523447237662493,0.05523447237662493,0.013306059477419701,1.0470551001529629,0.04705510015296288,0.04705510015296288,0.019007308849871264,1.1285056383394447,0.12850563833944473,0.12850563833944473
2025-02-14,2025-02-17,2025-02-24,5,10,299,0.61432730400553,0.03726692444478115,0.007714757070756825,0.005654104298578266,0.01618045562742898,0.02904657851242831,1.2234388846901059,0.22343888469010587,0.22343888469010587,1.0551328758903398,0.05513287589033977,0.05513287589033977,1.0515347011322667,0.05153470113226666,0.05153470113226666,1.1137051006263294,0.11370510062632944,0.11370510062632944,1.1491171261370015,0.14911712613700145,0.14911712613700145,0.029552167374024323,1.161855425846182,0.16185542584618196,0.16185542584618196,0.03161282014620288,1.1646566123343156,0.1646566123343156,0.1646566123343156,0.02108646881735217,1.0992341481492687,0.09923414814926867,0.09923414814926867,0.008220345932352838,1.0639088647793047,0.06390886477930469,0.06390886477930469,0.007714757070756825,1.0551328758903398,0.05513287589033977,0.05513287589033977,0.029552167374024323,1.161855425846182,0.16185542584618196,0.16185542584618196
2025-02-21,2025-02-24,2025-03-03,5,10,299,0.6066607039624353,-0.04292528054096102,-0.019236923736822377,-0.020465690627316957,-0.026336428632518394,-0.02944821987047097,1.1709224273400627,0.1709224273400627,0.1709224273400627,1.0348353652246232,0.03483536522462316,0.03483536522462316,1.0300143172550056,0.030014317255005585,0.030014317255005585,1.0843740857260125,0.08437408572601246,0.08437408572601246,1.1152776723495954,0.1152776723495954,0.1152776723495954,-0.023688356804138645,1.1343329799639132,0.13433297996391325,0.13433297996391325,-0.022459589913644065,1.138498902431073,0.138498902431073,0.138498902431073,-0.01658885190844263,1.0809991156529173,0.08099911565291729,0.08099911565291729,-0.013477060670490051,1.0495705004608018,0.0495705004608018,0.0495705004608018,-0.019236923736822377,1.0348353652246232,0.03483536522462316,0.03483536522462316,-0.023688356804138645,1.1343329799639132,0.13433297996391325,0.13433297996391325
2025-02-28,2025-03-03,2025-03-10,5,10,298,0.7198776535173227,0.0413125181533369,0.008450014137087045,0.010371163597853394,0.02172171185758165,0.03941919163743046,1.2192961813756984,0.2192961813756984,0.2192961813756984,1.043579738690329,0.04357973869032894,0.04357973869032894,1.0406967642473886,0.04069676424738855,0.04069676424738855,1.1079285471619815,0.10792854716198153,0.10792854716198153,1.1592410166448914,0.15924101664489143,0.15924101664489143,0.03286250401624985,1.1716100020737419,0.17161000207374189,0.17161000207374189,0.030941354555483504,1.1737256006322216,0.17372560063222164,0.17372560063222164,0.01959080629575525,1.1021767599335563,0.10217675993355635,0.10217675993355635,0.0018933265159064364,1.0515576801196374,0.05155768011963735,0.05155768011963735,0.008450014137087045,1.043579738690329,0.04357973869032894,0.04357973869032894,0.03286250401624985,1.1716100020737419,0.17161000207374189,0.17161000207374189
2025-03-07,2025-03-10,2025-03-17,5,10,298,0.6843247946681228,0.022107239268443768,0.01776290099956716,0.017304511655206634,0.015697535876483037,0.01051882901524026,1.2462514537964708,0.24625145379647084,0.24625145379647084,1.0621167422738396,0.062116742273839565,0.062116742273839565,1.0587055135338432,0.058705513533843234,0.058705513533843234,1.1253202952796364,0.1253202952796364,0.1253202952796364,1.1714348746864323,0.17143487468643226,0.17143487468643226,0.004344338268876608,1.1766998722419495,0.1766998722419495,0.1766998722419495,0.004802727613237134,1.1793626849847414,0.1793626849847414,0.1793626849847414,0.0064097033919607305,1.1092413860502428,0.1092413860502428,0.1092413860502428,0.011588410253203507,1.0637435619217708,0.06374356192177077,0.06374356192177077,0.01776290099956716,1.0621167422738396,0.062116742273839565,0.062116742273839565,0.004344338268876608,1.1766998722419495,0.1766998722419495,0.1766998722419495
2025-03-14,2025-03-17,2025-03-24,5,10,299,0.6044795174947957,-0.028543631374259092,-0.02220122164947419,-0.015497194246980484,-0.022746986010846904,-0.03478605419537495,1.21067891169967,0.2106789116996699,0.2106789116996699,1.0385364530610006,0.03853645306100062,0.03853645306100062,1.04229854854026,0.04229854854026005,0.04229854854026005,1.0997226502651885,0.09972265026518845,0.09972265026518845,1.1306852776492378,0.13068527764923776,0.13068527764923776,-0.0063424097247849025,1.169236759529089,0.1692367595290889,0.1692367595290889,-0.013046437127278609,1.1639762038648296,0.16397620386482958,0.16397620386482958,-0.005796645363412189,1.1028115071128897,0.10281150711288967,0.10281150711288967,0.006242422821115857,1.0703838990085262,0.07038389900852615,0.07038389900852615,-0.02220122164947419,1.0385364530610006,0.03853645306100062,0.03853645306100062,-0.0063424097247849025,1.169236759529089,0.1692367595290889,0.1692367595290889
