factor,obs,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_tstat,rank_ic_mean,rank_ic_std,rank_ic_ir,rank_ic_positive_ratio,rank_ic_tstat
amihud_20,237.0,0.020591405920175485,0.11430629728188259,2.8596712782473674,0.6160337552742616,2.7732563499882263,0.021090317021647893,0.11736683648541614,2.8525809631612438,0.6033755274261603,2.7663802934688695
rev_3,237.0,0.011003339501025004,0.18068962416368922,0.9666996667573777,0.510548523206751,0.937487469192428,0.021774630792346615,0.1763970944262295,1.9595648608903187,0.540084388185654,1.9003497832130152
last30_momentum,237.0,0.013872038385341356,0.14762435690466466,1.4917035852907619,0.5358649789029536,1.4466265656740847,0.016542870714718567,0.14401923589773005,1.8234364989959728,0.540084388185654,1.7683350139251401
jump_ratio_5m,237.0,-0.0020085495638653733,0.09581286140746015,-0.3327813759367335,0.48523206751054854,-0.32272522754432953,0.00893849437318716,0.10181227677504637,1.393684570617498,0.5232067510548524,1.3515695369414613
rev_1,237.0,0.005927677434786021,0.19897950443721743,0.4729078119581356,0.5189873417721519,0.45861725522372804,0.010356345853809895,0.2062883586952838,0.7969518724329925,0.4936708860759494,0.7728691957260063
morning_momentum_30m,237.0,0.005944370638858293,0.18053155383895064,0.5227006385346892,0.5021097046413502,0.50690541811073,0.006387292824706124,0.18049171065278408,0.5617716726380535,0.4978902953586498,0.5447957848294422
ret_vol_corr_20,237.0,0.024276563379389587,0.14016634422315977,2.749436738689654,0.5991561181434599,2.6663529310037126,0.0019819645339503016,0.15346604813344467,0.20501415112831434,0.5147679324894515,0.19881893446246038
minute_ret_skew_5m,237.0,0.005331184187623706,0.11702415084007459,0.7231834174062823,0.5189873417721519,0.701329911512533,0.0014721763318436669,0.12268721762525067,0.1904850009065001,0.48945147679324896,0.18472883312141605
atr_norm_14,237.0,-0.06396176290966453,0.2996120614490536,-3.388920671440118,0.4092827004219409,-3.2865126293249056,-0.006511607309194,0.27897226923626467,-0.3705334646186027,0.4767932489451477,-0.3593365053715064
downside_vol_ratio_20,237.0,0.020109251919115143,0.15832606187682563,2.016247192616413,0.5527426160337553,1.9553192608544707,-0.004350626135812696,0.1645866528910243,-0.4196212001613423,0.5189873417721519,-0.4069408840061998
breakout_20,237.0,-0.020680599999348414,0.196682389360057,-1.6691598492342796,0.4936708860759494,-1.6187203705005488,-0.0061908192209600655,0.21223000832493327,-0.4630646212483235,0.4978902953586498,-0.44907151080625723
signed_vol_imbalance_5m,237.0,-0.00765323044900253,0.14629618534000832,-0.830447264797837,0.4472573839662447,-0.8053524081419745,-0.009131926843258772,0.1684621947368259,-0.860518555721378,0.48523206751054854,-0.8345149902682546
realized_vol_20,237.0,-0.060159049398001235,0.2957402038761819,-3.2291696914593224,0.4092827004219409,-3.1315890816365486,-0.015506142643535661,0.27958646431227996,-0.8804159528166497,0.45147679324894513,-0.8538111182052105
minute_up_ratio_5m,237.0,0.011283174607690374,0.15545203387677595,1.1522193669694034,0.5189873417721519,1.1174010454746062,-0.010467501520864125,0.17383093267928273,-0.9559083223752669,0.4810126582278481,-0.9270222228684029
open_to_close_intraday,237.0,-0.009045763493915887,0.19336966480437853,-0.7426037785550194,0.48523206751054854,-0.7201634188056536,-0.013168589203427826,0.20106555781012345,-1.0396851413828565,0.4767932489451477,-1.0082674334847102
close_to_vwap_day,237.0,-0.01043106687940644,0.1620203562889356,-1.022020053681737,0.48523206751054854,-0.9911361579381537,-0.012726570796179238,0.17450638744484762,-1.1577114807899846,0.48945147679324896,-1.1227271959463905
mom_20,237.0,0.018066003169049816,0.23090771582053538,1.2420066103124934,0.5189873417721519,1.2044750545200693,-0.016827782662389604,0.20914676880992128,-1.2772502762915825,0.5063291139240507,-1.2386537103735757
mom_5,237.0,-0.0015669943023538819,0.19176581416173483,-0.12971688143707105,0.4767932489451477,-0.12579703404459242,-0.01596996081883758,0.18491605055138868,-1.3709749255870323,0.47257383966244726,-1.3295461429360786
ma_gap_20,237.0,0.0019940707671723544,0.2131879294721331,0.14848351010298996,0.5274261603375527,0.143996563658894,-0.016976816958413257,0.1902450493598518,-1.4165867404138937,0.5063291139240507,-1.3737796379063836
mom_10,237.0,-0.0008605832790536993,0.20891948017939552,-0.06539043664711776,0.5569620253164557,-0.06341443684088904,-0.01813160934587778,0.1855524562811652,-1.5512075720261937,0.48945147679324896,-1.5043324321905986
ma_gap_5,237.0,-0.008889140693883822,0.18245380289923233,-0.7734052764491767,0.4978902953586498,-0.7500341421555323,-0.01836429474897371,0.1811662987136625,-1.6091521630852725,0.4810126582278481,-1.5605260256026874
turn_ratio_5,237.0,-0.007332646414611471,0.10402085413285585,-1.1190270851027517,0.459915611814346,-1.0852117840173572,-0.013073750610649084,0.11294704599575514,-1.8374925619545441,0.4345991561181435,-1.7819663239824213
vol_ratio_20,237.0,-0.009938332419633548,0.11846751490562711,-1.331724872425372,0.4388185654008439,-1.2914821668434622,-0.018513036434342357,0.1248994242920746,-2.352975957843028,0.4177215189873418,-2.281872593572045
amount_ratio_20,237.0,-0.01056912410790028,0.12636292530611598,-1.3277600481726795,0.42616033755274263,-1.287637153565535,-0.020527835210942057,0.12976791561972134,-2.511169883401312,0.4008438818565401,-2.4352861386606794
