date,ic,rank_ic,n
2025-01-02,0.032288810001967934,0.04058004045463012,297
2025-01-03,0.11846612802222514,0.018675581270041597,297
2025-01-06,0.300766768852676,0.2867850758515744,297
2025-01-07,0.08253307862214707,0.12496724281687861,298
2025-01-08,0.10956320186701571,0.024876995883036716,298
2025-01-09,0.020408241888839378,0.0809914388250818,298
2025-01-10,0.062057522424576836,-0.019910109712628132,297
2025-01-13,0.022545434229884764,-0.12285230199819572,297
2025-01-14,-0.11416497814228085,-0.09764530835696514,297
2025-01-15,-0.08919636875209457,-0.10363487228137672,297
2025-01-16,0.0028922632094662837,-0.1203390626645257,297
2025-01-17,-0.020844580942203074,-0.042431817148998886,298
2025-01-20,0.057253452715667626,0.07172903920320906,298
2025-01-21,0.09759057771061844,0.03774474828680986,298
2025-01-22,0.24938703143348037,0.102145618689624,298
2025-01-23,0.016164435835737134,-0.07417042497275106,298
2025-01-24,0.005862372258525394,-0.01244666704146703,298
2025-01-27,-0.09528282294253554,-0.18655398177654295,298
2025-02-05,-0.23564899410919643,-0.1023222787633321,298
2025-02-06,-0.2634400126557432,0.14099547614268212,297
2025-02-07,-0.30282589477898086,0.020167772884545652,297
2025-02-10,-0.22217132121721533,0.08365071395627874,298
2025-02-11,-0.1406390056679653,0.03497894747427695,298
2025-02-12,-0.07861121372523516,0.0007978082056639155,298
2025-02-13,-0.08346756678300454,-0.02856900331408167,298
2025-02-14,-0.06934931782951272,-0.09899823812216918,299
2025-02-17,-0.11628967514806059,-0.1913570348735579,299
2025-02-18,-0.16041863559837424,-0.2964195977322793,299
2025-02-19,-0.044076541240923896,-0.08536785644871187,299
2025-02-20,-0.09698029786187695,-0.02481937945056521,299
2025-02-21,-0.06875578798443067,0.018948753829337656,299
2025-02-24,-0.10521734891061077,0.11731715109185954,298
2025-02-25,0.02834275621059201,0.11448393260450458,298
2025-02-26,0.08627201627963876,0.18656423758929078,298
2025-02-27,0.059515432137200744,0.00998018349462831,298
2025-02-28,0.12910013684394628,0.03567636681022798,298
2025-03-03,0.10045417930265256,0.008430748346481377,298
2025-03-04,-0.03599476640804042,-0.10859123745787574,298
2025-03-05,-0.07961322341154221,-0.05441509134703752,298
2025-03-06,0.03698120165913041,0.08433737615950754,298
2025-03-07,0.12706008074132488,0.13216562306336935,298
2025-03-10,-0.13743221121088095,-0.09693552626556179,299
2025-03-11,-0.06691846993256989,0.03256196722576923,299
2025-03-12,0.04109046094373168,0.11850709014033285,299
2025-03-13,0.10390805607167464,0.1585158426264029,299
2025-03-14,0.21859898822829948,0.276710062409089,299
2025-03-17,0.31356247811140175,0.38312241877386594,298
2025-03-18,0.29485668144496935,0.38940588725890435,298
2025-03-19,0.15158315145731555,0.2345331852758445,297
2025-03-20,0.11161687289900027,0.16624989171850582,297
2025-03-21,0.03217773355278324,0.06455403453229867,297
2025-03-24,0.03877022583812171,0.06789554559105927,297
2025-03-25,0.02971054569025328,0.09971631059985428,297
2025-03-26,0.018235700241097535,0.05079111137671744,297
2025-03-27,0.022856703322372995,0.15296654722839526,298
2025-03-28,0.10041885919231779,0.18966864822252516,298
2025-03-31,0.10422680000591977,0.1509724462254817,299
2025-04-01,0.010419365623327695,0.08842156845802304,299
2025-04-02,0.036542911405444835,0.10112864742358452,299
2025-04-03,-0.029713197268112397,-0.05305471967071099,299
2025-04-07,-0.008660293594353885,0.15554410409583638,299
2025-04-08,0.14317193522145594,0.1012908367205364,299
2025-04-09,-0.2542820558465752,-0.2318389594085771,299
2025-04-10,-0.009688383146793638,-0.008731422758421866,299
2025-04-11,-0.16872633378498322,-0.09963371228949801,299
2025-04-14,-0.10879312105505143,0.07202474612385047,299
2025-04-15,0.22037335325502214,0.026452644751071678,299
2025-04-16,0.27882056283634304,0.078413401511673,299
2025-04-17,0.39044389444836863,0.1562971957108422,299
2025-04-18,0.35576870777695796,0.046150248453738295,299
2025-04-21,0.1810313659099236,0.07163806481472623,299
2025-04-22,0.10202389544320824,0.04681681305683528,299
2025-04-23,0.08070982313760473,-0.05367718917335504,299
2025-04-24,0.06583449929060606,-0.14593192999708987,299
2025-04-25,0.008944777071717161,-0.1445088784481551,299
2025-04-28,0.0592980939395285,-0.17759748939162054,299
2025-04-29,0.1670775133140873,0.0724953262169432,299
2025-04-30,0.09307331254961225,0.07447518308505811,299
2025-05-06,-0.014909952347196602,0.04345443145138721,299
2025-05-07,0.2385043079045204,0.11889542069313391,299
2025-05-08,0.03897441759170402,0.13176974577960152,299
2025-05-09,0.060612372209863645,0.0737466178849412,299
2025-05-12,0.15059739889696164,0.10054953585959034,299
2025-05-13,0.17182750706964273,0.10046327322811256,299
2025-05-14,0.01697777963463313,0.032986869053574334,299
2025-05-15,0.08237499393857159,0.16216844568483085,299
2025-05-16,0.05845853292093499,0.0647784570097948,299
2025-05-19,0.009798498007759848,0.0611779246830978,299
2025-05-20,0.04528425051996648,0.11538595633015822,299
2025-05-21,-0.03784300056376121,-0.010948720685172423,299
2025-05-22,0.030629288538495548,0.061057955814418724,299
2025-05-23,-0.04091665744251418,-0.006530689894316271,299
2025-05-26,-0.09046399633548817,-0.07326760150955507,297
2025-05-27,-0.13465930461840134,-0.08933808437279689,297
2025-05-28,-0.08540627299050442,-0.0839264276267553,297
2025-05-29,-0.0994137817692898,-0.13799795031312045,297
2025-05-30,-0.14533637007949704,-0.0851251591315509,297
2025-06-03,-0.17026228756237807,-0.1402205745567202,297
2025-06-04,0.03997836849389536,0.04833722251991857,297
2025-06-05,-0.11073681605096104,-0.07708523236334958,297
2025-06-06,-0.021641781023484793,-0.01067452283553287,297
2025-06-09,-0.09076591875909512,-0.06224408813160946,297
2025-06-10,0.00858833230357214,0.07373343990951135,299
2025-06-11,-0.01877171942457776,0.07639912908271057,299
2025-06-12,0.1370609361448024,0.15201026716311422,299
2025-06-13,0.1621849318519661,0.11324834476215619,299
2025-06-16,0.3014095275041117,0.18140918520221733,299
