factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_mo_170e470bf9,D,Mined Packages,mined_custom,mined_custom,挖掘因子-自定义·fundmo170e470bf9,挖掘因子-自定义因子，刻画：fundamentalmultiobj admitted factor #4; profile=Dfundamentalnsga2v1,按定义计算：fundamentalmultiobj admitted factor #4; profile=Dfundamentalnsga2v1,fundamental_multiobj admitted factor #4; profile=D_fundamental_nsga2_v1,True,mined
fund_mo_2ea9e16091,D,Mined Packages,mined_custom,mined_custom,挖掘因子-自定义·fundmo2ea9e16091,挖掘因子-自定义因子，刻画：fundamentalmultiobj admitted factor #1; profile=Dfundamentalnsga2v1,按定义计算：fundamentalmultiobj admitted factor #1; profile=Dfundamentalnsga2v1,fundamental_multiobj admitted factor #1; profile=D_fundamental_nsga2_v1,True,mined
fund_mo_788f86a2af,D,Mined Packages,mined_custom,mined_custom,挖掘因子-自定义·fundmo788f86a2af,挖掘因子-自定义因子，刻画：fundamentalmultiobj admitted factor #6; profile=Dfundamentalnsga2v1,按定义计算：fundamentalmultiobj admitted factor #6; profile=Dfundamentalnsga2v1,fundamental_multiobj admitted factor #6; profile=D_fundamental_nsga2_v1,True,mined
fund_mo_80d7c020a0,D,Mined Packages,mined_custom,mined_custom,挖掘因子-自定义·fundmo80d7c020a0,挖掘因子-自定义因子，刻画：fundamentalmultiobj admitted factor #2; profile=Dfundamentalnsga2v1,按定义计算：fundamentalmultiobj admitted factor #2; profile=Dfundamentalnsga2v1,fundamental_multiobj admitted factor #2; profile=D_fundamental_nsga2_v1,True,mined
fund_mo_94a07180d1,D,Mined Packages,mined_custom,mined_custom,挖掘因子-自定义·fundmo94a07180d1,挖掘因子-自定义因子，刻画：fundamentalmultiobj admitted factor #3; profile=Dfundamentalnsga2v1,按定义计算：fundamentalmultiobj admitted factor #3; profile=Dfundamentalnsga2v1,fundamental_multiobj admitted factor #3; profile=D_fundamental_nsga2_v1,True,mined
fund_mo_a420218040,D,Mined Packages,mined_custom,mined_custom,挖掘因子-自定义·fundmoa420218040,挖掘因子-自定义因子，刻画：fundamentalmultiobj admitted factor #5; profile=Dfundamentalnsga2v1,按定义计算：fundamentalmultiobj admitted factor #5; profile=Dfundamentalnsga2v1,fundamental_multiobj admitted factor #5; profile=D_fundamental_nsga2_v1,True,mined
