obs,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_tstat,rank_ic_mean,rank_ic_std,rank_ic_ir,rank_ic_positive_ratio,rank_ic_tstat,factor
10.0,0.16012052016033618,0.22241060765135168,5.111010390286315,0.8,2.276624973892042,0.1359398496240601,0.24820504362827628,3.888225562166861,0.7,1.7319533209672495,g_liquidity_ratio_turn_ratio_5__amihud_20
10.0,0.14729164282890833,0.20995506321549817,4.980432081117696,0.6,2.2184607720999927,0.12661654135338346,0.179086738338913,5.0192899873300245,0.7,2.2357694592206987,g_context_ratio_barra_beta_proxy__ret_20d
10.0,0.08312471967344304,0.1385335890416178,4.259811445914183,0.6,1.8974708289129747,0.12451127819548871,0.18778845041002606,4.707117955924479,0.8,2.0967169845477485,g_structure_rel_rsi14_to_vwap30_vs_day
10.0,0.13482418230647847,0.2477829208218689,3.862884253219587,0.7,1.7206654047990246,0.0218045112781955,0.3112868724550284,0.4972798011143995,0.3,0.22150602870632968,g_reversal_rel_vwap30_vs_day_to_ret_1d
10.0,0.12771787868828063,0.23902838223803888,3.793302634474488,0.8,1.6896712883988712,0.15037593984962408,0.24525676025189594,4.352839318411837,0.7,1.938908736806631,g_context_ratio_barra_size_proxy__barra_volatility_proxy
10.0,0.08947951182686774,0.16849482061613427,3.770095215875369,0.6,1.6793338825382347,0.097593984962406,0.20136711535467164,3.440723478833844,0.8,1.5326200500506173,g_context_rel_realized_vol_20_to_barra_momentum_proxy
10.0,0.07326578428083844,0.1444199439390052,3.6015487613805113,0.6,1.6042573246245155,0.10285714285714284,0.16190274446472294,4.510197022908063,0.9,2.0090014293535465,g_structure_rel_minute_up_ratio_5m_to_vwap30_vs_day
10.0,0.0783051328028379,0.15437406351245117,3.6010666756888368,0.5,1.6040425865900736,0.1506766917293233,0.16522325198945553,6.474260630926735,0.7,2.883864894476992,g_context_rel_barra_size_proxy_to_barra_momentum_proxy
10.0,0.1364926816444066,0.2699109877556896,3.590079534583915,0.6,1.5991485249621262,0.056559589875421465,0.2608080313556243,1.5395739669356812,0.6,0.6857807506987799,g_reversal_rel_last30_momentum_to_ret_1d
10.0,0.12973475927790495,0.2643260695800865,3.4844290058045715,0.6,1.55208803907834,0.12346990289379858,0.2751874105400373,3.185281455562806,0.5,1.418837129423884,g_trend_ratio_ret_3d__ret_5d
10.0,0.06297685024067597,0.1303839025271088,3.4290374497851013,0.6,1.527414678989631,0.04842105263157894,0.17885509720671333,1.921976941271099,0.7,0.8561165737519278,g_trend_ratio_ret_10d__ma_gap_5
10.0,0.08937043802564645,0.1968778622386324,3.2226435350223066,0.6,1.4354795223518453,0.07729323308270675,0.22331623095212877,2.457177062292608,0.5,1.0945136554450752,g_reversal_rel_vwap30_vs_day_to_ret_3d
10.0,0.0701671322608873,0.17735112115217486,2.8087627520585654,0.6,1.2511223689208852,0.043007518796992474,0.2007344508531059,1.5210298664419444,0.6,0.677520551818605,g_volatility_ratio_jump_ratio_5m__minute_realized_vol_5m
10.0,0.08993096171457515,0.23228057258910303,2.748600480241436,0.6,1.224323963117354,0.02962406015037594,0.2250431750252288,0.9345316248545738,0.6,0.41627347110844876,g_context_ratio_barra_size_proxy__barra_beta_proxy
10.0,0.08714239631399687,0.22673309280873147,2.7285370443157717,0.6,1.2153869984464813,0.08601503759398495,0.25135413191357614,2.429425708238422,0.6,1.082152219862953,g_context_ratio_barra_volatility_proxy__barra_liquidity_proxy
10.0,0.09900546560270555,0.26422248197774145,2.660141086031611,0.6,1.1849210171917897,0.009323308270676688,0.3472167100271632,0.19062712356478728,0.4,0.08491206964353039,g_structure_rel_last30_momentum_to_close_to_vwap_day
10.0,0.05950742945460683,0.1890401623135121,2.2347676559234255,0.6,0.9954446318463538,0.10451569020365989,0.23943467264917892,3.0989153992907896,0.7,1.3803666303266549,g_reversal_ratio_ret_3d__overnight_gap
10.0,0.08901605415100636,0.30537246337158647,2.0694442682341854,0.6,0.9218037419946944,0.04781954887218045,0.3123919553047256,1.0867281113318912,0.6,0.48406717442617436,g_structure_rel_morning_momentum_30m_to_close_to_vwap_day
10.0,0.07644217148317833,0.2660567493442673,2.039736197946341,0.6,0.9085707157281097,0.08556390977443609,0.28968133684117403,2.096936954100185,0.6,0.9340499576081198,g_volatility_rel_jump_ratio_5m_to_realized_vol_20
10.0,0.05836493693676065,0.2180212829671434,1.9005022927352853,0.6,0.8465510050230706,0.07639097744360902,0.23114216313998787,2.346270941446436,0.6,1.0451121427900127,g_volatility_rel_downside_vol_ratio_20_to_realized_vol_20
