trade_date,entry_ts,exit_ts,hold_n,active_stocks,pool_size,avg_pred_score,strategy_ret,benchmark_pool_ret,benchmark_hs300_ret,benchmark_zz500_ret,benchmark_zz1000_ret,weighting_mode,portfolio_turnover,portfolio_concentration,portfolio_weight_entropy,timing_exposure,timing_enabled,timing_market_vol,timing_crowding,timing_momentum,timing_vol_z,timing_crowding_z,timing_momentum_z,timing_vol_threshold,timing_momentum_threshold,opt_iterations,opt_converged,execution_model,avg_fill_ratio,cash_drag_weight,extra_cost_bps,latency_bars,latency_penalty,state_market_vol,state_crowding,state_style_dispersion,state_vol_z,state_crowding_z,state_style_z,dynamic_expected_scale,dynamic_risk_scale,dynamic_style_scale,dynamic_industry_scale,dynamic_tc_scale,opt_turnover,opt_expected_ret_score,opt_style_exposure_dev,opt_industry_dev,opt_crowding_exposure,opt_liquidity_utilization,opt_effective_max_weight,strategy_net,strategy_cum_return,strategy_cum_ret,benchmark_pool_net,benchmark_pool_cum_return,benchmark_pool_cum_ret,excess_vs_pool_ret,excess_vs_pool_net,excess_vs_pool_cum_return,excess_vs_pool_cum_ret,benchmark_hs300_net,benchmark_hs300_cum_return,benchmark_hs300_cum_ret,excess_vs_hs300_ret,excess_vs_hs300_net,excess_vs_hs300_cum_return,excess_vs_hs300_cum_ret,benchmark_zz500_net,benchmark_zz500_cum_return,benchmark_zz500_cum_ret,excess_vs_zz500_ret,excess_vs_zz500_net,excess_vs_zz500_cum_return,excess_vs_zz500_cum_ret,benchmark_zz1000_net,benchmark_zz1000_cum_return,benchmark_zz1000_cum_ret,excess_vs_zz1000_ret,excess_vs_zz1000_net,excess_vs_zz1000_cum_return,excess_vs_zz1000_cum_ret,benchmark_ret,benchmark_net,benchmark_cum_return,benchmark_cum_ret,excess_ret,excess_net,excess_cum_return,excess_cum_ret
2024-07-01,2024-07-02,2024-07-09,5,1,20,0.877826086951494,-0.0048883686331167185,-0.012972026556377091,-0.009209957065326235,-0.014663771545963433,-0.022135089131919417,dynamic_opt,0.17459999999982542,0.03048515999993904,0.3047219831705504,1.0,1.0,0.01413697003245568,0.8136836018179551,0.00031652100746953904,-4.0,0.0,-1.850633228229421,0.7518393508263999,-0.41949947128630777,0.0,1.0,1.0,0.1746,0.8254000000001745,0.045000000000000005,1.0,0.03,,,,,,,,,,,,,,,,,,,0.9951116313668833,-0.004888368633116702,-0.004888368633116702,0.9870279734436229,-0.012972026556377081,-0.012972026556377081,0.008083657923260372,1.0080836579232604,0.008083657923260379,0.008083657923260379,0.9907900429346738,-0.009209957065326235,-0.009209957065326235,0.004321588432209517,1.0043215884322094,0.004321588432209422,0.004321588432209422,0.9853362284540366,-0.014663771545963433,-0.014663771545963433,0.009775402912846714,1.0097754029128467,0.009775402912846731,0.009775402912846731,0.9778649108680806,-0.022135089131919417,-0.022135089131919417,0.017246720498802697,1.0172467204988027,0.017246720498802715,0.017246720498802715,-0.012972026556377091,0.9870279734436229,-0.012972026556377081,-0.012972026556377081,0.008083657923260372,1.0080836579232604,0.008083657923260379,0.008083657923260379
2024-07-08,2024-07-09,2024-07-16,5,7,20,0.8840875503407045,0.0057901103713486855,0.007846684019542426,0.016998608353772537,0.0044011573747988475,0.008266516408060198,dynamic_opt,1.1745999999988253,0.0047791319229377165,0.5290577762319938,1.0,1.0,0.013435828512458413,0.7773488923795708,-0.001489168337506508,-4.0,-0.5398505301081608,-1.020162945506274,0.7518393508263999,-0.41949947128630777,220.0,0.0,1.0,0.28056241251791714,0.8539879158341575,0.2260010335719409,1.0,0.03,0.013435828512458413,0.7773488923795708,0.999999999912757,-4.0,1.347026071077473,-0.48669784617690376,0.6699296948942122,1.3367565177693683,1.3424098911420301,1.0973395692353807,1.4041078213232419,1.1745999999988253,0.3176141774980475,1.4919627960429134,9.99866855977416e-13,0.6243483841321468,0.999999999995,0.25,1.0008734375443105,0.0008734375443104625,0.0008734375443104625,0.9947728700696843,-0.00522712993031571,-0.00522712993031571,-0.0020565736481937408,1.0060104596372006,0.006010459637200594,0.006010459637200594,1.0076320948353377,0.007632094835337666,0.007632094835337666,-0.011208497982423852,0.9930646519345623,-0.006935348065437719,-0.006935348065437719,0.9896728482625535,-0.010327151737446472,-0.010327151737446472,0.001388952996549838,1.0111779334845648,0.01117793348456475,0.01117793348456475,0.985948447198638,-0.014051552801362055,-0.014051552801362055,-0.0024764060367115127,1.0147276045793345,0.01472760457933453,0.01472760457933453,0.007846684019542426,0.9947728700696843,-0.00522712993031571,-0.00522712993031571,-0.0020565736481937408,1.0060104596372006,0.006010459637200594,0.006010459637200594
2024-07-15,2024-07-16,2024-07-23,5,0,20,,0.0,-0.0016543591994178709,-0.016695333110557598,-0.03584136169573415,-0.02931016445449175,dynamic_opt,0.14601208416584252,,,1.0,1.0,0.013521772894158008,0.7913703292838027,0.05907556990173857,-3.0475368415205404,-0.38786475401455517,-0.42410717586497093,0.7518393508263999,-0.41949947128630777,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0008734375443105,0.0008734375443104625,0.0008734375443104625,0.9931271584207532,-0.006872841579246836,-0.006872841579246836,0.0016543591994178709,1.007674762295812,0.007674762295811988,0.007674762295811988,0.9908093413591728,-0.009190658640827243,-0.009190658640827243,0.016695333110557598,1.0096441970989298,0.00964419709892983,0.00964419709892983,0.9542016257475279,-0.04579837425247213,-0.04579837425247213,0.03584136169573415,1.0474199275373302,0.04741992753733015,0.04741992753733015,0.957050136067595,-0.042949863932404964,-0.042949863932404964,0.02931016445449175,1.0444694375460672,0.04446943754606725,0.04446943754606725,-0.0016543591994178709,0.9931271584207532,-0.006872841579246836,-0.006872841579246836,0.0016543591994178709,1.007674762295812,0.007674762295811988,0.007674762295811988
2024-07-22,2024-07-23,2024-07-30,5,10,19,0.7992873168512946,-0.0021261593172195374,-0.02197538359069017,-0.020493750069043415,-0.004979462390840794,0.0016055538788137813,dynamic_opt,0.9999999999989999,0.0011031784594997924,0.4075709875024079,0.7465292036891304,1.0,0.013948263637288096,0.9452236410360477,0.04347826086956519,-1.8188962909822723,2.5347079631086946,-0.5855546818149976,0.7518393508263999,-0.41949947128630777,220.0,0.0,1.0,0.23239453344323066,0.9100563017713982,0.18545762334126645,1.0,0.03,0.013948263637288096,0.9452236410360477,0.9999999999187733,-4.0,1.9708029254677224,0.16043782781634205,0.6741342824227516,1.4927007313669307,1.4182262592659958,1.0320875655632684,1.5912408776403169,0.9999999999989999,0.04655458762010343,0.8643499726829368,1.000088900582341e-12,-0.4532195709400248,0.9999999999950002,0.25,0.9987454211597181,-0.0012545788402819058,-0.0012545788402819058,0.9713028081601249,-0.02869719183987507,-0.02869719183987507,0.019849224273470634,1.027676324647338,0.027676324647337935,0.027676324647337935,0.9705039423512843,-0.029496057648715657,-0.029496057648715657,0.018367590751823877,1.028188928516197,0.02818892851619692,0.02818892851619692,0.9494502146388389,-0.05054978536116106,-0.05054978536116106,0.002853303073621257,1.0504085340359446,0.050408534035944585,0.050408534035944585,0.9585867316257776,-0.041413268374222434,-0.041413268374222434,-0.0037317131960333187,1.040571777163123,0.0405717771631231,0.0405717771631231,-0.02197538359069017,0.9713028081601249,-0.02869719183987507,-0.02869719183987507,0.019849224273470634,1.027676324647338,0.027676324647337935,0.027676324647337935
2024-07-29,2024-07-30,2024-08-06,5,2,19,0.7073913043433244,-0.003292986834032419,-0.014184668278457949,-0.007836155116873411,0.010957844198326239,0.010091672690069942,dynamic_opt,1.0529353634704646,0.012579017501393206,0.39824285544796134,1.0,1.0,0.015334046354987448,0.7748811687999183,0.0012904957055965838,-1.290040906855222,-0.6744907594648707,-0.9711790751724192,0.7518393508263999,-0.41949947128630777,2.0,1.0,1.0,0.15714004313508895,0.8428599999959832,0.2699999999363746,1.0,0.03,0.015334046354987448,0.7748811687999183,0.9999999998948971,-3.832170625288923,1.021537106105324,-2.4069356585379453,0.4,1.255384276526331,1.5653477700017566,1.481387131707589,1.3064611318315973,1.0529353634704646,6.999999999104904e-07,1.0886190751128546,9.999778782798785e-13,-2.0000000015820415e-06,0.999999999997,0.500001,0.9954565656372889,-0.004543434362711096,-0.004543434362711096,0.9575252000284389,-0.04247479997156112,-0.04247479997156112,0.01089168144442553,1.0388694478033749,0.03886944780337487,0.03886944780337487,0.9628989229174825,-0.03710107708251753,-0.03710107708251753,0.004543168282840992,1.032860163845,0.0328601638449999,0.0328601638449999,0.9598541421649187,-0.04014585783508129,-0.04014585783508129,-0.014250831032358658,1.0354393395024508,0.03543933950245082,0.03543933950245082,0.9682604751663888,-0.0317395248336112,-0.0317395248336112,-0.01338465952410236,1.0266440782154045,0.026644078215404488,0.026644078215404488,-0.014184668278457949,0.9575252000284389,-0.04247479997156112,-0.04247479997156112,0.01089168144442553,1.0388694478033749,0.03886944780337487,0.03886944780337487
2024-08-05,2024-08-06,2024-08-13,5,9,20,0.8026086956413307,-0.000912303741115946,-0.01011867114436309,-0.0025692653169525626,-0.003986927609300195,-0.01102349142000969,dynamic_opt,1.0736439415320789,0.0007497913611197867,0.3460795896497911,0.8878315360575006,1.0,0.015698514552037655,0.8656745436223268,-0.005668926978768918,-1.2535443409724474,1.1216846394249935,-0.8392979482034517,0.7518393508263999,-0.41949947128630777,220.0,0.0,1.0,0.342110354422761,0.9259797415495696,0.22879764513273526,1.0,0.03,0.015698514552037655,0.8656745436223268,0.9999999999240092,-1.9276625506940466,1.237123924430317,0.5382482036912364,0.8742023702669655,1.3092809811075792,1.3281620154397489,1.1076496407382472,1.371137177329095,1.0736439415320789,-0.17919625961375762,1.394765074472343,9.999778782798785e-13,0.26100493006018743,0.9999999999924348,0.25,0.9945484068883396,-0.0054515931116604355,-0.0054515931116604355,0.9478363174169107,-0.052163682583089344,-0.052163682583089344,0.009206367403247144,1.0484336616238612,0.0484336616238612,0.0484336616238612,0.9604249801110996,-0.03957501988890044,-0.03957501988890044,0.0016569615758366164,1.0345715734497034,0.03457157344970341,0.03457157344970341,0.9560272731846202,-0.04397272681537978,-0.04397272681537978,0.0030746238681842487,1.038622926009742,0.03862292600974193,0.03862292600974193,0.9575868641260576,-0.042413135873942354,-0.042413135873942354,0.010111187678893744,1.0370246691696654,0.0370246691696654,0.0370246691696654,-0.01011867114436309,0.9478363174169107,-0.052163682583089344,-0.052163682583089344,0.009206367403247144,1.0484336616238612,0.0484336616238612,0.0484336616238612
2024-08-12,2024-08-13,2024-08-20,5,9,20,0.7732788987644065,0.0005573828896565835,0.016684519235180433,-0.0005059396171416264,-0.02743650190676572,-0.02517931550375041,dynamic_opt,0.9810572902071902,0.0004962369509598132,0.3039397104149663,1.0,1.0,0.013175033681680987,0.642206669439684,-0.042681510511310805,-1.1404236357337179,-2.98073077780364,-0.9845225643988813,0.7518393508263999,-0.41949947128630777,220.0,0.0,1.0,0.30037246732410355,0.9378276963425758,0.228094090875353,1.0,0.03,0.013175033681680987,0.642206669439684,0.99999999993018,-1.3033397038229109,0.14014487824526078,1.1498915800830734,1.1817544063308063,1.0350362195613152,1.2005127126615132,1.2299783160166147,1.0420434634735782,0.9810572902071902,0.2230121250094017,1.2146669602964795,1.0001999228848035e-12,0.1776024474986955,0.9999999999942025,0.25,0.9951027511532743,-0.00489724884672571,-0.00489724884672571,0.9636505106866556,-0.03634948931334436,-0.03634948931334436,-0.01612713634552385,1.0315254290136164,0.031525429013616435,0.031525429013616435,0.9599390630643689,-0.040060936935631064,-0.040060936935631064,0.00106332250679821,1.0356716566886461,0.035671656688646136,0.035671656688646136,0.9297972290809704,-0.0702027709190296,-0.0702027709190296,0.027993884796422303,1.0676980165473817,0.06769801654738172,0.06769801654738172,0.9334754823519806,-0.06652451764801937,-0.06652451764801937,0.025736698393406993,1.0637142603066079,0.06371426030660787,0.06371426030660787,0.016684519235180433,0.9636505106866556,-0.03634948931334436,-0.03634948931334436,-0.01612713634552385,1.0315254290136164,0.031525429013616435,0.031525429013616435
2024-08-19,2024-08-20,2024-08-27,5,2,20,0.7073913043433244,-0.00708490039190879,-0.008719505558458795,-0.00821225293703065,-0.023190736221781583,-0.02612274703754125,dynamic_opt,1.0373362078927781,0.017167399476213697,0.3666528410175637,0.9464597968383925,1.0,0.013402268880664859,0.8440832512218337,-0.022004883895578142,-0.6932870807397992,0.5354020316160748,-0.8737369831356883,0.7518393508263999,-0.41949947128630777,1.0,1.0,1.0,0.15713980362990299,0.8428599999853591,0.2699999998808743,1.0,0.03,0.013402268880664859,0.8440832512218337,0.9999999999264365,-1.2676209470968882,1.0080316365189725,0.6878618041063473,0.9423694301657275,1.2520079091297431,1.3047855979197465,1.1375723608212696,1.3024094909556918,1.0373362078927781,-2.99999999786415e-07,2.292271681414713,9.999778782798785e-13,-1.9999999996074323e-06,0.999999999997,0.500001,0.9880525472816389,-0.011947452718361062,-0.011947452718361062,0.9552479547023117,-0.04475204529768828,-0.04475204529768828,0.0016346051665500055,1.0332115658093097,0.03321156580930973,0.03321156580930973,0.9520558006743481,-0.04794419932565186,-0.04794419932565186,0.0011273525451218607,1.0368392237667245,0.03683922376672455,0.03683922376672455,0.9082345468016102,-0.0917654531983898,-0.0917654531983898,0.016105835829872794,1.0848941855177747,0.08489418551777472,0.08489418551777472,0.909090538460753,-0.09090946153924695,-0.09090946153924695,0.01903784664563246,1.0839650892690975,0.08396508926909751,0.08396508926909751,-0.008719505558458795,0.9552479547023117,-0.04475204529768828,-0.04475204529768828,0.0016346051665500055,1.0332115658093097,0.03321156580930973,0.03321156580930973
2024-08-26,2024-08-27,2024-09-03,5,4,20,0.8141822030448085,-0.0037921774665907195,-0.02024414696485342,-0.009652882280580699,0.022511582132927366,0.025274683385354768,dynamic_opt,1.157140000013641,0.006994713478557896,0.4842723722223724,0.9596186002175396,1.0,0.012155171021110904,0.8369144102203805,-0.004346351542848681,-0.6812287209495047,0.4038139978246035,-0.5275932479263509,0.7518393508263999,-0.41949947128630777,2.0,1.0,1.0,0.1528075480108479,0.847192476432507,0.23200869716076877,1.0,0.03,0.012155171021110904,0.8369144102203805,0.9999999999207271,-1.146169400778252,0.9717804628158686,0.15805330682821833,0.853529111922223,1.242945115703967,1.2180640885874066,1.0316106613656437,1.2915341388447605,1.157140000013641,3.1123886934640974e-06,0.43172433730383863,9.999778782798785e-13,-2.584578027722516e-07,0.999999999995,0.250001,0.9843056766760299,-0.01569432332397014,-0.01569432332397014,0.9359097747194425,-0.06409022528055752,-0.06409022528055752,0.016451969498262702,1.0502099309752568,0.05020993097525683,0.05020993097525683,0.9428657181058947,-0.0571342818941053,-0.0571342818941053,0.005860704813989979,1.042915832396788,0.04291583239678798,0.04291583239678798,0.9286803433978967,-0.07131965660210327,-0.07131965660210327,-0.026303759599518084,1.0563573896710001,0.056357389671000124,0.056357389671000124,0.9320675139889703,-0.06793248601102975,-0.06793248601102975,-0.029066860851945486,1.052457626850946,0.052457626850946015,0.052457626850946015,-0.02024414696485342,0.9359097747194425,-0.06409022528055752,-0.06409022528055752,0.016451969498262702,1.0502099309752568,0.05020993097525683,0.05020993097525683
2024-09-02,2024-09-03,2024-09-10,5,8,20,0.7807267102820751,-0.0031976245102333786,-0.03581506541772528,-0.02372833616624548,-0.019313683812968385,-0.01855066390779292,dynamic_opt,1.1137041882846126,0.0006581218671376688,0.31977130658509895,0.607780748036782,1.0,0.012709438181791082,1.0393214039542185,-0.0058668591980532425,-0.50719179375028,3.9221925196321803,-0.5206964406565562,0.7518393508263999,-0.41949947128630777,220.0,0.0,1.0,0.29885625487475975,0.9319549513440402,0.2225226339285184,1.0,0.03,0.012709438181791082,1.0393214039542185,0.9999999998983925,-0.6871190927643441,1.7638388333133541,-1.9171018608216033,0.4,1.4409597083283385,1.640333045785911,1.3834203721643208,1.5291516499940063,1.1137041882846126,-0.10172920498493934,0.8746565789795099,9.999778782798785e-13,0.02086877657858943,0.9999999999948491,0.25,0.9811582367187287,-0.018841763281271295,-0.018841763281271295,0.9023901049127772,-0.09760989508722284,-0.09760989508722284,0.0326174409074919,1.0844650913393035,0.08446509133930347,0.08446509133930347,0.9204930833870496,-0.0795069166129504,-0.0795069166129504,0.0205307116560121,1.0643276366332162,0.06432763663321617,0.06432763663321617,0.9107441048821908,-0.08925589511780918,-0.08925589511780918,0.016116059302735006,1.0733817080078203,0.07338170800782029,0.07338170800782029,0.9147770427975888,-0.08522295720241124,-0.08522295720241124,0.01535303939755954,1.0686160502602506,0.06861605026025064,0.06861605026025064,-0.03581506541772528,0.9023901049127772,-0.09760989508722284,-0.09760989508722284,0.0326174409074919,1.0844650913393035,0.08446509133930347,0.08446509133930347
