signal_ts,code,entry_ts,exit_ts,entry_price,exit_price,pred_score,future_ret_ref,gross_trade_ret,net_trade_ret,weight_target,executed_weight,fill_ratio,realized_trade_ret,weighting_mode,industry_bucket,board_type
2024-07-01,sh.600004,2024-07-02,2024-07-16,9.2476926,9.4037718,0.6620945484671992,0.01687763713069157,0.01687763713069157,0.016267693531493155,0.49999999999949996,0.49999999999949996,1.0,0.016267693531493155,equal_weight,sh_60,main_board
2024-07-01,sh.600006,2024-07-02,2024-07-16,6.3920088,6.92,0.5739635926248187,0.08260176362693938,0.08260176362693938,0.08195239737863802,0.49999999999949996,0.49999999999949996,1.0,0.08195239737863802,equal_weight,sh_60,main_board
2024-07-15,sh.600007,2024-07-16,2024-07-30,20.78363546,19.76632119,0.6707515905225853,-0.048947849954300016,-0.048947849954300016,-0.049518310106281826,0.33333333333299997,0.33333333333299997,1.0,-0.049518310106281826,equal_weight,sh_60,main_board
2024-07-15,sh.600004,2024-07-16,2024-07-30,9.4037718,9.17940795,0.6374391847678387,-0.023858921161929447,-0.023858921161929447,-0.024444430156533747,0.33333333333299997,0.33333333333299997,1.0,-0.024444430156533747,equal_weight,sh_60,main_board
2024-07-15,sh.600006,2024-07-16,2024-07-30,6.92,7.39,0.5555767674403476,0.06791907514435436,0.06791907514435436,0.06727851586705103,0.33333333333299997,0.33333333333299997,1.0,0.06727851586705103,equal_weight,sh_60,main_board
2024-07-29,sh.600007,2024-07-30,2024-08-13,19.76632119,20.40333106,0.6749749116658499,0.0322270322269802,0.0322270322269802,0.03160788175278628,0.49999999999949996,0.49999999999949996,1.0,0.03160788175278628,equal_weight,sh_60,main_board
2024-07-29,sh.600004,2024-07-30,2024-08-13,9.17940795,9.16878693,0.6224074140674469,-0.0011570484783824941,-0.0011570484783824941,-0.0017561745114853533,0.49999999999949996,0.49999999999949996,1.0,-0.0017561745114853533,equal_weight,sh_60,main_board
2024-08-12,sh.600007,2024-08-13,2024-08-27,20.40333106,20.12761037,0.5921946842749005,-0.013513513513561781,-0.013513513513561781,-0.014105227891140326,0.49999999999949996,0.49999999999949996,1.0,-0.014105227891140326,equal_weight,sh_60,main_board
2024-08-12,sh.600000,2024-08-13,2024-08-27,8.33717053,8.61863496,0.5902665150055625,0.033760186262972613,0.033760186262972613,0.033140116172241996,0.49999999999949996,0.49999999999949996,1.0,0.033140116172241996,equal_weight,sh_60,main_board
2024-08-26,sh.600007,2024-08-27,2024-09-10,20.12761037,21.62981275,0.5998258145388579,0.07463391591869972,0.07463391591869972,0.07398932894524068,0.9999999999989999,0.9999999999989999,1.0,0.07398932894524068,equal_weight,sh_60,main_board
2024-09-09,sh.600007,2024-09-10,2024-09-26,21.62981275,24.85289254,0.5873044474915784,0.1490109890109359,0.1490109890109359,0.14832178917747973,0.9999999999989999,0.9999999999989999,1.0,0.14832178917747973,equal_weight,sh_60,main_board
