signal_ts,ic,rank_ic,n,factor
2024-07-05,0.7286393653021433,0.7999999999999999,5,ret_1
2024-07-12,0.8349137402527418,0.39999999999999997,5,ret_1
2024-07-19,0.21408468282536652,0.0,5,ret_1
2024-07-26,-0.34362412289824495,0.19999999999999998,5,ret_1
2024-08-02,0.9288814463387149,0.8999999999999998,5,ret_1
2024-08-09,0.0778081651684952,0.09999999999999999,5,ret_1
2024-08-16,-0.06555924298957788,-0.10259783520851543,5,ret_1
2024-08-23,0.9880877671908046,0.9999999999999999,5,ret_1
2024-08-30,-0.3106789292178777,-0.09999999999999999,5,ret_1
2024-09-06,-0.253050351572875,0.09999999999999999,5,ret_1
2024-09-13,0.5108014454565527,0.6,5,ret_1
2024-09-20,0.14893093702162347,0.19999999999999998,5,ret_1
2024-09-27,0.23067948310723635,0.3,5,ret_1
2024-10-04,0.789523572948589,0.9999999999999999,5,ret_1
2024-10-11,-0.3112601560343467,-0.6,5,ret_1
2024-10-18,-0.1005506923784671,-0.09999999999999999,5,ret_1
2024-10-25,0.1703638796614662,0.0,5,ret_1
2024-11-01,-0.6266107963046667,-0.09999999999999999,5,ret_1
2024-11-08,0.2820297901856527,-0.39999999999999997,5,ret_1
2024-11-15,0.0619476950924344,0.09999999999999999,5,ret_1
2024-11-22,0.8851558014704496,0.7999999999999999,5,ret_1
2024-11-29,0.3613775415253501,0.7,5,ret_1
2024-07-05,-0.7871301042126334,-0.7999999999999999,5,ret_3
2024-07-12,0.7290673376637752,0.39999999999999997,5,ret_3
2024-07-19,0.6911302971565518,0.3,5,ret_3
2024-07-26,0.3512228344777741,0.3,5,ret_3
2024-08-02,0.9603593422470641,0.8999999999999998,5,ret_3
2024-08-09,0.5975220702370735,0.3,5,ret_3
2024-08-16,0.5499660378839629,0.3,5,ret_3
2024-08-23,0.897989966430783,0.8999999999999998,5,ret_3
2024-08-30,0.5701142206633839,0.8999999999999998,5,ret_3
2024-09-06,0.1877187310273718,0.3,5,ret_3
2024-09-13,0.635096563389141,0.39999999999999997,5,ret_3
