factor,freq,category,description
hf_120min_to_W_mean_volume,W,auto_panel,auto passthrough: hf_120min_to_W_mean_volume
hf_120min_to_W_std_amihud_20,W,auto_panel,auto passthrough: hf_120min_to_W_std_amihud_20
hf_120min_to_W_std_amount,W,auto_panel,auto passthrough: hf_120min_to_W_std_amount
hf_120min_to_W_std_amount_ratio_12,W,auto_panel,auto passthrough: hf_120min_to_W_std_amount_ratio_12
hf_120min_to_W_std_close,W,auto_panel,auto passthrough: hf_120min_to_W_std_close
hf_120min_to_W_std_close_to_vwap_day,W,auto_panel,auto passthrough: hf_120min_to_W_std_close_to_vwap_day
hf_120min_to_W_std_crowding_proxy_raw,W,auto_panel,auto passthrough: hf_120min_to_W_std_crowding_proxy_raw
hf_120min_to_W_std_high,W,auto_panel,auto passthrough: hf_120min_to_W_std_high
hf_120min_to_W_std_last30_momentum,W,auto_panel,auto passthrough: hf_120min_to_W_std_last30_momentum
hf_120min_to_W_std_low,W,auto_panel,auto passthrough: hf_120min_to_W_std_low
hf_120min_to_W_std_ma_gap_12,W,auto_panel,auto passthrough: hf_120min_to_W_std_ma_gap_12
hf_120min_to_W_std_ma_gap_6,W,auto_panel,auto passthrough: hf_120min_to_W_std_ma_gap_6
hf_120min_to_W_std_morning_momentum_30m,W,auto_panel,auto passthrough: hf_120min_to_W_std_morning_momentum_30m
hf_120min_to_W_std_open,W,auto_panel,auto passthrough: hf_120min_to_W_std_open
hf_120min_to_W_std_range_norm,W,auto_panel,auto passthrough: hf_120min_to_W_std_range_norm
hf_120min_to_W_std_realized_vol_20,W,auto_panel,auto passthrough: hf_120min_to_W_std_realized_vol_20
hf_120min_to_W_std_ret_1,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_1
hf_120min_to_W_std_ret_12,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_12
hf_120min_to_W_std_ret_1d,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_1d
hf_120min_to_W_std_ret_20d,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_20d
hf_120min_to_W_std_ret_3,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_3
hf_120min_to_W_std_ret_5d,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_5d
hf_120min_to_W_std_ret_6,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_6
hf_120min_to_W_std_ret_vol_corr_20,W,auto_panel,auto passthrough: hf_120min_to_W_std_ret_vol_corr_20
hf_120min_to_W_std_rv_12,W,auto_panel,auto passthrough: hf_120min_to_W_std_rv_12
hf_120min_to_W_std_vol_chg_1,W,auto_panel,auto passthrough: hf_120min_to_W_std_vol_chg_1
hf_120min_to_W_std_volume,W,auto_panel,auto passthrough: hf_120min_to_W_std_volume
hf_15min_to_W_last_amihud_20,W,auto_panel,auto passthrough: hf_15min_to_W_last_amihud_20
hf_15min_to_W_last_amount,W,auto_panel,auto passthrough: hf_15min_to_W_last_amount
hf_15min_to_W_last_amount_ratio_12,W,auto_panel,auto passthrough: hf_15min_to_W_last_amount_ratio_12
hf_15min_to_W_last_close,W,auto_panel,auto passthrough: hf_15min_to_W_last_close
hf_15min_to_W_last_close_to_vwap_day,W,auto_panel,auto passthrough: hf_15min_to_W_last_close_to_vwap_day
hf_15min_to_W_last_crowding_proxy_raw,W,auto_panel,auto passthrough: hf_15min_to_W_last_crowding_proxy_raw
hf_15min_to_W_last_high,W,auto_panel,auto passthrough: hf_15min_to_W_last_high
hf_15min_to_W_last_last30_momentum,W,auto_panel,auto passthrough: hf_15min_to_W_last_last30_momentum
hf_15min_to_W_last_low,W,auto_panel,auto passthrough: hf_15min_to_W_last_low
hf_15min_to_W_last_ma_gap_12,W,auto_panel,auto passthrough: hf_15min_to_W_last_ma_gap_12
hf_15min_to_W_last_ma_gap_6,W,auto_panel,auto passthrough: hf_15min_to_W_last_ma_gap_6
hf_15min_to_W_last_morning_momentum_30m,W,auto_panel,auto passthrough: hf_15min_to_W_last_morning_momentum_30m
hf_15min_to_W_last_open,W,auto_panel,auto passthrough: hf_15min_to_W_last_open
hf_15min_to_W_last_range_norm,W,auto_panel,auto passthrough: hf_15min_to_W_last_range_norm
hf_15min_to_W_last_realized_vol_20,W,auto_panel,auto passthrough: hf_15min_to_W_last_realized_vol_20
hf_15min_to_W_last_ret_1,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_1
hf_15min_to_W_last_ret_12,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_12
hf_15min_to_W_last_ret_1d,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_1d
hf_15min_to_W_last_ret_20d,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_20d
hf_15min_to_W_last_ret_3,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_3
hf_15min_to_W_last_ret_5d,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_5d
hf_15min_to_W_last_ret_6,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_6
hf_15min_to_W_last_ret_vol_corr_20,W,auto_panel,auto passthrough: hf_15min_to_W_last_ret_vol_corr_20
hf_15min_to_W_last_rv_12,W,auto_panel,auto passthrough: hf_15min_to_W_last_rv_12
hf_15min_to_W_last_vol_chg_1,W,auto_panel,auto passthrough: hf_15min_to_W_last_vol_chg_1
hf_15min_to_W_last_volume,W,auto_panel,auto passthrough: hf_15min_to_W_last_volume
hf_15min_to_W_mean_amihud_20,W,auto_panel,auto passthrough: hf_15min_to_W_mean_amihud_20
hf_15min_to_W_mean_amount,W,auto_panel,auto passthrough: hf_15min_to_W_mean_amount
hf_15min_to_W_mean_amount_ratio_12,W,auto_panel,auto passthrough: hf_15min_to_W_mean_amount_ratio_12
hf_15min_to_W_mean_close,W,auto_panel,auto passthrough: hf_15min_to_W_mean_close
hf_15min_to_W_mean_close_to_vwap_day,W,auto_panel,auto passthrough: hf_15min_to_W_mean_close_to_vwap_day
